nu alpha 
2.524322 0.448979 
1.95004 0.3495629 
2.83355 0.388685 
2.71821 0.326575 
3.212254 0.4295123 
3.499085 0.4037111 
4.293801 0.4104763 
2.446367 0.2448174 
7.433117 0.06838105 
4.003487 0.3039381 
2.597479 0.1541106 
1.877838 0.475619 
1.922455 0.2159349 
5.838424 0.4836642 
2.78464 0.4289433 
2.318512 0.2164502 
1.781756 0.4065536 
1.788274 0.3868159 
3.678634 0.05650573 
2.27698 0.1636776 
3.355801 0.2852994 
3.262864 0.1953935 
2.810144 0.3884602 
10.26421 0.2171974 
9.289312 0.1978481 
4.797308 0.05919805 
2.296345 0.1969586 
2.734329 0.4080689 
3.824763 0.4505427 
4.748668 0.02263262 
3.304082 0.07796433 
3.652734 0.2779928 
2.49711 0.392422 
2.626787 0.2562972 
6.795315 0.1569455 
4.835033 0.2639761 
5.989466 0.365773 
4.102799 0.4101623 
3.618223 0.3624547 
2.044169 0.3298743 
1.996824 0.3464646 
2.006127 0.3897626 
2.288158 0.3707301 
3.337452 0.1676353 
4.389099 0.2335076 
4.76985 0.3211378 
2.289241 0.4142205 
3.253282 0.2789415 
2.534962 0.2440644 
3.900141 0.3507807 
4.346102 0.1424119 
4.631627 0.4237643 
5.906321 0.4584479 
16.29231 0.1167753 
6.344468 0.1943501 
3.155034 0.469662 
3.33586 0.4491234 
1.972955 0.4034065 
1.661561 0.4204877 
2.25531 0.3006012 
2.268048 0.4724705 
4.148891 0.4543586 
3.559548 0.4204668 
2.060935 0.05997437 
1.856363 0.2054651 
2.745747 0.174564 
1.846212 0.3360202 
3.014604 0.2291922 
3.114885 0.02933975 
2.633799 0.2977763 
3.259751 0.3974324 
2.512207 0.16395 
1.566469 0.08030505 
1.742279 0.3550346 
1.906248 0.1170252 
1.696806 0.297898 
2.810186 0.4827839 
1.953011 0.4983827 
2.818632 0.4877933 
9.28079 0.08605821 
2.989593 0.1485672 
3.28197 0.1874668 
4.031112 0.4722921 
6.072004 0.4183773 
2.464511 0.2809815 
2.998874 0.4830182 
1.76752 0.3028118 
1.855539 0.3932424 
2.327021 0.4379676 
2.596576 0.1012576 
2.509164 0.1357405 
3.186026 0.3604233 
3.897821 0.2934726 
2.241138 0.2598857 
3.07304 0.4190292 
2.835462 0.3516266 
2.518443 0.1454907 
4.352742 0.4041334 
3.178586 0.3979515 
1.796274 0.2746641 
2.393038 0.1691243 
2.068212 0.1830203 
1.45186 0.1847134 
2.421051 0.2891551 
1.555067 0.4342774 
2.073992 0.4234213 
2.486583 0.0682373 
2.039424 0.3346402 
2.352082 0.05578066 
3.681949 0.2876467 
2.243082 0.4580946 
1.737671 0.2924029 
2.026384 0.04794844 
3.233735 0.1920962 
3.435534 0.2757251 
3.475434 0.2472882 
2.210155 0.4172309 
2.463185 0.3047024 
2.298349 0.420981 
2.170572 0.4356582 
3.69582 0.2488884 
3.738684 0.4163652 
1.326123 0.2441128 
2.133951 0.487774 
3.3904 0.265023 
3.506571 0.2134445 
3.693358 0.2711887 
3.74998 0.2411415 
3.17983 0.07263554 
1.587381 0.1033668 
1.47433 0.315648 
1.645359 0.2184598 
1.587695 0.2604951 
2.068037 0.3780015 
1.500493 0.1359644 
3.124272 0.4233248 
4.640396 0.1174137 
2.301132 0.4081917 
1.633924 0.1991065 
1.662827 0.06221191 
2.997239 0.2768202 
2.466135 0.2861459 
3.501953 0.1355046 
2.059745 0.2274665 
4.853262 0.2402319 
4.771691 0.1800914 
1.696275 0.35651 
3.19951 0.4883038 
1.486569 0.43711 
2.548305 0.1418663 
2.872852 0.2594929 
4.10283 0.3440239 
1.995376 0.4812788 
4.023145 0.3265129 
1.875883 0.4283688 
1.443408 0.491594 
2.46147 0.3033416 
2.764475 0.3327659 
2.074254 0.4064392 
3.244341 0.4643913 
4.698117 0.3212256 
2.948536 0.3526371 
1.707801 0.3100553 
2.58543 0.1579398 
3.754954 0.4302408 
2.291838 0.1651821 
3.335737 0.4508756 
2.395615 0.4188364 
3.865035 0.3982132 
4.767147 0.3852273 
4.473141 0.1381536 
3.932276 0.2990178 
4.257561 0.1079225 
3.322093 0.09053221 
4.766722 0.2812439 
1.71484 0.3864759 
1.966802 0.2757626 
3.817499 0.4843428 
1.865609 0.1655072 
2.200965 0.3235813 
2.664319 0.4175565 
2.874595 0.171334 
1.387316 0.3140613 
2.65894 0.3202457 
2.71697 0.04696965 
2.016895 0.2598141 
2.547185 0.2011695 
3.750643 0.4615 
3.417552 0.2812063 
3.666273 0.4718205 
2.651139 0.2870991 
3.652208 0.3465684 
3.146851 0.2977036 
4.601443 0.07788148 
3.773097 0.04876261 
2.051831 0.4342335 
1.838268 0.488167 
2.755368 0.4396907 
3.063877 0.2552454 
2.167093 0.02026254 
2.665518 0.0894956 
4.878511 0.1111554 
