beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
-0.07395679 3.953637 -10.00091 -3.971639 -18.09985 -6.457383 
0.02137048 3.97825 -9.959903 -4.246523 -7.389309 -17.22129 
0.01187557 3.935697 -9.241402 -5.511223 -11.60378 -7.959775 
-0.02596399 4.009816 -9.319047 -4.49473 -10.2542 -6.236612 
-0.03803585 3.890539 -8.980752 -5.360687 -9.888626 -7.728936 
-0.04923491 3.968404 -8.807996 -3.595786 -4.719339 -9.826475 
0.02100198 3.973676 -11.69064 -5.456073 -16.95874 -2.338266 
-0.006415294 3.88123 -11.73161 -4.382768 -2.98336 -22.96586 
0.05861609 4.042356 -13.19047 -5.715882 8.739305 -3.70575 
-0.1165394 3.995531 -15.07318 -2.40715 -7.821078 -7.185958 
-0.1292652 3.936712 -12.57874 -5.359655 2.407239 9.279109 
-0.2805871 3.932926 -13.18084 -5.783173 2.03443 -0.7481962 
-0.06538185 4.018658 -12.74769 -4.726612 -2.942982 -2.320416 
-0.1421323 3.907042 -9.363532 -5.447256 -12.76343 -8.306114 
0.007242977 4.015059 -9.739476 -5.061164 -19.31913 -8.006481 
-0.1388308 3.967349 -9.582655 -5.082767 -21.65817 -4.690232 
0.4285752 3.935809 -8.285887 -5.893717 -20.25615 -3.302543 
-0.198868 3.979712 -9.169182 -5.551109 -8.441474 -6.328958 
-0.03141797 4.001368 -9.542263 -5.067648 -20.703 -3.887319 
-0.0789619 3.960805 -9.316852 -5.132011 -21.16507 -3.247349 
0.1735454 3.878918 -7.346277 -4.370679 -20.99953 -2.197143 
-0.1056549 3.963552 -9.703953 -4.461191 -20.56759 -5.178919 
-0.08511391 3.967494 -8.821145 -6.021698 -22.64575 -4.702794 
0.02889906 3.95681 -9.777269 -4.697026 -22.21253 -5.073471 
-0.09184642 4.009239 -8.689031 -5.619289 -22.0778 -4.95615 
-0.2438539 3.961368 -7.787808 -5.902092 -21.83022 -3.555383 
-0.1112226 4.008598 -9.0102 -6.381369 -23.94545 -3.489778 
-0.1882712 3.967601 -7.688214 -3.361202 -22.60647 -4.269315 
-0.2522043 3.988092 -9.459138 -5.848525 -23.5321 -4.00174 
0.47784 3.921426 -10.06849 -4.267653 -22.04425 -4.981184 
-0.20021 3.999349 -9.10826 -4.521414 -22.69022 -4.958032 
0.1567167 3.957435 -8.110141 -4.669072 -22.67419 -3.978555 
-0.09268011 3.971382 -8.739217 -5.067558 -18.20708 -8.108813 
-0.1165912 3.953873 -9.676605 -4.281469 -23.12729 -4.745247 
-0.1777787 3.949452 -9.197059 -5.46819 -23.29577 -4.083468 
-0.1364598 3.960771 -9.615841 -4.877643 -12.98731 -15.77574 
0.1116639 4.05726 -8.166677 -6.659414 -20.37668 -4.652349 
-0.03299839 4.009055 -9.511984 -4.559426 -25.10005 -1.409611 
0.05810823 4.025831 -9.387709 -4.949408 -22.03806 -5.071102 
0.03477012 3.987947 -8.056508 -3.639391 -22.55204 -4.317231 
-0.02581374 3.973068 -7.950186 -6.442865 -23.29294 -4.397426 
0.05123286 3.926809 -9.701243 -4.911099 -22.40168 -6.123695 
0.2859291 4.009503 -10.14701 -3.764349 -23.27538 -2.002106 
0.2889809 3.968338 -9.317609 -5.254724 -22.69887 -4.925108 
-0.07112255 3.991362 -9.79082 -4.534884 -23.83077 -4.937883 
0.005516023 3.87973 -8.902791 -4.593536 -23.42282 -3.882957 
-0.06496312 4.024077 -10.11493 -4.454712 -22.63841 -4.992161 
0.0197405 3.961003 -9.956454 -5.266465 -1.721737 26.13164 
