Delta_1 Delta_2 Delta_3 Delta_4 
-1.459341 -17.75595 -0.02386873 -0.02721207 
-1.173432 -4.371245 -0.008455905 -0.03177142 
9.912445 12.83169 -0.01328942 -0.08303531 
-5.611695 11.711 0.01184862 0.004371099 
-4.829304 -4.439521 -0.02034445 -0.07268326 
17.22528 -15.60136 -0.006340421 -0.03257642 
-11.08003 10.30301 -0.01137138 0.05865955 
-7.352853 -19.79953 -0.0006120351 0.06957307 
0.652982 7.102606 -0.001958264 -0.01662088 
0.01668553 21.28625 0.04076561 -0.04264351 
8.820526 0.5132346 -0.00658412 0.03060335 
-19.08603 0.07244752 0.007711281 -0.01044473 
-3.050695 5.544199 0.001216781 0.05633759 
5.135585 -3.699748 -0.03295496 -0.06183754 
-5.807149 5.944004 0.0155414 0.02472232 
-5.068754 16.02403 0.01284711 -0.002745974 
-6.761671 -10.89453 0.006789927 -0.09217074 
1.013759 0.1084333 -0.001528399 -0.06945632 
2.813352 -17.24687 -0.00339906 -0.009589535 
17.03988 -15.03868 0.005200683 -0.06504274 
-7.975359 12.7732 -0.01991 -0.008439801 
7.724908 -25.26479 -0.001008354 -0.04869768 
-10.24905 -6.516849 -0.01703918 -0.02825299 
-7.006697 -17.67649 -0.004795545 -0.03128907 
-5.659973 5.180237 0.001033347 0.04877253 
8.911636 -20.61285 0.01140744 0.06773487 
-1.561111 -3.957881 0.01962979 0.00614317 
8.977123 -5.700852 -0.01731174 -0.03899326 
-4.06051 6.138608 -0.0004115334 -0.02513029 
-0.6070951 -9.534148 0.009067018 0.08250268 
-14.28416 -9.75624 -0.008196248 -0.03410357 
3.948448 25.57005 1.594308e-05 0.01358263 
-2.770027 -0.9949094 0.01391482 -0.0350413 
9.429643 -13.10294 0.00269038 -0.06034145 
0.0526642 14.07386 0.00381965 0.005113582 
-6.27226 8.795333 -0.01553043 -0.0006878594 
1.270796 5.687582 0.006556936 -0.003381254 
4.927251 -0.6918199 0.005999132 0.01639292 
-9.821317 -4.320739 -0.007179556 0.0006290745 
27.76525 8.14019 0.01472367 0.002306462 
-14.21953 -9.703192 0.002275174 0.04017071 
23.71151 -13.53995 0.007635146 -0.0008366486 
0.03708558 15.31791 0.005845202 -0.05825806 
-11.99917 -11.9787 -0.00568623 0.005713309 
-9.999326 -3.952925 -0.02498212 -0.03290942 
4.130225 1.415531 -0.01447362 -0.02197989 
