"beta1_1" "beta2_1" "beta1_2" "beta2_2"
-29.9476 -4.004422 22.42307 3.542628
-29.99453 -3.785891 22.94369 3.775486
-29.82216 -3.899634 22.10314 3.960745
-30.08788 -3.76196 22.51065 3.433578
-29.93481 -3.761507 22.28683 3.943794
-29.84651 -3.884489 22.12396 3.630547
-29.67394 -3.735333 22.40263 3.65807
-29.91917 -3.808774 21.68799 4.028526
-29.90858 -3.837478 22.4614 3.786563
-29.78428 -3.920216 21.90685 3.912411
-29.8964 -3.899928 21.5805 3.723569
-29.76778 -3.749063 21.56305 3.876474
-29.97903 -3.735184 22.04556 3.77618
-29.89763 -3.743415 22.25714 3.944635
-29.70724 -3.990618 21.82112 3.890716
-29.74909 -3.869117 21.77623 3.712525
-29.87265 -3.934748 22.33641 3.992871
-30.19725 -3.979165 22.48094 3.953679
-30.05745 -3.834106 22.15559 3.950977
-30.14483 -3.911128 22.59791 4.241977
-29.87131 -3.950596 22.69807 3.810271
-30.08543 -3.83661 22.16236 3.844786
-29.88213 -3.919941 22.08748 3.508138
-29.90409 -3.980677 22.60832 4.155062
-29.58146 -3.623844 22.49191 3.681349
-29.74319 -3.534528 22.21468 3.859255
-29.84693 -3.847273 22.61828 3.263846
-29.72987 -3.962581 22.25907 3.896349
-29.7156 -3.869063 22.07096 3.761397
-29.67627 -3.702102 22.33681 3.733833
-29.85163 -3.795611 21.93119 3.686313
-29.91443 -3.632586 22.14848 4.043561
-29.9131 -3.813033 22.22128 3.86793
-29.82373 -3.770221 22.1012 3.434019
-29.6921 -3.797974 22.52844 3.335371
-29.89965 -3.758959 22.20643 3.884215
-29.71148 -3.751853 22.46624 4.051102
-29.54797 -3.97566 22.27046 3.788801
-29.56256 -3.948872 21.89758 3.986257
-29.89392 -3.92595 22.5407 3.68047
-29.75023 -3.86739 21.99785 3.711304
-29.87838 -3.75986 21.88086 4.017959
-30.05617 -3.887955 22.16349 3.79432
-29.93599 -3.840477 22.13116 3.715063
-29.92446 -3.78079 22.76752 3.93643
-29.87424 -3.851254 22.54794 3.754097
-29.91594 -3.78589 22.24465 3.826544
-29.95688 -3.713484 22.42386 3.729306
-29.72681 -3.817002 22.28101 3.667071
-29.7884 -3.770099 22.94049 3.595636
-29.55761 -3.729869 21.65231 3.584347
-29.71809 -3.853158 22.11185 3.579557
-29.85681 -3.831296 21.81514 4.105735
-29.8631 -3.596069 22.08158 3.850316
-29.68137 -3.662513 21.95227 3.917878
-30.1025 -3.799051 22.64184 3.617644
-30.31798 -3.791067 22.80225 3.367582
-30.27719 -3.921513 22.10602 3.700225
-30.22385 -3.907298 22.20702 4.181559
-29.98369 -3.854539 22.00592 3.8517
-29.72317 -3.84606 22.45404 3.294118
-29.85105 -3.845694 22.9181 4.300293
-29.79292 -3.697714 22.70152 3.641322
-30.01919 -3.779773 21.97128 4.02709
-29.93536 -3.826864 21.90565 3.29114
-29.7003 -3.807533 22.53689 3.839985
-29.65065 -4.005187 22.01607 3.715684
-29.87248 -3.85223 22.31392 4.085517
-30.00397 -3.648942 22.19137 3.478932
-30.07214 -3.691113 22.64331 3.587047
-30.11911 -3.981024 22.59202 3.866153
-29.96462 -3.840799 22.36875 3.925259
-30.00364 -3.84847 22.43339 3.317652
-29.88708 -3.735471 22.35979 3.876696
-29.93597 -3.835423 22.31547 3.68667
-29.89658 -3.605332 22.6407 3.60381
-29.81077 -3.74966 22.67207 4.092254
-29.74826 -3.755538 21.7312 4.032937
-29.87008 -3.891354 22.23324 3.709251
-29.82678 -3.896999 22.38202 3.553206
-29.72531 -3.705404 22.2857 3.381425
-29.64728 -3.736871 22.85057 4.048314
-29.64283 -3.847707 21.77946 3.947101
-29.8055 -3.899156 21.81401 3.587493
-29.51478 -3.819734 21.9967 4.068581
-29.88259 -3.797464 22.76342 3.758267
-30.05076 -3.802761 22.69517 3.677395
-29.65911 -3.796636 22.24528 3.602296
-29.83041 -3.903982 22.33538 3.746994
-30.0136 -3.906083 22.65949 3.523949
-29.46594 -3.945337 21.96789 3.715221
-29.80838 -3.764114 22.31329 4.152517
-29.87981 -3.72462 22.22052 4.009943
-29.75925 -3.691478 22.36619 3.96808
-29.80382 -3.803917 22.85414 3.466379
-29.8023 -3.939227 22.08639 3.856622
-29.76116 -3.832101 22.51905 4.020619
-29.77009 -3.897905 22.20676 3.696718
-29.81486 -3.800282 22.26516 3.654207
-29.76083 -3.79283 22.39554 3.603578
-29.94275 -3.874538 22.25903 3.978375
-29.60626 -3.810493 21.95803 3.5843
-29.69863 -3.776345 21.6279 3.688154
-29.85818 -3.700452 21.74495 3.994091
-29.96865 -3.762117 22.11658 4.026541
-29.857 -3.991103 22.00207 3.703045
-29.89103 -3.997465 22.00926 3.971152
-30.02194 -3.815137 22.18425 3.800629
-29.92368 -3.849059 22.79219 3.464044
-29.90167 -3.894493 21.84854 3.930596
-29.77495 -3.859346 22.37132 3.473012
