Delta_1 Delta_2 Delta_3 
0.108601 -9.723106 -0.01490841 
-0.03523428 -9.079846 -0.0001226997 
-0.01893793 -8.689025 -0.01939427 
-0.1223145 -1.145188 0.02970107 
0.05762126 0.2526074 -0.01015641 
-0.03631595 18.48433 0.04222495 
-0.00399429 0.5418765 -0.04038144 
-0.1025575 -11.65149 0.006909419 
-0.01883964 0.2028841 0.009927367 
-0.008368021 1.493585 -0.003087101 
-0.05991513 1.752591 -0.00705818 
-0.02533508 -18.74262 -0.01969689 
0.001261045 -5.229704 0.01954127 
-0.02695119 8.007759 -0.009479305 
-0.1939582 -0.348121 0.008576886 
-0.02030096 7.549913 -0.01529158 
-0.06373751 3.255481 0.0193805 
-0.007311961 -11.14742 -0.04187281 
-0.02708864 3.102516 0.01883808 
-0.07216461 -15.53912 -0.01224748 
0.0004691237 2.869827 0.008712986 
-0.01683612 15.80109 0.006474776 
0.009407016 2.238453 -0.0001462401 
-0.04126021 -17.40233 0.005420761 
-0.06753385 9.380852 -0.0008150346 
0.04470616 5.792818 0.009062581 
-0.001452083 6.254626 -0.0260461 
-0.02613981 -6.498335 0.00143317 
-0.04865607 -8.278835 -0.01026578 
-0.07320587 0.5791115 0.01421029 
0.01672519 2.667566 -0.02334728 
-0.07041677 -0.6021598 -0.004773078 
-0.01868221 8.506874 -0.008142406 
-0.06061381 1.004112 0.006042523 
-0.0005917358 -5.108977 -0.008006237 
0.01236818 22.35603 -0.006654909 
-0.05020606 -1.65072 -0.0004528023 
-0.1490019 3.45937 -0.007127515 
-0.003367588 -4.846649 -0.004399461 
-0.07836288 -15.53012 -0.002114372 
-0.02121097 13.50737 0.02266116 
0.006608956 3.421887 -0.01618821 
0.03904973 -0.5709791 -0.006620288 
-0.02134528 -5.45948 0.009071612 
-0.0301259 -10.42159 0.00183352 
0.01453783 2.131324 -0.001808332 
0.04565828 -34.82514 0.008053961 
0.07613257 -12.47916 0.003766467 
0.117045 -3.583607 0.003668871 
0.001027795 -4.611866 0.01322184 
0.0595057 -3.448444 -0.009056273 
0.00776503 10.63734 -0.03327584 
0.01621494 3.459283 -0.0159911 
-0.001796232 -6.177952 0.008704658 
-0.08141827 12.8136 -0.001829852 
0.05466808 12.32828 0.01910033 
-0.0426011 -8.577719 0.006697103 
-0.05658642 -3.198088 -0.0009864356 
0.02311748 -8.255551 -0.01099425 
-0.1129703 6.473769 -0.009460732 
0.1404369 -12.10926 0.001075311 
-0.005206738 8.319757 -0.01158542 
0.08313892 -1.933597 -0.01006327 
-0.08538447 -12.36442 0.0002037173 
-0.09648174 2.298056 0.005563004 
-0.005983476 8.454395 0.01021959 
0.01097915 -10.2587 0.02974728 
-0.01443467 -7.06139 -0.000947136 
-0.07567017 -4.234181 -0.00350388 
0.01677211 -1.96452 0.0216974 
-0.02601821 14.9817 -0.03390093 
0.01746611 7.832826 -0.01485577 
-0.0999607 2.610823 -0.01080317 
-0.02818159 -3.855609 0.008100673 
0.03779754 27.86531 -0.01550846 
-0.02615047 -2.793421 0.01342449 
0.1069626 13.81221 -0.04067763 
-0.04456308 11.28521 0.005996747 
0.07360993 -19.69559 -0.010193 
-0.1128176 6.427293 0.005942957 
-0.0235804 -2.117216 0.01864687 
-0.03404929 -14.87186 -0.01406326 
-0.02123134 -14.52147 0.01094294 
-0.1428843 2.297937 -0.02258846 
-0.0008106546 -13.60788 0.00658062 
-0.01520245 16.2439 0.008216829 
-0.01466473 -12.41831 0.01207942 
0.0271252 -4.142586 0.003065612 
-0.0116779 -0.3240359 -0.007368273 
-0.006326946 -21.3087 -0.0009479661 
0.09815294 -20.87659 0.01120363 
-0.1078784 10.76306 -0.03733292 
0.07361841 0.2537096 0.02169487 
0.06096048 -1.614737 0.002026908 
-0.06288372 4.42992 -0.006306995 
0.110555 -13.37768 0.002042477 
0.07808087 -4.559741 0.01848098 
0.02517974 1.529905 0.005218465 
-0.07248309 -5.097144 -0.0005180593 
-0.03603744 -6.803682 0.005386568 
0.02043799 -20.22227 -0.02427418 
-0.09749113 7.775138 -0.02132812 
0.1032757 -3.254067 -0.01223297 
0.08500806 4.178599 -0.008824003 
-0.04338034 7.4922 -0.03062346 
-0.02033921 20.331 -0.02144069 
-0.0344587 11.84823 -0.002575895 
-0.02117093 -5.447259 -0.00461227 
-0.05213083 -26.34914 0.002412795 
-0.03429728 1.681554 -0.01271596 
-0.03762477 0.0391327 0.003917903 
-0.0212061 3.563507 8.990666e-05 
-0.058613 -10.58563 -0.002934038 
-0.03175081 10.38226 -0.01256403 
-0.0475454 -2.91703 -0.01399049 
-0.02623288 3.235467 0.01370285 
-0.002516529 8.426559 0.00791619 
-0.04340891 -5.457366 -0.0029374 
-0.08204776 -18.81076 -0.01969058 
-0.02680817 -9.001376 0.01782778 
0.0008666219 5.887142 -0.004254568 
-0.1338554 -21.17793 0.02247115 
0.005950473 -13.81157 0.008867014 
-0.03715453 -13.84507 -0.02815145 
0.04106065 -9.043108 -0.01514316 
0.08939815 -13.17196 -0.02750177 
0.07414527 -5.423568 -0.002359265 
-0.05927958 6.543537 -0.009118148 
-0.0511253 -1.772881 -0.003405478 
-0.05713787 -0.2092036 0.004350482 
-0.1974078 -8.085847 -0.001105124 
-0.0108395 -3.656492 -0.03695441 
-0.02873939 -3.015557 -0.01388799 
0.1071238 12.32252 -0.01006787 
0.03601891 -0.5956243 -0.0109456 
0.02577086 3.686188 -0.009377311 
-0.1150709 -1.848096 0.01492003 
-0.005436858 -8.371337 0.0196275 
0.04124766 -4.97231 -0.02465723 
-0.04995476 -7.293012 0.01943086 
-0.01552231 -4.029665 -0.01813273 
0.08470383 -0.7332462 -0.0005791339 
-0.01898328 8.025335 0.01970986 
-0.009690881 0.3238821 -0.0333463 
0.07560791 -20.10588 -0.003819206 
-0.000940487 -3.848799 -0.002256702 
0.03459981 4.863545 -0.003474125 
-0.01709732 -6.338039 -0.02677632 
-0.02889358 -5.579217 -0.03161505 
-0.02794662 7.92613 -0.0008492877 
0.01120709 -4.713523 -0.0001055249 
-0.02325991 -5.066555 -0.001017447 
-0.07330006 2.154485 -0.02137723 
0.1219929 -9.164939 -0.006587733 
-0.05146827 -12.55171 0.01291789 
-0.05566638 -15.78697 -0.0107479 
-0.04778169 -7.228919 -0.006254459 
-0.03338266 14.26479 -0.02422959 
0.001014697 -3.944803 0.02895417 
-0.0235391 -13.24255 -0.02387139 
-0.03443054 -18.00941 0.01325247 
-0.08485849 -9.163593 -0.002824765 
-0.009381707 -2.633134 0.01508577 
0.01562241 5.034912 -0.02122558 
-0.0763396 3.655045 0.01645637 
-0.000879515 -18.71841 1.458215e-05 
-0.1772867 -10.67535 0.04626832 
-0.03179474 -4.89885 0.01067164 
-0.1324181 -10.73055 -0.01111064 
0.07314918 0.1578751 0.001946585 
-0.02336531 14.77312 0.01020583 
-0.1085005 -6.851349 0.007407293 
0.09090862 16.70169 -0.006314622 
-0.1458079 -14.47597 0.01023609 
-0.1463576 -6.07545 -0.00981769 
-0.01999307 -13.1235 0.01726491 
0.06414522 24.76699 -0.009005952 
0.1743801 5.397957 -0.005445098 
0.07702021 -16.65589 -0.0107268 
-0.00256032 -17.18901 -0.004755593 
-0.01718433 0.6803788 -0.008443953 
-0.05228262 15.29327 -0.01017568 
-0.0698518 11.49102 0.006500844 
0.08930315 5.11436 -0.007800448 
-0.008439708 -11.41486 0.01070264 
-0.03638883 9.680142 0.02987701 
0.02336654 7.958277 -0.011497 
-0.003786126 4.749637 0.003103202 
-0.09826368 -5.329293 -0.002552746 
-0.1109625 -6.674926 -0.01115297 
0.06367822 -2.093687 -0.01162948 
-0.0845008 -0.01749302 -0.0003286594 
0.007163854 4.204084 -0.01955665 
-0.02097054 -14.72584 -0.02337073 
0.05667605 -3.078729 -0.02447463 
-0.03065383 -5.017695 0.0009314308 
0.01013749 10.60015 -0.02560675 
-0.06146255 14.03758 0.009240871 
-0.04267856 -1.088658 -0.001906377 
-0.1189373 -2.780374 -0.01073978 
-0.1773766 4.746203 0.01764787 
0.008418859 -2.629113 -0.006250967 
0.02712089 -0.3578572 0.004777197 
-0.0661501 4.313685 -0.0069203 
-0.03169532 -13.50238 -0.01268641 
-0.04946472 -0.494705 -0.001927496 
0.01754962 0.01570049 -0.01198081 
0.08694716 -24.15441 -0.01265081 
-0.02192343 25.35788 0.01942316 
0.02041427 -14.27447 -0.008130567 
-0.007251129 6.676557 -0.02221642 
-0.02814363 -2.913733 -0.02676601 
-0.1061407 1.241428 0.005886925 
-0.1511158 -5.265923 -0.000709781 
0.08460312 -0.5428942 -0.02217007 
-0.023649 9.11562 -0.007315933 
-0.09529319 -2.088261 0.02887945 
0.06732331 -4.657851 0.04362806 
0.01640905 7.059903 0.004045473 
-0.07630304 10.68789 -0.005430098 
0.1238773 3.237072 0.0155225 
-0.08578953 6.510861 -0.005709031 
-0.01889936 8.033721 0.003105747 
-0.0005821591 -6.509336 -0.00324437 
-0.08434245 12.68312 0.01268171 
-0.1556818 -1.848099 -0.009815243 
0.08480677 -6.627361 0.01479206 
-0.06990915 9.253868 -0.01424446 
-0.02081974 13.01248 0.01545957 
-0.08839576 13.62234 0.001646591 
-0.03716837 5.730623 0.004202908 
-0.09608782 12.10737 0.01214405 
-0.03493588 19.75627 0.006768558 
-0.08070939 -11.42793 -0.01721829 
0.06144644 15.00998 0.005191016 
0.01659659 -10.331 0.01323513 
0.00625065 -7.761324 0.02840042 
-0.05717768 -12.63019 -0.02020542 
