"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
-19.82229 -5.863004 -9.724847 -5.634945 0.09194143 3.951936
-24.1822 -3.762062 -9.836799 -4.445081 -0.1376198 3.9436
-22.32241 -3.841964 -9.366804 -3.652975 -0.001696372 3.980271
-22.45761 -4.53628 -9.473791 -3.382653 -0.02857578 3.956879
-22.37984 -5.451238 -7.619638 -3.256126 -0.02855402 4.002523
-22.48107 -4.083124 -9.472045 -4.46383 0.06289213 4.001445
-23.19553 -4.606731 -9.535528 -3.706465 0.04731514 3.952652
-24.35202 -4.16127 -9.662457 -3.709059 0.1001325 4.001561
-19.249 -5.463095 -8.81598 -5.294742 0.2846905 3.928062
-24.98484 -3.59741 -9.054512 -4.598725 -0.2077473 3.939537
-25.51081 -5.179701 -9.183783 -6.083034 -0.1298627 3.887263
-21.4124 -5.254661 -9.657477 -3.700637 -0.1325763 3.955912
-23.9938 -3.798853 -10.11475 -5.259224 -0.04725834 3.926692
-22.29898 -5.533989 -9.840345 -5.365714 0.02331756 3.990788
-9.454543 -9.647913 -10.6373 -5.139831 0.05026786 3.988203
-23.92508 -4.663918 -9.72534 -5.943644 -0.08060058 3.921186
-22.96576 -0.5511841 -9.312954 -4.577715 -0.1242484 3.96999
-18.57702 -5.230726 -8.862646 -6.112738 0.03493788 3.941776
