"Delta_1" "Delta_2"
-3.247123 5.087028
-3.234979 5.25818
-3.373076 5.427855
-3.361388 5.184905
-3.020076 5.859342
-3.169672 6.671936
-3.210923 5.358053
-3.295711 4.448509
-3.30746 5.282455
-3.129643 5.864218
-3.092471 5.484232
-3.155076 5.518599
-2.912683 5.305804
-2.991118 5.985299
-2.934929 5.941615
-2.993811 4.777956
-2.946815 5.294605
-2.960821 5.334011
-2.87976 6.105739
-2.814956 5.770737
-2.83959 4.942573
-2.853633 4.119068
-2.992219 4.732928
-3.079663 4.672728
-3.005717 4.502163
-3.041727 3.79168
-3.000946 4.456787
-2.957286 5.20915
-2.926294 4.226075
-2.876606 4.516325
-3.034764 4.430107
-2.945642 4.891544
-2.98887 5.165536
-3.05082 4.287672
-2.975075 4.639244
-3.094058 5.166662
-2.969333 5.551263
-3.019067 6.576259
-3.036832 4.634003
-2.987804 4.374489
-3.078868 5.580137
-3.060892 4.70121
-2.927153 4.957295
-2.969287 5.341118
-2.991698 3.948989
-2.913362 5.895872
-2.935877 5.135099
-2.827526 3.886479
-3.05947 3.647061
-2.977936 4.961911
-2.846334 4.042328
-2.818437 5.607903
-2.913018 4.668363
-2.677663 4.816354
-2.847878 3.832051
-2.832022 4.252204
-3.008597 5.25222
-3.137803 4.32662
-3.044383 5.757428
-2.99688 5.527542
-3.015468 5.754902
-2.907255 4.742727
-2.958336 6.423992
-2.798645 5.64665
-3.003073 3.708114
-3.074362 4.759508
-2.914124 4.565478
-3.04212 4.89382
-3.060483 4.727776
-3.044568 4.471654
-2.917199 5.944809
-3.051098 4.368216
-3.021214 4.793913
-3.001611 6.804705
-2.946384 5.130574
-3.085205 4.790398
-3.061327 5.545114
-3.084434 5.55209
-3.084575 4.112531
-3.06608 4.352113
-3.136874 4.456729
-3.090186 5.155106
-2.920258 4.921295
-2.687421 5.264677
-2.730426 4.306751
-2.787001 5.577318
-2.743641 3.547026
-2.830456 5.487314
-2.770634 4.982854
-2.97792 5.055863
-2.989805 4.195155
-3.139733 5.333696
-3.220519 4.850183
-3.327266 5.025154
-3.152653 3.875455
-3.167128 5.032485
-3.110584 5.476357
-3.056107 6.303015
-3.076535 5.37538
-3.077137 5.38604
-3.174816 6.329754
-3.035727 5.129233
-3.036367 4.659319
-2.894338 4.835122
