p_1 p_2 
0.7270121 0.2729879 
0.7057013 0.2942987 
0.7153083 0.2846917 
0.7048274 0.2951726 
0.6558766 0.3441234 
0.654162 0.345838 
0.6934698 0.3065302 
0.6915039 0.3084961 
0.7041552 0.2958448 
0.7599475 0.2400525 
0.6900858 0.3099142 
0.7219255 0.2780745 
0.7415256 0.2584744 
0.7918317 0.2081683 
0.6192365 0.3807635 
0.673075 0.326925 
0.7522588 0.2477412 
0.7583749 0.2416251 
0.6006014 0.3993986 
0.7676215 0.2323785 
0.781014 0.218986 
0.7191543 0.2808457 
0.6600135 0.3399865 
0.7048753 0.2951247 
0.7953079 0.2046921 
0.693504 0.306496 
0.7272099 0.2727901 
0.7207421 0.2792579 
0.7865041 0.2134959 
0.6860418 0.3139582 
0.7030493 0.2969507 
0.6880559 0.3119441 
0.6703803 0.3296197 
0.6635133 0.3364867 
0.7409255 0.2590745 
0.7404865 0.2595135 
0.7274786 0.2725214 
0.7314523 0.2685477 
0.6760446 0.3239554 
0.7616437 0.2383563 
0.6866084 0.3133916 
0.7556187 0.2443813 
0.7250738 0.2749262 
0.641119 0.358881 
0.5726514 0.4273486 
0.6450719 0.3549281 
0.7838401 0.2161599 
0.5847879 0.4152121 
0.6437917 0.3562083 
0.7114852 0.2885148 
0.780041 0.219959 
0.7550448 0.2449552 
0.7531227 0.2468773 
0.7920062 0.2079938 
0.745702 0.254298 
0.7004553 0.2995447 
0.6833764 0.3166236 
0.6647492 0.3352508 
0.706597 0.293403 
0.6731799 0.3268201 
0.698907 0.301093 
0.7018997 0.2981003 
0.6479801 0.3520199 
0.6663499 0.3336501 
0.7776501 0.2223499 
0.7127783 0.2872217 
0.7018564 0.2981436 
0.7286339 0.2713661 
0.7606413 0.2393587 
0.7610386 0.2389614 
0.7004132 0.2995868 
0.661107 0.338893 
0.6055727 0.3944273 
0.6397462 0.3602538 
0.695692 0.304308 
0.6388898 0.3611102 
0.7605707 0.2394293 
0.6983113 0.3016887 
0.7397093 0.2602907 
0.6007268 0.3992732 
0.723536 0.276464 
0.6927628 0.3072372 
0.6705709 0.3294291 
0.6854585 0.3145415 
0.6287717 0.3712283 
0.5407644 0.4592356 
0.663995 0.336005 
0.6661161 0.3338839 
0.7582792 0.2417208 
0.7553105 0.2446895 
0.6763316 0.3236684 
0.7603962 0.2396038 
0.6845953 0.3154047 
0.6529113 0.3470887 
0.7185854 0.2814146 
0.6573678 0.3426322 
0.6768259 0.3231741 
0.7633936 0.2366064 
0.6927385 0.3072615 
0.6908833 0.3091167 
0.7017275 0.2982725 
0.6632217 0.3367783 
0.7048118 0.2951882 
0.6823963 0.3176037 
0.6515591 0.3484409 
0.7558178 0.2441822 
0.6403678 0.3596322 
0.5962225 0.4037775 
0.7687686 0.2312314 
0.7119053 0.2880947 
0.6439798 0.3560202 
0.6142256 0.3857744 
0.6930087 0.3069913 
0.6909148 0.3090852 
0.7130227 0.2869773 
0.7063148 0.2936852 
0.7191301 0.2808699 
0.6716908 0.3283092 
0.6653527 0.3346473 
0.7750193 0.2249807 
0.5832859 0.4167141 
0.6230854 0.3769146 
0.6572798 0.3427202 
0.7593435 0.2406565 
0.7873551 0.2126449 
0.6989357 0.3010643 
0.6105907 0.3894093 
0.6284202 0.3715798 
0.8065383 0.1934617 
0.6959793 0.3040207 
0.6203466 0.3796534 
0.7424811 0.2575189 
0.7326083 0.2673917 
0.6140674 0.3859326 
0.7082107 0.2917893 
0.6282114 0.3717886 
0.5994076 0.4005924 
0.6790465 0.3209535 
0.7433684 0.2566316 
0.7227585 0.2772415 
0.6930226 0.3069774 
0.7276227 0.2723773 
0.7171716 0.2828284 
0.6833462 0.3166538 
0.6949158 0.3050842 
0.7247664 0.2752336 
0.6583486 0.3416514 
0.7074468 0.2925532 
0.6738197 0.3261803 
0.7329017 0.2670983 
0.7127068 0.2872932 
0.7778047 0.2221953 
0.6380895 0.3619105 
0.7322687 0.2677313 
0.7393731 0.2606269 
0.6712328 0.3287672 
0.7624179 0.2375821 
0.5394141 0.4605859 
0.6637069 0.3362931 
0.6885814 0.3114186 
0.7694868 0.2305132 
0.7258916 0.2741084 
0.6741294 0.3258706 
0.6995296 0.3004704 
0.6306229 0.3693771 
0.7027749 0.2972251 
0.7479468 0.2520532 
0.7159129 0.2840871 
0.6441592 0.3558408 
0.5961062 0.4038938 
0.6570098 0.3429902 
0.7552965 0.2447035 
0.7305611 0.2694389 
0.6339101 0.3660899 
0.7647691 0.2352309 
0.6615471 0.3384529 
0.7446755 0.2553245 
0.6709191 0.3290809 
0.6236312 0.3763688 
0.6755978 0.3244022 
0.6384828 0.3615172 
0.6898319 0.3101681 
0.6546781 0.3453219 
0.7553946 0.2446054 
0.5795667 0.4204333 
0.697696 0.302304 
0.6796147 0.3203853 
0.6945133 0.3054867 
0.6907663 0.3092337 
0.6589567 0.3410433 
0.7041554 0.2958446 
0.7196201 0.2803799 
0.7468338 0.2531662 
0.6544491 0.3455509 
0.6539388 0.3460612 
0.6497542 0.3502458 
0.6547151 0.3452849 
0.6417825 0.3582175 
0.6855108 0.3144892 
0.663421 0.336579 
0.7399402 0.2600598 
0.6859394 0.3140606 
0.7473414 0.2526586 
0.6181108 0.3818892 
0.748776 0.251224 
0.697402 0.302598 
0.6718706 0.3281294 
0.7026767 0.2973233 
0.6954387 0.3045613 
0.7362744 0.2637256 
0.668803 0.331197 
0.7576411 0.2423589 
0.6504191 0.3495809 
0.6882967 0.3117033 
0.6892811 0.3107189 
0.619575 0.380425 
0.6891662 0.3108338 
0.6574723 0.3425277 
0.7026511 0.2973489 
0.6741269 0.3258731 
0.6350615 0.3649385 
0.8406432 0.1593568 
0.6931408 0.3068592 
0.6762335 0.3237665 
0.7970377 0.2029623 
0.6199493 0.3800507 
0.7007672 0.2992328 
0.6995686 0.3004314 
0.7897681 0.2102319 
0.7456064 0.2543936 
0.6812432 0.3187568 
0.7624393 0.2375607 
0.6330492 0.3669508 
0.6733673 0.3266327 
0.6246572 0.3753428 
0.6762185 0.3237815 
0.6947764 0.3052236 
0.5878419 0.4121581 
0.6801792 0.3198208 
0.7462856 0.2537144 
0.6133445 0.3866555 
0.6900047 0.3099953 
0.5517061 0.4482939 
0.7045168 0.2954832 
0.6983849 0.3016151 
0.6759331 0.3240669 
0.6577198 0.3422802 
0.7289147 0.2710853 
0.7109794 0.2890206 
0.6115936 0.3884064 
0.6714232 0.3285768 
0.6324087 0.3675913 
0.6834165 0.3165835 
0.7236636 0.2763364 
0.6518855 0.3481145 
0.6310585 0.3689415 
0.6325264 0.3674736 
0.7407714 0.2592286 
0.7556024 0.2443976 
0.7041041 0.2958959 
0.7160186 0.2839814 
0.7466562 0.2533438 
0.6211163 0.3788837 
0.7356472 0.2643528 
0.594813 0.405187 
0.6907812 0.3092188 
0.739258 0.260742 
0.685819 0.314181 
0.666658 0.333342 
0.6664055 0.3335945 
0.6967582 0.3032418 
0.6992048 0.3007952 
0.7226655 0.2773345 
0.6361077 0.3638923 
0.7019157 0.2980843 
0.6782606 0.3217394 
0.7135899 0.2864101 
0.7064724 0.2935276 
0.7913845 0.2086155 
0.7067969 0.2932031 
0.7267648 0.2732352 
0.6362054 0.3637946 
0.6322073 0.3677927 
0.7704723 0.2295277 
0.5972442 0.4027558 
0.7375254 0.2624746 
0.7086936 0.2913064 
0.6065844 0.3934156 
0.7309654 0.2690346 
0.735642 0.264358 
0.6655646 0.3344354 
0.684161 0.315839 
0.7503542 0.2496458 
0.6867288 0.3132712 
0.6680359 0.3319641 
0.7614014 0.2385986 
0.7397539 0.2602461 
0.6561132 0.3438868 
0.6678553 0.3321447 
0.6743947 0.3256053 
0.6297256 0.3702744 
0.7579581 0.2420419 
0.7810288 0.2189712 
0.7136693 0.2863307 
0.7965224 0.2034776 
0.6904378 0.3095622 
0.6451471 0.3548529 
0.8210667 0.1789333 
0.7858962 0.2141038 
0.7226129 0.2773871 
0.7788469 0.2211531 
0.8288228 0.1711772 
0.7036245 0.2963755 
0.6785148 0.3214852 
0.6459926 0.3540074 
0.686778 0.313222 
0.7280669 0.2719331 
0.7720598 0.2279402 
0.772472 0.227528 
0.7543671 0.2456329 
0.6678152 0.3321848 
0.6402505 0.3597495 
0.6986227 0.3013773 
0.7270346 0.2729654 
0.7057207 0.2942793 
0.7617482 0.2382518 
0.7663293 0.2336707 
0.7657713 0.2342287 
0.7417086 0.2582914 
0.6272689 0.3727311 
0.774352 0.225648 
0.6311284 0.3688716 
0.6662582 0.3337418 
0.7313756 0.2686244 
0.6533794 0.3466206 
0.6573925 0.3426075 
0.7007566 0.2992434 
0.7349155 0.2650845 
0.7642051 0.2357949 
0.790526 0.209474 
0.7723448 0.2276552 
0.6654469 0.3345531 
0.7407276 0.2592724 
0.7062676 0.2937324 
0.7765274 0.2234726 
0.7940556 0.2059444 
0.7314629 0.2685371 
0.7053354 0.2946646 
0.7293728 0.2706272 
0.7955715 0.2044285 
0.6859299 0.3140701 
0.6658102 0.3341898 
0.7580078 0.2419922 
0.7155853 0.2844147 
0.6412653 0.3587347 
0.7243025 0.2756975 
0.7210137 0.2789863 
0.688577 0.311423 
0.7693396 0.2306604 
0.7271837 0.2728163 
0.7871705 0.2128295 
0.7465763 0.2534237 
0.7759523 0.2240477 
0.6656066 0.3343934 
0.5517122 0.4482878 
0.7242928 0.2757072 
0.6905449 0.3094551 
0.6772783 0.3227217 
0.6173826 0.3826174 
0.6356486 0.3643514 
0.7445467 0.2554533 
0.6783489 0.3216511 
0.710956 0.289044 
0.7198086 0.2801914 
0.6496135 0.3503865 
0.6692228 0.3307772 
0.6593615 0.3406385 
0.7294602 0.2705398 
0.6300148 0.3699852 
0.7287317 0.2712683 
0.7068334 0.2931666 
0.6811287 0.3188713 
0.6697166 0.3302834 
0.7086329 0.2913671 
0.7575504 0.2424496 
0.6707092 0.3292908 
0.6901922 0.3098078 
0.6734033 0.3265967 
0.6407329 0.3592671 
0.6701703 0.3298297 
0.7716099 0.2283901 
0.5781106 0.4218894 
0.7519157 0.2480843 
0.6231626 0.3768374 
0.7440822 0.2559178 
0.7289285 0.2710715 
0.599338 0.400662 
0.7044589 0.2955411 
0.7547857 0.2452143 
0.6358198 0.3641802 
0.7869529 0.2130471 
0.7696361 0.2303639 
0.7426446 0.2573554 
0.7085019 0.2914981 
0.744734 0.255266 
0.681111 0.318889 
0.781563 0.218437 
0.7475129 0.2524871 
0.7386178 0.2613822 
0.8344453 0.1655547 
0.626095 0.373905 
0.6981432 0.3018568 
0.6661188 0.3338812 
0.7716447 0.2283553 
0.7054408 0.2945592 
0.6951283 0.3048717 
0.7486035 0.2513965 
0.6612981 0.3387019 
0.6829903 0.3170097 
0.6954529 0.3045471 
0.6599438 0.3400562 
0.6754706 0.3245294 
0.6974065 0.3025935 
0.7629926 0.2370074 
0.6887658 0.3112342 
0.7075791 0.2924209 
0.708232 0.291768 
