"nu" "alpha"
2.59866 0.1340509
2.668554 0.3083739
2.559953 0.4646801
2.24615 0.3221592
2.861796 0.4829395
2.049893 0.4808051
2.553039 0.452187
2.686503 0.476959
2.562334 0.157035
2.675454 0.4386458
2.666256 0.3110189
2.460299 0.3624922
2.251649 0.3586408
1.979202 0.04409548
2.270828 0.4856489
2.356147 0.4695214
2.139899 0.2130817
2.667497 0.1875258
2.068579 0.1186701
2.238377 0.4811189
2.393123 0.2115924
2.36074 0.1292802
2.024609 0.2882476
2.602985 0.2861689
2.470693 0.1522328
2.658884 0.4411236
2.527749 0.4051077
2.418919 0.2831334
2.425337 0.197541
2.671968 0.3060504
2.16539 0.1868415
2.513379 0.3160223
2.549443 0.07058073
2.048033 0.3418406
2.508092 0.4794675
2.051964 0.4449174
2.057254 0.3931357
2.301578 0.3154585
2.024624 0.3337497
2.273653 0.4617137
2.132855 0.2629409
1.963543 0.04836467
2.286505 0.4409758
2.230772 0.1669344
2.215011 0.09936304
2.520921 0.1863272
2.441748 0.3308842
2.362064 0.2379203
2.345193 0.3162203
2.507242 0.4942057
2.348605 0.2194094
2.509882 0.2517485
2.435378 0.4831785
2.187452 0.2471535
2.053385 0.4878859
2.531169 0.2386902
2.570496 0.156768
2.511071 0.4959763
2.443251 0.07023733
2.229298 0.2888075
2.877455 0.1798297
2.4542 0.1142431
2.526073 0.3631247
2.105699 0.2960124
2.351877 0.1245369
2.268033 0.1724073
1.964202 0.3522883
2.00626 0.4504908
2.312297 0.1480094
2.48288 0.1891216
2.499311 0.2002804
2.676783 0.1539488
2.199946 0.2044027
2.326375 0.1478944
2.531321 0.4940266
2.109364 0.1399054
2.105179 0.4097015
2.213503 0.1015248
2.502926 0.2893757
2.15317 0.4318299
2.137697 0.4509506
2.377348 0.107071
2.442902 0.4233882
2.115691 0.3359269
2.347285 0.239083
2.28071 0.2820754
2.112183 0.405682
2.271352 0.08946495
2.547078 0.2591279
2.323748 0.4422648
2.62471 0.2757253
2.522749 0.1854709
2.346739 0.408738
2.13803 0.43636
2.482569 0.4724199
2.161607 0.1387719
2.080745 0.4965243
2.362432 0.329245
2.413646 0.461934
2.248763 0.3147315
2.342989 0.2811309
2.428666 0.2504898
2.348376 0.4511459
2.205187 0.4072461
2.720686 0.2760737
2.136888 0.235245
2.230212 0.03734842
2.263334 0.2774549
2.185898 0.2378487
2.630905 0.3857267
2.794561 0.1104887
2.319225 0.03693276
2.123207 0.2770228
2.487393 0.3996678
2.514549 0.2036654
2.146261 0.3949047
2.632454 0.2948876
2.436172 0.08919649
2.984089 0.4405369
2.541565 0.4643923
2.811916 0.273684
2.494284 0.1184778
2.697711 0.07546938
2.373779 0.3069779
2.344295 0.4635393
2.283007 0.3154654
2.291039 0.3345028
2.177225 0.1706997
2.330563 0.2800209
2.273113 0.2316474
2.056607 0.2611397
2.099101 0.1888129
2.459873 0.3053333
2.543266 0.1987951
2.343101 0.4787623
2.348888 0.2975376
2.590634 0.3470509
2.512707 0.3848557
2.780061 0.4998459
2.656601 0.197361
2.759934 0.4253563
2.468915 0.2872629
1.914568 0.2311733
2.281107 0.4114218
2.348643 0.3994755
2.537234 0.3185636
2.633504 0.2011055
2.607599 0.1433832
2.5364 0.2394423
2.092713 0.4324891
2.314694 0.2258432
2.065268 0.1921428
2.168415 0.0478299
2.334904 0.4522337
2.670748 0.4716558
2.209244 0.4447071
2.612086 0.1998892
2.434216 0.4634588
2.686491 0.362219
2.171112 0.2999274
1.996662 0.1634567
2.795545 0.1985245
2.067431 0.3025691
2.197518 0.1030437
2.024632 0.3251426
2.040029 0.02912312
2.060427 0.2952708
2.280372 0.2090955
2.179505 0.02956875
2.449946 0.2258818
2.402051 0.4486586
2.487395 0.4541493
2.254589 0.3647149
2.393713 0.1690553
2.220249 0.3620334
2.501315 0.1160262
2.740951 0.3973559
2.50273 0.4671428
2.476811 0.3531358
2.654242 0.3345132
2.336137 0.3995453
2.446209 0.466598
2.25552 0.2708352
2.554083 0.4021529
2.621416 0.05038996
2.572563 0.483451
2.363866 0.1524198
2.284841 0.3390591
2.293737 0.3738359
2.314052 0.4401847
2.303569 0.3105774
2.136935 0.4521715
2.497069 0.3289847
2.751084 0.4299799
2.172745 0.4628316
2.266057 0.4656674
2.377997 0.3063998
2.640611 0.3124505
2.394523 0.1177537
2.518975 0.2031796
2.483333 0.1437212
2.213491 0.2305323
2.795425 0.4072758
2.512481 0.1666874
2.57287 0.4875055
2.641995 0.3400297
2.144377 0.08580159
2.032378 0.3639027
1.991366 0.3427669
2.39576 0.2633751
2.10553 0.3775133
2.229432 0.4259232
2.033588 0.4610438
2.213165 0.4352885
2.266521 0.2036908
2.244628 0.3416813
2.286095 0.3844948
2.4091 0.3273593
2.570602 0.2210821
2.301392 0.4886833
2.524551 0.2010401
2.438282 0.4635893
2.658573 0.3898174
2.460341 0.2540697
2.22695 0.4646596
2.284376 0.3084839
2.799272 0.165838
2.440366 0.3391843
2.185412 0.3971919
2.342161 0.09760515
2.364278 0.3336166
2.048752 0.4774258
2.197802 0.1251872
2.474103 0.2863016
2.224969 0.3697001
2.468537 0.3955037
2.943592 0.2467609
2.641655 0.1684013
2.369026 0.35194
2.44955 0.4249677
2.625756 0.245941
2.648207 0.09530454
2.876857 0.3679454
2.799929 0.3565989
2.574931 0.3202586
2.895931 0.4785127
2.667984 0.07348579
2.452464 0.355576
2.455432 0.284928
2.287601 0.4088611
2.299367 0.2609246
2.91025 0.1377365
2.322731 0.2852458
2.314926 0.3570234
2.607693 0.3466015
2.360875 0.4641903
2.253351 0.3782084
2.381945 0.3224892
2.323489 0.2476256
1.785899 0.4188453
1.734443 0.346037
1.964253 0.1707732
2.144829 0.1857024
2.233792 0.404211
1.951011 0.1250923
2.396427 0.4098874
2.054038 0.244995
2.687885 0.1687718
2.073142 0.3005546
2.472188 0.22033
2.529608 0.327287
2.860549 0.08009539
2.43201 0.3346374
2.355041 0.3533404
2.674313 0.31641
2.326902 0.2001099
2.166572 0.3144837
2.475647 0.3206772
2.768839 0.1300406
2.08458 0.228145
1.971086 0.4448127
2.392994 0.06065466
2.433732 0.2939709
2.342643 0.1816544
2.612123 0.4047625
2.731606 0.4890982
2.70857 0.4820161
2.653702 0.117668
2.378728 0.2657268
2.332335 0.08208796
2.410487 0.3034834
2.284947 0.1187275
2.367705 0.4451427
2.319025 0.3191416
1.822852 0.387914
2.290931 0.4936639
2.482357 0.2680042
2.566991 0.05590412
2.443596 0.471063
2.4953 0.268682
2.074141 0.4463673
2.714595 0.3042429
2.431291 0.4610683
2.361237 0.2959082
2.784609 0.3395607
2.570722 0.341117
2.995394 0.3356922
2.336655 0.3843033
2.164961 0.3422292
2.116913 0.4861986
2.234858 0.3901278
2.062619 0.3848582
2.19396 0.4639479
2.191501 0.4416869
2.343136 0.4433575
2.018575 0.4306329
2.020735 0.2178058
2.159438 0.3942593
2.611449 0.03613182
2.450444 0.3445068
2.168104 0.06672847
2.380532 0.3802918
2.720659 0.474262
2.406358 0.1984403
2.182433 0.4542422
2.458726 0.1782498
2.304706 0.2960626
2.455677 0.4164673
2.568766 0.2210626
2.514232 0.2429798
3.041438 0.04352506
2.38137 0.4241423
2.522061 0.1957627
2.518937 0.1739979
2.369383 0.2697463
2.41716 0.1244527
2.392411 0.4540392
2.205966 0.1803124
2.316033 0.09718598
2.557185 0.1377759
2.364068 0.3015372
2.362112 0.05513757
2.515099 0.4645297
2.167148 0.1662077
2.577699 0.1328289
2.305459 0.257603
1.992743 0.3367313
2.562699 0.2758822
2.042826 0.3512587
2.078541 0.04832408
1.982092 0.4348495
2.305795 0.3647595
2.02023 0.4465008
2.804925 0.3917413
2.52506 0.3722416
2.444839 0.1812093
2.40372 0.3401327
2.335314 0.2211967
2.159864 0.1047771
2.271971 0.3448594
2.398885 0.2526365
2.09466 0.1833969
2.436071 0.07945814
2.653589 0.1341748
2.618315 0.4031363
2.180894 0.4463788
2.035592 0.4512856
2.161277 0.1646311
2.165625 0.4258606
2.693887 0.2486575
2.227474 0.2587909
2.205442 0.2435753
2.792358 0.3231139
3.091672 0.4049317
2.508828 0.28
2.473943 0.1072982
2.560354 0.3538564
2.539536 0.3658217
2.178007 0.07125007
2.593615 0.4198602
2.806497 0.315688
2.500343 0.2135707
2.463755 0.2999012
2.362371 0.4341682
2.371249 0.2330414
2.582016 0.05279386
2.608392 0.2026024
2.328902 0.1717284
2.288117 0.2023519
2.266176 0.3492472
2.213243 0.1647125
2.225294 0.1656038
2.02152 0.07944357
2.344666 0.3831915
2.320314 0.201129
2.416567 0.2682107
2.212062 0.2661421
2.212502 0.3948222
2.280241 0.3043289
2.202124 0.3523298
2.269831 0.3765573
2.817931 0.2835447
2.028979 0.4613434
2.38029 0.3893147
2.642437 0.1698301
2.67263 0.1653291
2.269459 0.4545947
2.342659 0.2391132
2.277667 0.1630531
2.203724 0.4115396
2.449391 0.3498241
2.51146 0.4737709
2.407528 0.2678703
2.617895 0.1260338
2.594197 0.2351815
2.408357 0.2746389
2.310177 0.1812292
2.295967 0.09800817
2.501346 0.3344989
2.422314 0.04060716
2.211001 0.1650193
2.252904 0.1299812
2.494968 0.4866743
2.050963 0.382409
2.437524 0.2998577
2.453415 0.1042703
2.30932 0.3695894
2.595285 0.2290904
1.91398 0.4886151
2.219771 0.4427328
2.235147 0.2036542
2.455353 0.3573284
2.442715 0.4205771
2.194957 0.4429689
2.140726 0.1658215
2.380383 0.282462
2.426319 0.2129996
2.72767 0.3020732
2.888768 0.3402171
2.284941 0.3886486
2.412438 0.423351
2.437132 0.4567382
2.260708 0.343708
2.259945 0.2763414
2.034914 0.05645962
2.259667 0.2612314
1.90075 0.4370655
2.120722 0.3403544
2.069065 0.4999356
2.113921 0.151388
2.467889 0.1185643
2.318291 0.283443
2.607767 0.4986681
2.372351 0.4545553
2.833917 0.275672
2.59899 0.4713271
2.646832 0.1554962
2.64174 0.4381087
2.431093 0.3146035
2.567953 0.2046754
2.699344 0.07252193
2.506298 0.2995849
2.780609 0.4284553
2.909777 0.2909863
2.688681 0.3213315
3.055454 0.06851489
2.672227 0.4651318
2.601337 0.4993567
2.656289 0.4290894
2.70495 0.287206
3.110427 0.3462196
2.397009 0.07326786
2.777848 0.4031783
2.325842 0.06443031
2.473231 0.1956186
2.549746 0.473935
2.329097 0.4772118
2.56899 0.4655679
2.083159 0.3621291
2.067941 0.2865172
2.457945 0.3231233
2.391151 0.3367577
2.138149 0.2682862
2.577664 0.3152527
2.569757 0.4452093
2.847888 0.1474263
2.59314 0.215063
2.166651 0.3397945
2.170232 0.4820384
2.261248 0.4511952
2.687857 0.1245505
2.91856 0.4316239
2.576954 0.4757868
2.378129 0.4099304
2.714487 0.2903196
