tau2_1 tau2_2 tau2_3 tau2_4 
0.0643667 0.03776697 28.96836 0.4579605 
0.9167818 0.0496947 1.851222 0.05815794 
0.1773256 0.01890919 0.439576 0.3752729 
0.9284456 0.04250183 145.7802 0.6380769 
0.6610991 0.02435698 0.5653617 0.6944186 
0.670169 0.01743004 6.419311 2.19793 
0.130511 0.03938283 143545.2 0.4747105 
0.3186206 0.02248578 34.19993 109.9759 
0.32959 0.02532376 0.4837694 2.103888 
0.4405874 0.0243028 7.336785 0.2818294 
0.1901469 0.01198352 1610.88 0.05371462 
0.02023809 0.02145316 6.411508 73.11584 
0.4362141 0.02682334 153.6319 1027.081 
0.4290849 0.02060766 1.994879 0.5369497 
0.2835338 0.03101535 0.453092 0.1997539 
0.4124275 0.03084729 173.3932 5.101431 
0.2139401 0.02201904 1.304736 0.8422745 
0.1118044 0.0308763 347343.7 0.1521557 
1.379067 0.03619059 544044 0.4529291 
0.5545089 0.02128426 22.0203 0.07996398 
