p_1 p_2 
0.8421887 0.1578113 
0.8637061 0.1362939 
0.8349873 0.1650127 
0.7979763 0.2020237 
0.8510673 0.1489327 
0.7783706 0.2216294 
0.8692101 0.1307899 
0.870695 0.129305 
0.7941957 0.2058043 
0.8410907 0.1589093 
0.8443782 0.1556218 
0.8407377 0.1592623 
0.8525892 0.1474108 
0.7488737 0.2511263 
0.8542783 0.1457217 
0.7730982 0.2269018 
0.872728 0.127272 
0.8556324 0.1443676 
0.8443388 0.1556612 
0.8216024 0.1783976 
0.854621 0.145379 
0.8615677 0.1384323 
0.8248288 0.1751712 
0.7994165 0.2005835 
0.8576004 0.1423996 
0.8420906 0.1579094 
0.8652974 0.1347026 
0.8156327 0.1843673 
0.7863987 0.2136013 
0.8500355 0.1499645 
0.8563367 0.1436633 
0.838626 0.161374 
0.7977434 0.2022566 
0.7889317 0.2110683 
0.8384748 0.1615252 
0.8979328 0.1020672 
0.8145793 0.1854207 
0.797366 0.202634 
0.8135603 0.1864397 
0.7601543 0.2398457 
0.7926389 0.2073611 
0.8575608 0.1424392 
0.7963536 0.2036464 
0.8230083 0.1769917 
0.8099187 0.1900813 
0.7905524 0.2094476 
0.7538718 0.2461282 
0.7898784 0.2101216 
0.8134149 0.1865851 
0.8200986 0.1799014 
0.8663231 0.1336769 
0.8710866 0.1289134 
0.7936826 0.2063174 
0.8017493 0.1982507 
0.7506858 0.2493142 
0.8265842 0.1734158 
0.8203761 0.1796239 
0.7857745 0.2142255 
0.8256218 0.1743782 
0.808478 0.191522 
0.872828 0.127172 
0.8106734 0.1893266 
0.8578128 0.1421872 
0.817798 0.182202 
0.7916297 0.2083703 
0.8524232 0.1475768 
0.8829092 0.1170908 
0.8593604 0.1406396 
0.7805278 0.2194722 
0.8015859 0.1984141 
0.8454579 0.1545421 
0.779562 0.220438 
0.817688 0.182312 
0.8106784 0.1893216 
0.8516938 0.1483062 
0.8225773 0.1774227 
0.8041908 0.1958092 
0.8320006 0.1679994 
0.7671673 0.2328327 
0.8249117 0.1750883 
0.7927698 0.2072302 
0.8313217 0.1686783 
0.7656738 0.2343262 
0.8119278 0.1880722 
0.8243452 0.1756548 
0.8299539 0.1700461 
0.8708001 0.1291999 
0.7633954 0.2366046 
0.878653 0.121347 
0.6836136 0.3163864 
0.8657589 0.1342411 
0.825806 0.174194 
0.8278771 0.1721229 
0.844386 0.155614 
0.8420926 0.1579074 
0.7777726 0.2222274 
0.8347587 0.1652413 
0.7935276 0.2064724 
0.7819959 0.2180041 
0.8398639 0.1601361 
0.797239 0.202761 
0.7374662 0.2625338 
0.8109481 0.1890519 
0.7914873 0.2085127 
0.7738789 0.2261211 
0.855288 0.144712 
0.8066808 0.1933192 
0.7970529 0.2029471 
0.8190093 0.1809907 
0.8103756 0.1896244 
0.7745404 0.2254596 
0.7696522 0.2303478 
0.8350814 0.1649186 
0.8377685 0.1622315 
0.7660008 0.2339992 
0.8524202 0.1475798 
0.8399913 0.1600087 
0.8082605 0.1917395 
0.9141664 0.08583359 
0.8460122 0.1539878 
0.8111384 0.1888616 
0.741057 0.258943 
0.831742 0.168258 
0.8485593 0.1514407 
0.7498201 0.2501799 
0.8624487 0.1375513 
0.7869957 0.2130043 
0.7465245 0.2534755 
0.8592933 0.1407067 
0.7960356 0.2039644 
0.8539641 0.1460359 
0.8313735 0.1686265 
0.8116556 0.1883444 
0.8417664 0.1582336 
0.8403122 0.1596878 
0.8292111 0.1707889 
0.8074457 0.1925543 
0.7388374 0.2611626 
0.7419698 0.2580302 
0.7600369 0.2399631 
0.8723923 0.1276077 
0.9030729 0.09692708 
0.7757231 0.2242769 
0.7886149 0.2113851 
0.7306009 0.2693991 
0.7356093 0.2643907 
0.8306379 0.1693621 
0.7549099 0.2450901 
0.8248637 0.1751363 
0.8036443 0.1963557 
0.7952046 0.2047954 
0.8108721 0.1891279 
0.8263788 0.1736212 
0.8255116 0.1744884 
0.8647787 0.1352213 
0.8502457 0.1497543 
0.7484457 0.2515543 
0.8338929 0.1661071 
0.7788024 0.2211976 
0.8368048 0.1631952 
0.85301 0.14699 
0.8562724 0.1437276 
0.8589581 0.1410419 
0.8364329 0.1635671 
0.8534226 0.1465774 
0.842269 0.157731 
0.815704 0.184296 
0.8327543 0.1672457 
0.8067128 0.1932872 
0.8425392 0.1574608 
0.7495142 0.2504858 
0.8423031 0.1576969 
0.8378808 0.1621192 
0.8037817 0.1962183 
0.8456051 0.1543949 
0.8025157 0.1974843 
0.8164909 0.1835091 
0.843828 0.156172 
0.8725612 0.1274388 
0.78031 0.21969 
0.831809 0.168191 
0.807773 0.192227 
0.8546571 0.1453429 
0.7869565 0.2130435 
0.81704 0.18296 
0.8369623 0.1630377 
0.8285365 0.1714635 
0.7752386 0.2247614 
0.7926943 0.2073057 
0.8277469 0.1722531 
0.832188 0.167812 
0.7887623 0.2112377 
0.7943706 0.2056294 
0.8493612 0.1506388 
0.8343149 0.1656851 
0.8413003 0.1586997 
0.8539173 0.1460827 
0.7101338 0.2898662 
0.8971242 0.1028758 
0.8477281 0.1522719 
0.8055737 0.1944263 
0.7979596 0.2020404 
0.8378385 0.1621615 
0.795397 0.204603 
0.8505198 0.1494802 
0.8002397 0.1997603 
0.8337709 0.1662291 
0.872773 0.127227 
0.8349107 0.1650893 
0.8371897 0.1628103 
0.8824126 0.1175874 
0.8274631 0.1725369 
0.8212 0.1788 
0.861056 0.138944 
0.891885 0.108115 
0.7689842 0.2310158 
0.8807361 0.1192639 
0.7584654 0.2415346 
0.7484948 0.2515052 
0.830996 0.169004 
0.8142738 0.1857262 
0.8126578 0.1873422 
0.7656524 0.2343476 
0.8242473 0.1757527 
0.803196 0.196804 
0.7068889 0.2931111 
0.8142577 0.1857423 
0.7811369 0.2188631 
