"tau2_1" "tau2_2" "tau2_3"
0.202237 0.01627713 0.07870452
0.2415425 0.02064789 0.02326349
0.1166679 0.01973672 0.02313973
0.109635 0.01758071 0.029863
0.1177662 0.01647218 0.03781112
0.3134033 0.01999047 0.05356052
0.2647262 0.02572392 0.03294005
0.1071379 0.01480983 0.05470669
0.2079452 0.01329929 0.04692853
0.409186 0.01700217 0.03154987
0.2928143 0.009754105 0.03312561
0.1873967 0.01608937 0.04857629
0.1237306 0.01814393 0.04558549
0.1894492 0.01662772 0.08274028
0.09139913 0.02244471 0.04009854
0.171035 0.005993232 0.02891754
0.1617353 0.01830513 0.05224175
0.2856513 0.01820657 0.04173223
0.2077023 0.03845716 0.04013209
0.2363214 0.03139782 0.04417241
0.1159291 0.01081296 0.04270073
0.2187262 0.01126571 0.03292739
0.1143379 0.01309815 0.06081283
0.5924808 0.01412693 0.07026382
0.2243302 0.01187082 0.07932326
0.1809771 0.02293409 0.07153468
0.3176894 0.02614363 0.05303617
0.2633356 0.02097467 0.07509273
0.3403017 0.01756396 0.02982536
0.2492436 0.01277476 0.01456802
0.1358921 0.008344286 0.03054382
0.2180821 0.02900783 0.03050078
0.3547733 0.01964168 0.08927228
0.1345274 0.01103328 0.05610484
0.1228184 0.00771752 0.0632527
0.2181464 0.01419325 0.0353658
0.1929044 0.01238969 0.02811537
0.1259458 0.0145881 0.02008907
0.1159337 0.02341344 0.06863617
0.2338049 0.02043246 0.03706146
0.08718978 0.01097514 0.03453255
0.0991998 0.0119021 0.04429354
0.1219144 0.01397459 0.03727498
0.1514205 0.0121177 0.0506322
0.2208462 0.01041505 0.03674633
0.2453566 0.01571924 0.02827163
0.1254909 0.007604147 0.06566934
0.1012289 0.009767811 0.0318043
0.1257243 0.01008595 0.05095404
0.1813953 0.01472048 0.04864125
0.1719994 0.02468641 0.03705119
0.1486116 0.01438391 0.0173368
0.1202734 0.01630181 0.0274659
0.1203495 0.03471318 0.01658256
0.1753406 0.01267293 0.04888534
0.2782587 0.008622294 0.05353085
0.2209006 0.01336435 0.02588045
0.1342918 0.0281167 0.02545163
0.181648 0.02326368 0.03700944
0.1245877 0.01118561 0.04322091
0.1651109 0.02392494 0.02052454
0.1187515 0.01411503 0.06538929
0.09537111 0.01528077 0.02628448
0.1611265 0.007434685 0.04535855
0.1602256 0.008709533 0.04799546
0.2935573 0.01675074 0.01841971
0.3051662 0.01850781 0.05987684
0.2699404 0.01489093 0.05164443
0.2373174 0.01221501 0.04297345
0.120659 0.02179247 0.04272278
0.2643761 0.01146984 0.0814148
0.1465851 0.01481823 0.06636517
0.201775 0.008884658 0.03248308
0.1472272 0.01474822 0.01866589
0.2707337 0.02691765 0.02965093
0.3658521 0.01436456 0.01627927
0.176209 0.007892746 0.0270408
0.2764645 0.01378028 0.01907839
0.2657431 0.02140349 0.01444862
0.2544964 0.01259566 0.01797719
0.368317 0.008401019 0.02788298
0.3202643 0.02095528 0.03621961
0.3018219 0.01233135 0.08013903
0.2828467 0.01763457 0.03056269
0.1728252 0.0234453 0.03079899
0.1704809 0.0228724 0.02559254
0.1289973 0.02175831 0.04303069
0.211368 0.02491601 0.03356324
0.08163259 0.01191641 0.05532494
0.07296465 0.01468188 0.07848108
0.1579582 0.02251963 0.0940291
0.1411359 0.02193891 0.04676632
0.2795087 0.01115337 0.04444379
0.2114113 0.01527069 0.04173381
0.2681732 0.01996317 0.03323434
0.1818767 0.01730937 0.04257914
0.2315046 0.01499066 0.05814173
0.1915546 0.01051844 0.08755478
0.1977094 0.02729696 0.1472611
0.1834046 0.01265194 0.04515345
0.3232181 0.0142547 0.038372
0.1755578 0.008319831 0.06069842
0.2078684 0.006531015 0.04939943
0.1925644 0.02007222 0.04914549
0.1068949 0.02332916 0.05702164
0.1523564 0.01181644 0.05026609
0.141232 0.00785487 0.04574294
0.2613517 0.005656068 0.02210124
0.1893071 0.0152827 0.03826713
0.1312886 0.01319698 0.03652369
0.1437529 0.008207263 0.06468367
0.1006533 0.007647934 0.03370148
0.1806862 0.01415604 0.02961392
0.1642638 0.02486818 0.05094758
0.0756685 0.01343937 0.04261197
0.1990651 0.009863997 0.03698919
0.2307942 0.04203893 0.02463125
0.1286979 0.01013417 0.02656646
0.2656669 0.01004365 0.02117286
0.1158638 0.01114828 0.04910125
0.1155582 0.02090445 0.03859904
0.2028273 0.01052877 0.02526766
0.2342576 0.02157508 0.03454211
0.1726736 0.03631791 0.04709847
0.2054653 0.02351698 0.03055929
0.1994638 0.01610168 0.0323835
0.2882218 0.0241393 0.03112848
0.3332269 0.0185692 0.06218841
0.2022665 0.01133227 0.04800856
0.231333 0.01418545 0.02833939
0.1827411 0.01148002 0.06306131
0.1709101 0.009828132 0.03594813
0.1913233 0.01900123 0.0172425
0.1411947 0.0266201 0.02188066
0.2386211 0.02309469 0.03713079
0.2998255 0.00678559 0.04140257
0.1449898 0.02898196 0.03592374
0.1537293 0.01603883 0.02899369
0.1623737 0.0275414 0.03161939
0.1119444 0.02337331 0.03086327
0.1420246 0.005618402 0.03549094
0.1752563 0.02686565 0.02170492
0.3922857 0.01812618 0.02562307
0.1342113 0.02029917 0.02686404
0.2903367 0.02536464 0.02429947
0.2015044 0.009047131 0.07125666
0.2444848 0.01967476 0.06927312
0.1857768 0.01908911 0.06369313
0.1813622 0.01531356 0.0496078
0.1207653 0.02231097 0.02567862
0.2765485 0.0151321 0.03695821
0.09020644 0.01537319 0.02258371
0.3024471 0.0136759 0.02043896
0.3613119 0.03730779 0.02720184
0.2172836 0.01576595 0.06691065
0.2765513 0.01977628 0.0458468
0.2281367 0.01748553 0.05319372
0.2260121 0.01542367 0.03401474
0.2492126 0.02492991 0.0294487
0.229491 0.01339837 0.05731767
0.4840514 0.02057114 0.05372818
0.4230213 0.02320582 0.04125138
0.1249292 0.00934221 0.02000442
0.3499487 0.01151601 0.04852653
0.2272167 0.02602418 0.06089215
0.2018512 0.01197549 0.05571285
0.2102882 0.01349593 0.08362824
0.1318678 0.01598482 0.1270352
0.3073135 0.03373595 0.04236602
0.1837713 0.03561469 0.02605571
0.1892419 0.03387278 0.02393536
0.128245 0.02422897 0.05557007
0.2533229 0.01771594 0.08318869
0.1734806 0.01679529 0.01601198
0.1326661 0.01897293 0.02762933
0.1509721 0.01559814 0.03071613
0.1342641 0.01391212 0.052747
0.2555994 0.04468788 0.04754636
0.06926705 0.02584853 0.05332126
0.2281164 0.04589866 0.05781494
0.1349633 0.02600652 0.03059489
0.1830998 0.05844103 0.031681
0.1415505 0.02244853 0.04927524
0.1071278 0.02031437 0.04241833
0.1223757 0.01758712 0.02585968
0.3416731 0.01645435 0.04110933
0.1273155 0.01251255 0.0441843
0.2737103 0.01076205 0.04584485
0.3231697 0.0191631 0.03860696
0.112355 0.01660543 0.03732171
0.1222024 0.01296412 0.07162581
0.2644057 0.02154636 0.04773685
0.2614111 0.01465144 0.02449981
0.1985855 0.02324654 0.02732616
0.1687908 0.0276904 0.02758856
0.1299098 0.0372268 0.04630029
0.2109973 0.01052965 0.03249113
0.1487612 0.01316013 0.09542343
0.1725215 0.01084772 0.08807296
0.2046056 0.01679907 0.02885601
0.2273701 0.01444933 0.06206328
0.3214471 0.01225376 0.04487018
0.1538491 0.03319103 0.0433723
0.09999039 0.01909408 0.04174407
0.1218737 0.01109466 0.0389929
0.170598 0.02691416 0.04997737
0.2046664 0.01272228 0.05462516
0.08834064 0.013864 0.06991076
0.1877783 0.01923852 0.06489601
0.1787622 0.01349845 0.05727181
0.1704692 0.011286 0.06132084
0.06675941 0.009534967 0.05320893
0.1091826 0.01509603 0.0401923
0.1073821 0.01924721 0.03719886
0.1913649 0.0125027 0.0473052
0.100786 0.03090084 0.03728035
0.1929399 0.00777724 0.02459759
0.1549133 0.01140362 0.06371118
0.2014446 0.01571638 0.03435136
0.2531997 0.01899065 0.03526356
0.1409682 0.03489061 0.0328412
0.1566703 0.02149944 0.03586715
0.1415244 0.0247416 0.03481844
0.5667232 0.02087756 0.06392061
0.1450245 0.007040311 0.0476438
0.38464 0.01523877 0.04272231
0.102411 0.0417634 0.06025564
0.09637689 0.00957607 0.04283425
0.2616932 0.01705281 0.03395125
0.1777873 0.01523834 0.04327033
0.08843102 0.01907147 0.03908729
0.1783171 0.02231887 0.02734377
0.3180231 0.014724 0.07639959
0.2211491 0.01506123 0.04968422
0.3249903 0.02201432 0.02917252
0.1780536 0.01535933 0.05251767
0.1271857 0.009431595 0.01543165
0.1171138 0.01459649 0.02534037
0.2264034 0.01043006 0.02556865
0.2634533 0.01702099 0.06167113
0.2756404 0.01127174 0.07865084
0.1715555 0.01168895 0.0323169
0.1417388 0.007505862 0.03514402
0.08560702 0.009408816 0.05657555
0.08083755 0.01522511 0.03077926
0.1243013 0.02082455 0.02760767
0.1617235 0.01183325 0.03967713
0.2018453 0.01202037 0.04906912
0.1941153 0.01717044 0.02912606
0.1797942 0.03177453 0.02599801
0.2149145 0.04658361 0.04238818
0.2834427 0.01880484 0.04134768
0.1947501 0.02566775 0.05560829
0.1139652 0.01653345 0.0336069
0.06523317 0.01693499 0.05960645
0.1947618 0.009973898 0.01974454
0.249648 0.008967052 0.02338437
0.2354541 0.01084336 0.01764821
0.2594405 0.01907662 0.01877282
0.1693464 0.01033095 0.05731602
0.2242598 0.009654999 0.05539375
0.4816473 0.01145955 0.04476892
0.2351956 0.01932012 0.04575722
0.2089464 0.02743589 0.02697751
0.1463963 0.01755145 0.06528293
0.154944 0.0177418 0.02237941
0.1062987 0.01638776 0.02202351
0.1264681 0.02596023 0.0350659
0.1210657 0.01888197 0.0715758
0.1494397 0.01173393 0.02318993
0.1838187 0.01144968 0.03787565
0.1878589 0.02051306 0.09375104
0.1661061 0.02970487 0.06777966
0.1093499 0.02150261 0.03825068
0.1107032 0.02090621 0.04257242
0.1686888 0.01176204 0.037963
0.09667323 0.008706513 0.04187956
0.131283 0.0157119 0.0563342
0.1045723 0.01224758 0.06365848
0.09907763 0.01438171 0.01661987
0.2098284 0.01401159 0.03866346
0.09313811 0.02176159 0.04952061
0.09354873 0.06267925 0.09270548
0.1609563 0.02182516 0.08746118
0.1370273 0.04094393 0.01951822
0.226088 0.00918865 0.04445883
0.2520683 0.03741793 0.04948241
0.3669678 0.01757581 0.0580064
0.1222718 0.02094673 0.03124303
0.1378897 0.01762017 0.02533337
0.1577791 0.01736115 0.04917388
0.1290479 0.01294502 0.03299911
0.2581537 0.005319238 0.01423897
0.1638352 0.01544147 0.04852367
0.1217987 0.01501398 0.07053562
0.1689513 0.006648636 0.07050212
0.05403564 0.008273736 0.06294555
0.08248392 0.01587851 0.02908305
0.09279019 0.01819225 0.03684902
0.1739905 0.01814716 0.06820653
0.3845912 0.01210505 0.04064257
0.323902 0.01084528 0.01875022
0.2080212 0.01258036 0.07213705
0.4143624 0.01340063 0.03937867
0.2562768 0.02281227 0.04793169
0.2531748 0.01731118 0.03385411
0.1401134 0.01904224 0.05126998
0.4009776 0.03548049 0.04303032
0.2288265 0.03022929 0.04510026
0.1513979 0.01486421 0.05474571
0.05217772 0.03109495 0.01526516
0.1318953 0.01550827 0.02878022
0.3002812 0.01813799 0.0229511
0.1730295 0.01279025 0.04126959
0.2583743 0.01487323 0.0437077
0.2070565 0.007228891 0.07866934
0.3153984 0.0221902 0.09093363
0.111846 0.02329731 0.05201559
0.1450392 0.02902547 0.04608054
0.122655 0.01706553 0.04977465
0.1204292 0.01274662 0.04134337
0.2081773 0.00617616 0.03386363
0.2545345 0.008283497 0.05942659
0.1470766 0.007661248 0.03391202
0.1124506 0.01155057 0.05557317
0.1880323 0.01775391 0.02197365
0.08377795 0.02408792 0.04013263
0.3653055 0.02068722 0.04839855
0.2566275 0.02580582 0.04884696
0.2243127 0.02070405 0.02266729
0.2207073 0.008191479 0.03095207
0.2064193 0.01392106 0.03602733
0.1790222 0.01155308 0.01522663
0.1342373 0.01356124 0.01150411
0.3558347 0.01616144 0.04147814
0.2520396 0.0127175 0.0211347
0.2552942 0.01538142 0.03377407
0.28712 0.02581901 0.02840243
0.5172327 0.02817921 0.04006849
0.4254168 0.01808578 0.04878172
0.1275984 0.01929685 0.04786326
0.08891081 0.01145418 0.03850749
0.05948021 0.01365278 0.07095249
0.1230575 0.01622482 0.0502018
0.1472218 0.01973915 0.04816566
0.2275514 0.009721105 0.0544838
0.1344337 0.007451689 0.06852861
0.1374134 0.01939968 0.04792307
0.2460652 0.02587976 0.05508479
0.2122349 0.01560744 0.03382066
0.1807494 0.01100044 0.06643495
0.1260292 0.009624947 0.02534424
0.1134252 0.01385921 0.01875136
0.3197028 0.01209896 0.05277871
0.2457112 0.01320513 0.04290671
0.07565657 0.008521249 0.06287238
0.1986355 0.02421611 0.01937629
0.1911772 0.0108619 0.02402138
0.115497 0.02294881 0.07896975
0.1360942 0.01580912 0.09908292
0.1681392 0.01519589 0.02928627
0.09730566 0.009706819 0.01665334
0.1126602 0.01172161 0.03649295
0.3277466 0.01037668 0.02558563
0.2244831 0.02629006 0.04300782
0.2114908 0.02446158 0.05307034
0.1983872 0.01443314 0.04421978
0.1881365 0.01133136 0.0573158
0.2127452 0.01079579 0.0476145
0.1700314 0.03310313 0.0359967
0.2676486 0.01379719 0.02472911
0.2805223 0.01170794 0.07812787
0.1478935 0.01959721 0.0596764
0.1007935 0.0126716 0.03198576
0.2068021 0.008752152 0.0400311
0.1774448 0.01470728 0.02998401
0.323401 0.02119635 0.07690283
0.1537901 0.0138584 0.04882884
0.1359361 0.008342027 0.05009261
0.2825251 0.01966539 0.03555918
0.2157089 0.009258687 0.02728681
0.2139115 0.008765501 0.0414446
0.2926488 0.01563581 0.03213982
0.5164154 0.01443273 0.02926434
0.2891713 0.01413909 0.0744581
0.1844303 0.03576187 0.05938658
0.2952258 0.03627108 0.02902812
0.3322109 0.01437334 0.02038845
0.193294 0.02243017 0.02197628
0.2771149 0.01758964 0.07529826
0.2023069 0.01427541 0.02102862
0.2078907 0.02619699 0.03096663
0.3979476 0.01183161 0.03161885
0.1104174 0.01774437 0.05509686
0.1052452 0.01039293 0.03104058
0.1295879 0.01531502 0.02946896
0.176229 0.01668878 0.03894138
0.07736663 0.03557994 0.02423646
0.1679504 0.03929962 0.0244304
0.3005111 0.02607128 0.03295524
0.220283 0.009927448 0.04822406
0.1190006 0.01122223 0.01824783
0.2100614 0.01458185 0.04140893
0.3586774 0.01522133 0.0670471
0.1612356 0.01489379 0.04543101
0.2046178 0.009361493 0.0618071
0.149774 0.01602544 0.03918404
0.09499241 0.02149072 0.0258023
0.4198295 0.008409974 0.02010259
0.2980487 0.01385481 0.05486848
0.1518069 0.01604925 0.07163288
0.2720511 0.02521541 0.04035613
0.248322 0.01944828 0.1124118
