"Delta_1" "Delta_2" "Delta_3" "Delta_4"
-2.9602 -2.138175 1.328017 3.489923
-3.118962 -2.10027 1.358725 0.6057436
-2.951568 -1.966287 1.276799 -14.86913
-2.934955 -2.016341 1.269567 -11.42406
-2.792258 -2.006169 1.158928 -2.290024
-2.675993 -2.063795 1.194018 -10.31666
-2.832302 -2.158831 1.221053 -18.20493
-2.69708 -2.129523 1.173354 14.73488
-2.285363 -2.157542 1.124414 4.199752
-2.597634 -2.198547 1.048019 -3.82145
-3.03106 -2.076694 1.089928 10.58639
-2.905126 -2.262905 1.151846 -0.9166143
-3.120767 -2.222735 1.068884 5.353176
-2.691652 -2.396209 1.135706 8.000314
-2.741481 -2.292196 1.084555 8.170113
-3.129223 -2.177407 1.187943 -4.747316
-2.795779 -2.118749 1.103337 -2.769606
-2.715963 -2.068935 1.102051 5.331357
-3.079954 -1.991115 1.151705 -6.230114
-2.72942 -1.946429 1.104219 16.43421
-2.91884 -1.982213 1.138097 -0.6071142
-2.989586 -1.884708 1.253149 -4.383575
-2.772176 -2.0629 1.313349 -0.6536324
-3.308667 -2.070773 1.259349 16.19869
-3.445444 -2.14636 1.157077 3.65305
-3.121359 -2.14204 1.225592 -6.563312
-3.031966 -2.172177 1.16314 -7.707957
-3.355286 -2.25017 1.117833 -12.42696
-3.002299 -2.319205 1.123872 7.314558
-2.978348 -2.209582 1.197668 -14.8698
-3.057608 -2.275378 1.217298 9.789098
-2.800408 -2.17993 1.227552 3.275494
-2.736433 -2.150831 1.144443 -13.01121
-2.801921 -2.287126 1.16024 -5.518491
-2.933004 -2.284793 1.257936 14.09024
-3.426474 -2.176611 1.26137 -2.736691
-3.540662 -2.040049 1.248682 -11.85305
-3.614717 -2.080317 1.200607 4.674633
-3.443179 -2.155536 1.211876 -2.202268
-3.612045 -2.220255 1.214405 -4.216717
-3.323622 -2.418227 1.246553 -15.36601
-3.200752 -2.445834 1.122449 -13.13278
-3.242364 -2.514089 1.071602 4.740438
-3.19117 -2.320794 1.145802 11.72428
-2.947264 -2.270553 1.21853 -16.44193
-2.860579 -2.265574 1.186948 -13.86796
-2.52522 -2.198829 1.169527 4.515166
-3.089619 -2.337415 1.158872 11.02674
-2.790325 -2.357726 1.043187 -12.86316
-2.966412 -2.327153 1.19647 -9.765404
-3.01196 -2.118196 1.221668 1.560458
-2.932973 -2.153039 1.214423 5.244544
-3.085827 -2.08837 1.188492 -5.34559
-2.945886 -1.970493 1.180129 5.256472
-2.852464 -1.9611 1.137813 6.557043
-2.924285 -2.036406 1.211367 -9.957329
-2.817933 -2.041828 1.076176 0.6461818
-2.774944 -2.102624 1.246795 7.532345
-3.214569 -1.868466 1.243256 -8.7006
-2.991169 -1.970352 1.205705 0.9287171
-2.663795 -1.951555 1.18017 -10.67788
-2.569067 -1.903192 1.124194 -15.13151
-2.699193 -2.036524 1.087423 13.10385
-2.59511 -2.044904 1.07356 6.741906
-2.727055 -1.924506 1.164859 11.86105
-3.114413 -2.121073 1.108214 8.958632
-2.536363 -2.013539 0.9988519 11.29814
-2.392771 -2.092976 1.121804 -13.46075
-2.565783 -1.982469 1.141061 -0.9661115
-2.861479 -2.040523 1.081766 11.83268
-3.047296 -1.961758 1.158944 -0.6368146
-3.016728 -2.086055 1.100133 -11.43628
-3.150494 -2.052656 1.184091 -5.609807
-2.925635 -2.080837 1.172207 -2.395874
-2.925724 -2.191701 1.194051 -4.4582
-3.451103 -2.09839 1.289104 3.704471
-3.423362 -2.071991 1.294599 -2.537057
-3.309605 -2.057278 1.189236 -5.144433
-3.339738 -2.074112 1.273307 1.77158
-3.552374 -2.056738 1.312863 4.355028
-3.483275 -1.987258 1.348791 5.403616
-3.418903 -1.908867 1.270605 0.5418245
-3.216538 -2.037116 1.172197 -0.6790144
-2.874373 -1.991181 1.197926 -2.341722
-2.786635 -1.954936 1.206456 0.1779206
-3.01458 -1.916892 1.119153 3.795064
-3.223545 -2.044894 1.213567 7.144274
-3.336781 -2.063436 1.181155 -1.210241
-3.477847 -2.196484 1.173063 -16.36799
-2.966626 -2.150991 1.227092 -0.8685451
-2.69168 -2.241092 1.186269 9.537658
-2.884373 -2.253234 1.182229 8.48807
-2.897987 -2.194339 1.163901 -2.331716
-2.778029 -2.13434 1.124033 5.446588
-2.947842 -2.090966 1.033857 24.22438
-2.96456 -2.102379 1.195194 -2.309098
-3.307647 -2.199177 1.168974 -3.092128
-3.077052 -2.215527 1.159085 -3.270748
-3.332944 -2.006881 1.185545 -3.332275
-3.01872 -2.18853 1.143606 -19.54454
-3.047897 -2.178253 1.405162 -5.23969
-2.891466 -2.252292 1.390942 6.530113
-2.636158 -2.14368 1.282175 -10.0337
-2.746163 -1.943784 1.201708 -10.2657
-2.826348 -1.946076 1.162247 3.048563
-2.916362 -1.87432 1.138996 0.01598951
-2.909054 -1.860417 1.076404 0.3503505
-2.935808 -1.986705 1.156636 2.69285
-3.052285 -1.986551 1.183839 -7.286641
-2.811404 -2.003979 1.183294 -11.59249
-2.806784 -1.989815 1.155778 4.311981
-2.582399 -2.227675 1.147766 9.436651
-2.959303 -2.185107 1.188376 1.613978
-2.895499 -2.12009 1.148482 -1.622048
-2.856594 -2.36975 1.061682 9.095929
-2.82606 -2.305769 0.9643206 0.8968333
