beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
-8.831791 -4.795385 -21.61247 -5.784526 -0.1132516 3.976878 -11.11864 -18.18273 
-9.294301 -4.240011 -23.0062 -5.206625 -0.005866845 3.915631 -16.74809 -3.923772 
-9.776368 -5.57187 -25.63216 -2.513027 -0.08369173 3.979407 4.543157 14.18759 
-8.19264 -4.826301 -14.35218 -16.47917 -0.01341781 3.99184 0.2427457 0.4730663 
-6.123692 -7.000774 17.84159 8.598515 -0.2198927 3.913079 -23.12808 -4.800916 
-8.132761 -4.477461 5.648708 2.16284 -0.2946592 3.917671 -23.25468 -4.109438 
-2.40414 -5.109334 2.983808 -3.998448 0.1031218 4.00271 -10.65615 -8.282396 
5.426659 4.071464 -7.819784 -2.91006 -0.1628626 4.005402 -13.81779 -6.392308 
1.023186 -23.19805 -6.250536 -2.475074 0.1299485 3.96287 -19.78739 -3.32701 
-8.471634 2.4755 -8.905 -6.079695 -0.0669082 3.926922 -16.52712 -6.561596 
-6.904798 -4.645839 -8.357197 -5.087845 -0.2104939 3.943226 -22.11776 -3.466197 
