Delta_1 Delta_2 
-0.05130762 -0.01502793 
-0.003589048 -0.01126674 
-0.01936378 0.003102669 
-0.02007086 -0.04315523 
-0.04289909 -0.02280376 
-0.02839531 0.01131282 
0.0240089 -0.02794659 
-0.1462426 0.003651299 
-0.007569428 -0.00388888 
0.03730857 -0.009889419 
0.004188496 0.004994251 
-0.02850281 0.0158104 
-0.04407042 -0.003576432 
-0.02016248 -0.003494992 
-0.02410872 0.02300734 
-0.06992577 -0.002549902 
0.01904026 -0.03148213 
-0.1266134 -0.008517346 
-0.03972989 -0.007798565 
0.01057253 -0.001881931 
-0.1184536 -0.02525367 
-0.01224547 0.006819714 
-0.0004944495 -0.0009070422 
-0.08434704 0.0086807 
-0.082836 -0.01209123 
-0.03592259 0.02291567 
0.1917456 -0.004038661 
-0.09397137 0.006137017 
0.03239206 -0.008893802 
-0.04526418 0.0004574082 
0.07043823 0.04365705 
-0.1077345 0.008411701 
0.0007468782 -0.0006369224 
-0.0608184 0.01340712 
-0.06325429 -0.005377324 
0.01965169 0.007713711 
-0.1080713 0.01040312 
-0.01028208 0.01246243 
0.007344649 -0.0003121164 
-0.03504499 0.003460753 
-0.03158585 -0.02261392 
-0.06217385 -0.0007736136 
0.02232674 -0.003661761 
0.008133041 -0.004362397 
-0.08103025 -0.01502544 
0.08925042 0.01441249 
-0.05623086 -0.01064875 
-0.01498913 -0.002936275 
-0.05798778 -0.0154587 
0.01596613 -0.01384116 
0.03087097 -0.004913084 
-0.07610408 0.0137193 
-0.02264102 -0.02560057 
-0.01493535 -0.01524975 
-0.08186021 -0.01703895 
-0.01174797 0.003733121 
-0.02759382 -0.01837179 
0.02448756 0.01246508 
0.008557781 0.004929776 
0.01639913 0.01380653 
-0.06984725 -0.004718644 
0.01716413 0.02873155 
-0.045009 -0.05156884 
-0.06443021 -0.01929305 
2.016451e-05 -0.02978303 
0.1220287 -0.02174158 
-0.003923444 0.007343636 
-0.0353601 0.009885846 
-0.03149537 -0.01663981 
-0.03738796 -0.001713009 
0.03000535 0.02701907 
-0.04501991 0.006678813 
0.1057116 -0.03716824 
0.08399401 -0.01297796 
0.0715521 -0.03162265 
-0.02018182 -0.009140561 
0.0003656248 -0.002810904 
-0.03786795 0.009157368 
-0.1033668 -0.01577281 
0.07124311 -0.001305036 
0.06494837 -0.01246176 
-0.06155831 -0.02571388 
-0.07190796 -0.006673401 
-0.006934526 0.01003416 
-0.05582456 -0.01919515 
0.01011225 -0.001374749 
-0.01411317 0.008335541 
-0.07026961 -0.003103882 
-0.03761135 -0.02518297 
-0.06489158 -0.001425392 
-0.053685 -0.001367384 
-0.04443062 -0.001912051 
-0.06894349 -0.01201474 
-0.03658576 -0.004662927 
0.05279135 -0.009494287 
0.01463423 -0.03073524 
-0.04995591 -0.006015666 
-0.040451 -0.003178462 
0.06639793 0.003035785 
-0.09116237 0.004585414 
-0.08002456 -0.004408002 
0.03782269 0.01183562 
-0.1179747 -0.001342408 
-0.01387395 -0.004802561 
-0.05153787 -0.006012687 
-0.01628188 0.002286378 
0.03901377 -0.02533023 
-0.0300169 -0.02209308 
0.03737034 -0.004763049 
-0.05650239 0.002570154 
-0.04400315 -0.01701646 
-0.1047957 -0.01430089 
-0.07488597 0.006614021 
-0.04712619 -0.03345273 
0.02619889 -0.0002733048 
-0.1334225 0.004600279 
-0.07710267 0.003169789 
0.07640478 -0.03096329 
-0.007521524 -0.008169669 
-0.05441256 -0.01450106 
-0.009609218 0.0261238 
0.01321999 0.0004027951 
-0.02192627 0.01044541 
-0.03138359 -0.02384303 
0.03402315 0.006575739 
-0.01883474 -0.001214011 
-0.02662542 -0.009591209 
0.09596532 0.02270654 
-0.02949025 0.006885104 
-0.07959952 0.01461802 
0.1001772 -0.01312697 
0.07238261 -0.01637295 
-0.03470806 -0.0137026 
0.002098645 0.004073208 
0.08398209 -0.03625938 
-0.019485 -0.000425237 
-0.001329287 0.001367269 
-0.03794901 0.005683786 
0.02544556 -0.01654333 
0.02207028 0.004104554 
-0.03399406 -0.00288583 
-0.02236158 0.002392265 
-0.01408326 0.001604658 
-0.05194103 -0.007591552 
0.002180407 0.01409644 
-0.03453985 -0.02610532 
-0.05400115 -0.002997743 
0.06444913 -0.004639024 
0.02636219 -0.005311284 
-0.07916662 -0.002866766 
0.006638157 -0.002628831 
0.04767663 0.01345606 
-0.02735495 0.02157447 
-0.02869915 0.02207838 
0.00515758 -0.009737399 
0.01841989 -0.01367868 
0.03794674 0.01877876 
-0.09766013 -0.01593309 
-0.01583446 -0.004238806 
-0.04601341 -0.01886539 
0.0352027 -0.01502608 
0.01989163 -0.007765469 
0.006709415 0.01151492 
-0.003863025 -0.02894642 
-0.02729884 0.009878585 
-0.01192846 -0.005924244 
-0.1447256 0.01138587 
-0.1460659 0.0003165836 
0.0829273 0.004689895 
-0.073285 0.01044012 
0.007617249 -0.01885648 
0.1031514 0.0128594 
-0.03030829 -0.01270882 
-0.02049741 -0.0005657841 
-0.03496515 0.007470019 
-0.0365087 0.006459042 
0.0005312397 -0.01490921 
-0.0731752 -0.008546382 
0.02729017 0.004071171 
-0.01847128 -0.02392041 
-0.006630304 0.01788058 
-0.04407924 0.01608977 
-0.05436003 0.01393556 
-0.03439512 -0.01008691 
0.01547656 -0.0159312 
0.1052269 -0.00546918 
-0.02009288 0.01125406 
0.05256425 -0.01865621 
-0.006640941 -0.0252823 
-0.05143243 -0.02077953 
-0.01391245 0.001416164 
-0.0328443 0.0318659 
-0.0004868253 -0.0005022488 
-0.03126498 -0.0076152 
-0.07819342 -0.006579358 
-0.09430439 -0.02226663 
-0.08795347 0.009245906 
-0.1230699 -0.01150431 
-0.06249449 -0.01093451 
0.04833769 -0.02625341 
-0.1045754 -0.0409598 
0.1255488 0.001128206 
-0.03176034 -0.01233573 
0.1070188 0.006122044 
0.003032015 0.0009442845 
-0.01394513 -0.0452103 
-0.01862877 0.0111324 
0.003695299 0.0008997215 
-0.04142274 0.003035021 
0.03992985 -0.01658394 
-0.004232147 -0.01128918 
0.07719282 -0.01711633 
-0.09101662 -0.002794006 
-0.006472844 -0.00920595 
-0.04262934 -0.0001899524 
-0.0161916 -0.00357298 
-0.09817932 -0.00226502 
0.05530863 0.03522914 
-0.002881044 -0.02145218 
-0.04081573 0.004255519 
-0.05434402 -0.0002753915 
-0.03761977 -0.005174767 
-0.1003236 0.008160055 
-0.0334456 -0.01050577 
-0.1019549 0.01198318 
-0.01734038 -0.03072654 
-0.1206951 -0.002211088 
-0.007681533 0.01571936 
-0.00166133 -0.03740092 
-0.0603506 -0.01792029 
0.1046573 -0.01081723 
-0.01280688 -0.01977141 
-0.04236301 0.01250914 
-0.06627125 -0.004372105 
-0.08079484 -0.01150748 
0.1070081 0.002156938 
0.01379441 -0.04975707 
-0.1152454 -0.006919457 
-0.085771 0.01812869 
-0.02875137 0.03230885 
-0.1134339 0.01930067 
-0.04058423 -0.01399873 
0.00960782 -0.0006591023 
-0.07966653 0.02594561 
-0.01939302 -0.01527346 
-0.03555217 0.0229696 
0.03133709 0.0108565 
-0.01041352 0.006268079 
-0.06760352 0.01156807 
-0.06261924 -0.001242226 
-0.006392879 -0.01060549 
