tau2_1 tau2_2 tau2_3 
3.137402 0.03286557 0.1607829 
0.1134825 0.03953233 0.3782197 
0.7557476 0.8488344 0.05734805 
2.01545 0.06167475 0.08550564 
1.676855 0.4803889 0.3250079 
0.5126061 0.1530128 0.1521167 
1.524734 0.198126 0.05981093 
1.921141 0.2630228 0.1583248 
1.141963 0.03603318 0.02650815 
0.845437 0.2248135 0.1955798 
0.8811895 0.08496291 0.06287493 
1.085435 0.06490426 0.1592918 
0.8925318 0.03988879 0.2317881 
0.1026575 0.2827972 0.09747334 
0.5357197 0.06223683 0.1013219 
0.298598 0.2007528 0.610164 
0.09125631 0.2326495 0.3678849 
0.5265814 0.05260994 0.1890954 
0.1952645 0.2916447 0.2143023 
0.3456856 0.07646299 0.1226549 
0.1679237 0.09541143 0.1346422 
2.162373 0.069631 0.1430984 
1.69811 0.01994923 0.4891637 
0.3079358 0.1201164 0.08530838 
0.653793 0.5323447 0.7707141 
0.4123376 0.09128817 0.04072644 
0.4185442 0.07389344 0.2752738 
0.1911494 0.2269843 0.2552122 
0.3191302 0.06910133 0.2352733 
0.6645253 0.04892695 0.2512396 
0.6975373 1.612408 0.180799 
0.8595172 0.1206116 0.1764691 
0.4598937 0.314503 0.2996263 
0.3168362 0.293223 0.1318096 
0.298537 0.3122876 0.5270286 
0.336724 0.05899767 0.06791734 
0.4365402 0.2943718 0.1336821 
0.222834 0.110897 0.03999118 
0.2640532 0.05598613 0.0684515 
4.824244 0.09863219 0.1469355 
0.431785 0.103259 0.6761521 
1.521586 1.260537 0.2715155 
1.263761 3.161121 0.2114467 
2.59229 0.0254841 0.06389683 
0.9131846 0.270392 0.2533035 
1.688571 0.4114356 0.09671366 
0.05074805 14.33969 0.1842425 
0.4131296 0.04302689 0.5049558 
0.4187358 0.1231582 0.1870751 
0.9007903 0.04345497 0.01757592 
0.1536815 0.3618862 0.05233707 
0.7722858 0.1846359 0.01821773 
2.337842 5.557645 0.1493131 
1.274795 0.517162 0.1435855 
0.1116721 0.2745815 0.08419514 
0.4288965 17.56885 0.02907659 
1.683808 0.06326192 0.2243623 
2.104012 0.4544576 0.3084957 
0.5287391 0.07008889 0.1822688 
4.930265 0.02601056 0.1255569 
0.574262 0.03745364 0.3390961 
0.2115232 0.1208206 0.2065451 
1.114668 2.084475 0.06549302 
2.640285 0.1773716 0.09310506 
0.8236416 0.03897659 0.05440054 
1.329803 0.01354266 0.3681817 
1.917292 0.6022374 0.1569085 
1.013218 0.1169676 0.6385904 
2.691568 0.06864392 0.2346923 
0.388596 0.1334103 0.1866313 
1.564278 0.2383859 0.1183525 
1.02026 0.1639904 0.4482136 
0.7238633 0.2143904 0.3739203 
1.148436 0.5670479 0.1224916 
2.081759 0.4697277 0.1798326 
1.318147 0.8930853 0.09005726 
0.6163101 0.1266455 0.1006482 
0.3128951 0.3469782 0.2103259 
0.1104775 0.03641636 0.4764484 
0.8039702 0.1607782 0.2889363 
0.02850111 0.4307981 0.2448146 
0.03176128 0.1821847 0.08422051 
0.1641076 0.0573469 0.4603303 
0.1224752 0.02562826 0.3426159 
0.5353415 0.3351308 0.2490492 
0.668632 0.3443931 0.06942052 
0.8259425 0.454208 0.09776446 
1.055982 0.09667953 0.8541621 
0.3536982 0.112762 0.1087456 
0.5593832 0.654031 0.09216301 
0.8207619 0.5969476 0.1239016 
0.8543943 0.1463333 0.1221985 
0.3082869 0.02972856 0.1639852 
0.5056957 0.09914689 0.4027328 
1.347882 0.1055386 0.2103203 
0.2324273 0.1088041 0.1841462 
0.1193172 1.114425 0.2358596 
1.21092 0.1932893 0.6166771 
1.286754 0.1407166 0.616464 
0.5084719 0.02109131 0.4223589 
0.104528 0.1043085 0.07929233 
0.8426731 0.2021299 0.5416967 
0.343805 1.417733 0.2362518 
0.7413727 0.2105184 0.1004869 
1.651391 0.2112304 0.1641762 
0.7252463 0.09008462 0.09798101 
0.7140404 0.2535793 0.3430501 
0.5346869 1.640242 0.2153944 
0.09504794 1.337147 0.04154672 
0.189457 3.003398 0.05188654 
0.2849892 0.1056879 0.1317239 
