"comp1" "comp2" "comp3"
5.865687 0.02702306 4.338344
5.414421 0.02698638 0.5898609
8.511327 0.02672259 0.3842194
0.0717427 0.03649993 0.4876791
0.2320437 0.01441655 0.8796877
2.083788 0.01525919 8.406351
15.73693 0.02579675 0.06332899
9.195549 0.027417 0.1321771
5.79729 0.01112995 0.1055699
0.2577707 0.02638268 0.5494586
21.6571 0.04756643 0.9607673
0.1394555 0.032105 1.402731
2.188225 0.03090582 0.8174734
23.17911 0.01817844 0.5952501
1.911608 0.01601966 1.155558
0.6918997 0.02417641 0.5971206
6.483323 0.03689208 0.4335033
81.09662 0.01344078 0.8602504
19.92239 0.0134975 0.0227286
12.14236 0.01408722 0.19662
0.08263637 0.02656675 1.40329
33.96882 0.01089253 0.1945746
0.5492533 0.02453307 0.0290148
18.4485 0.01038876 0.5402074
60.28232 0.009029334 1.842314
0.4240145 0.02897299 0.3244304
0.4603124 0.04986758 1.691001
49.59012 0.02126596 0.2835519
0.2875942 0.02835386 0.862389
14.2186 0.03004828 1.064102
1.786517 0.02721425 1.368742
4.390627 0.02891674 0.5856416
3.859866 0.01440184 0.5009309
4.95639 0.0217816 0.2608014
14.56243 0.03382984 1.115056
0.5514051 0.03161453 1.021344
18.88566 0.02774214 0.6067278
0.1815519 0.01343387 0.2092906
43.71071 0.01675607 0.2327703
7.302545 0.0185028 1.6073
10.09605 0.03353639 0.4298646
31.02131 0.01655155 0.1256025
0.04470799 0.02696162 0.1001018
0.03657294 0.03117528 0.8442965
12.90147 0.02153549 0.4875353
0.2218562 0.02401651 1.062686
1.398059 0.01417397 4.355664
0.6915273 0.05188846 1.259924
6.738571 0.02993846 0.5094478
0.6979448 0.0304402 0.5879319
2.499621 0.006741268 1.981917
4.327026 0.0259687 0.3952023
3582.809 0.02343264 3.311331
0.8154088 0.02850719 0.1422528
40.88022 0.02875658 0.01798495
0.4706135 0.01554313 0.5999405
0.1908838 0.0240854 0.146577
64.74458 0.03117931 1.653245
57.20581 0.02007674 0.3577088
15.92642 0.02482785 0.5632081
9.987064 0.03360473 0.1226188
4.118819 0.02362597 1.084686
26.74323 0.02323675 0.4561967
2.160141 0.01550018 3.407061
1.934491 0.01155498 2.689153
0.1603104 0.01846296 0.9012018
0.04742459 0.01352851 2.831482
18.97491 0.04382857 0.7631382
3.09032 0.01979115 0.1109637
0.2705505 0.03869652 0.3615036
3.556246 0.1227275 0.3145271
14.08653 0.01936559 1.402348
8.897631 0.02549315 0.3271546
9.131766 0.03402901 0.8536805
0.1090096 0.01862244 0.5770314
1.151617 0.01536289 0.2228083
0.915113 0.05720888 0.3416342
1.465981 0.01924605 0.7081564
0.2509901 0.0291501 0.4329465
0.8791417 0.02801103 0.5835349
0.03742665 0.02614215 0.08257508
9.194786 0.01100907 0.3482905
17.12811 0.01478471 0.7699554
3.999124 0.04489915 1.610872
0.09979129 0.02852746 0.2769719
6.492386 0.01611798 0.9872027
1.076514 0.02688093 0.1785311
0.227373 0.03073958 0.6666609
0.1317246 0.02226307 0.4790116
13.87819 0.07632327 0.798344
4.223519 0.05448285 0.09592894
1.585751 0.01522507 0.02507257
60.50153 0.01877172 0.1070481
532.8332 0.01898644 1.800809
0.7009385 0.01387409 1.082906
6.005002 0.0134694 0.07731074
0.07276297 0.04345019 1.1742
0.5696525 0.03404418 0.961441
85.80375 0.01885967 0.4140287
0.1796694 0.01839455 1.395603
27.11088 0.0235486 0.1648297
83.85736 0.02383543 0.4712103
0.06619992 0.01645102 0.9790218
3.700138 0.02468413 1.350847
0.4289242 0.01776854 0.559942
6.534219 0.04341177 0.01979412
0.04766161 0.07007908 0.2396236
10.12479 0.08617498 0.3925664
24.68764 0.006138046 0.8279241
20.47189 0.017139 0.06353152
0.7268471 0.03191517 1.526132
8.294197 0.03279556 0.0586423
2.191642 0.0256055 0.3265453
1.319547 0.01865355 2.877518
7.018574 0.04616876 1.02871
0.5967255 0.02682433 0.1271729
0.3030668 0.008633953 0.5707938
0.8248072 0.01094798 1.023433
0.2212173 0.01600121 0.0751518
20.87478 0.03475691 0.04610394
0.1161177 0.0162414 1.934792
0.1185266 0.05796013 0.1991711
48.28405 0.0639431 0.116778
716.558 0.02811977 0.1123426
0.307139 0.01864968 0.1030604
8.171464 0.01088 0.05782886
1.71746 0.01414124 0.8294861
7.862111 0.01512829 1.492411
15.39837 0.0344599 0.7673032
0.6563834 0.01524483 2.014328
5.086414 0.01692815 0.03947041
0.9142034 0.01067492 0.0785945
0.05217984 0.03796983 1.273798
0.04340889 0.02515918 0.1201625
0.9725219 0.0360679 3.094326
0.8854142 0.0296128 0.5920971
4.191288 0.02538368 0.6937155
21.86363 0.02838663 0.5048003
3.304056 0.02285226 1.261318
0.3562058 0.01652848 0.2186037
25.25193 0.0227107 0.6305
15.60663 0.0181688 0.06981356
0.9268508 0.03366787 1.194329
30.59004 0.05021076 0.05718138
1.21637 0.01305022 1.461728
1.976705 0.03830219 0.5397807
3.241693 0.0233183 0.03389375
0.2877493 0.03105566 0.8969247
0.62031 0.02017656 0.1801774
0.498828 0.01499818 0.45888
7.475052 0.02753907 0.6581722
3.471001 0.01780254 0.09935763
1.909087 0.01530814 0.345703
4.803905 0.01955792 1.681827
3.033056 0.04080254 0.7010027
0.5446883 0.0105752 0.7516022
4.599698 0.0330399 0.3752954
0.3360769 0.01615681 2.530037
0.6727507 0.05928974 2.017522
3.893272 0.01477198 0.5993026
12.60056 0.03049841 0.1945457
5.116198 0.02607345 0.02999647
0.03067132 0.02056349 0.7220601
17.45703 0.02123946 0.4037005
0.8287254 0.03350931 0.2694961
0.5510988 0.03072518 0.1557637
73.80424 0.02856422 0.5856452
2.262909 0.03018406 10.0672
4.462652 0.02689267 0.119169
135.7912 0.04193642 0.1735156
22.7337 0.02862546 0.3571906
0.1579738 0.01558013 0.2409812
0.7675388 0.02328217 0.194151
0.03066336 0.02429614 2.525389
3.305156 0.01470198 0.1891743
12.65096 0.01631362 0.4867638
2.205915 0.02042756 0.1786768
1.386394 0.03752518 0.2840868
20.05235 0.01650153 1.028568
1.821024 0.01953489 0.3114882
0.0646679 0.07135231 0.3676779
15.39398 0.02127265 0.4342732
27.07331 0.02711063 0.2313397
1.130862 0.04942471 0.02471699
1.268145 0.0321102 0.02363159
0.02640244 0.02195787 0.9702774
299.7405 0.03174017 0.1020772
99.01098 0.03222103 0.4823471
65.54172 0.02160685 1.972375
2.111693 0.04130172 25.50733
68.46966 0.02419072 0.1200621
3.517554 0.04455168 0.08796515
0.1118592 0.01604503 0.210924
1.226497 0.02085101 0.1355896
1.197896 0.02776585 1.823728
1.162499 0.007096396 0.1574085
1.094491 0.02636077 1.682265
3.703914 0.03293348 1.824615
5.742217 0.03890078 1.204846
18.4167 0.02324932 0.1274544
149.3652 0.02845932 2.857523
8.96649 0.01611496 0.09305527
0.02304426 0.01079771 0.579505
0.3320988 0.02470512 0.05356624
4.719674 0.02679921 1.150824
38.85723 0.01720395 0.0548339
3.308081 0.02103574 0.1755199
66.25849 0.01019287 0.04331823
30.10463 0.04865817 0.3422334
0.2294114 0.03076392 0.04871745
0.9981624 0.01331477 0.09366902
0.01740071 0.01341268 0.09274991
1.016607 0.03716356 1.10374
0.8627164 0.01821096 0.5596623
0.1023955 0.02176308 0.1671217
0.2173558 0.01247914 1.573227
0.4863345 0.01043719 0.4037487
1.242508 0.02229866 0.3607635
5.473782 0.03221805 0.7910066
6.228463 0.02522484 1.081547
5.33079 0.02337782 0.3320608
0.07902403 0.01993858 0.6461877
0.8121592 0.04106174 0.2918591
78.38605 0.01801315 0.6649809
0.04776874 0.01839437 0.03173958
0.3074217 0.02967641 0.03446496
0.1262472 0.0255301 0.2251521
0.120736 0.02662984 0.2812373
0.2624408 0.01005813 0.2552866
0.3993737 0.009038207 0.7431087
0.624406 0.02652633 0.245325
6.777455 0.02228379 0.04425808
0.4456104 0.02035415 1.035697
1.851792 0.02397959 0.6250296
0.07536544 0.01276014 0.6263362
1.048785 0.02661537 0.6868259
4.995379 0.01366306 0.2926321
33.18592 0.03685767 1.121388
0.3977958 0.01579572 0.8199491
0.3711105 0.04962935 0.1646273
11.37871 0.01016005 2.039671
11.15694 0.02596818 0.08569437
0.1557509 0.02571148 0.2291806
104.0444 0.02550999 0.09893957
12.2485 0.02095075 1.256175
1.969771 0.01961702 0.4122622
0.3831376 0.01989653 0.308502
6.519981 0.03374118 1.661914
1.363571 0.01768934 1.807666
1.01499 0.0162009 0.5886751
0.1223337 0.02224038 0.9020569
0.06226097 0.037576 0.1193768
1.264276 0.02118449 0.03003993
0.1083657 0.02232392 0.2215279
0.417115 0.01292733 0.02853913
1.277985 0.04397746 1.227717
0.02018824 0.02966992 0.4080328
71.38509 0.02422446 0.1342997
3.781307 0.04120577 0.6976375
0.07608594 0.02199338 0.490478
1.800003 0.01118559 0.191578
10.02895 0.01261736 0.04496961
0.1385424 0.01824441 2.027677
94.50051 0.04753938 0.4862661
1.835377 0.02736016 0.9457455
11.87497 0.01399557 0.05688744
0.372147 0.02339123 0.2650332
9.556495 0.02147056 1.127861
2.116661 0.01380572 0.1647985
3.342935 0.01710218 0.9167057
1.162097 0.02570166 0.1322102
57.89889 0.03156989 0.3790623
30.93839 0.02281558 0.09614066
30.73725 0.02995356 0.08957301
1.959241 0.02338921 0.7812595
0.8396164 0.03628475 0.2283338
8.792652 0.02005715 0.6816986
0.4304413 0.01446752 0.5471344
9.263269 0.01403039 0.06967491
1.794298 0.01926949 0.05159391
0.04002414 0.05155903 0.502554
23.89849 0.02031675 0.5620254
0.1981817 0.03746087 0.1508789
0.8141297 0.04539319 0.4981146
3.713738 0.01162339 0.2311213
0.1368132 0.01453338 0.3785258
0.3633641 0.02983165 0.1140869
3.594714 0.03730341 0.04318647
2.186287 0.02483012 0.03228949
25.54154 0.01233948 0.3487643
0.05548952 0.01326587 0.2659375
2.467041 0.01113629 0.2579917
24.72272 0.03549281 0.3557919
260.5547 0.02476625 0.2926624
0.4162286 0.02721094 0.4458255
2156958913 0.01103013 0.06554057
13.68378 0.01914342 0.6912757
0.05273104 0.01309457 0.1945639
0.4460339 0.02055577 0.1193981
1.390328 0.01135956 0.4405609
11.78638 0.006623282 0.2590371
0.05067097 0.03780663 0.1838453
31.83774 0.02379998 0.318137
3.013402 0.01238451 0.2401724
19.25068 0.01787164 0.4850846
1.003399 0.04759415 0.07899484
4.928199 0.01830212 0.1326088
