"comp1" "comp2"
-4.435007 -13.37754
-4.075691 -12.7049
-4.436574 -12.21536
-5.052722 -12.48961
-3.41655 -12.94155
-4.524898 -12.14323
-4.186264 -13.19212
-6.127869 -13.84627
-5.253021 -11.91749
-5.448549 -11.85231
-6.141181 -11.65012
-5.142669 -11.01148
-4.956146 -11.91461
-5.734775 -11.99946
-5.372123 -10.14082
-4.833299 -10.63857
-4.367264 -10.25026
-6.198041 -12.05926
-5.500527 -13.11503
-5.405614 -12.25444
-5.163557 -12.58212
-3.15259 -11.3365
-3.824669 -11.03321
-4.200171 -11.54634
-3.75421 -11.14355
-3.078045 -11.1337
-4.170739 -11.73458
-2.019404 -12.17762
-4.776713 -12.30129
-4.639168 -12.71241
-4.095763 -13.07091
-4.212351 -13.73555
-3.638812 -12.79842
-3.870294 -11.73841
-4.193897 -13.58649
-3.85246 -13.22756
-2.173127 -13.22041
-2.542159 -13.14262
-2.553233 -13.2429
-3.223483 -13.72498
-3.241562 -14.95453
-3.358362 -14.96452
-3.130146 -14.37194
-3.277541 -14.07225
-3.271129 -13.63507
-5.507448 -14.27992
-5.282809 -14.03903
-5.338588 -13.37518
-5.864582 -13.9378
-4.811757 -13.72575
-3.233664 -12.67955
-4.424952 -13.88279
-2.656709 -13.85806
-3.474677 -13.046
-3.495818 -12.71385
-3.203367 -13.33579
-4.322784 -13.50241
-3.89588 -13.1656
-4.575596 -13.60577
-4.786323 -13.76919
-4.424428 -13.36371
-4.17819 -13.21937
-4.3383 -12.97697
-3.641803 -13.01419
-2.01529 -12.9475
-4.064518 -12.91452
-3.317377 -13.39582
-3.368145 -13.57492
-4.70612 -13.41613
-3.41719 -12.99795
-3.718044 -12.18856
-2.698113 -12.72415
-3.794886 -12.23732
-2.756762 -11.98779
-2.771983 -12.34878
-3.58042 -11.31409
-3.215409 -11.52641
-3.393047 -11.52819
-3.12651 -11.70146
-3.559152 -11.30209
-4.010534 -13.40247
-3.744045 -13.76289
-3.261083 -14.17587
-3.198512 -12.95079
-2.643498 -14.46868
-3.063406 -13.65079
-2.515905 -12.7274
-3.202287 -11.86929
-4.012291 -12.72768
-4.483431 -14.17633
-4.469001 -12.96829
-4.205447 -13.43345
-4.194439 -14.14006
-3.476438 -13.91829
-3.80121 -14.3552
-4.52817 -13.7191
-3.509861 -14.18696
-3.604562 -13.53133
-4.098091 -13.18616
-4.844235 -13.88419
-6.865374 -12.50791
-2.083528 -13.00506
-4.543281 -14.51607
-5.055227 -13.74924
-3.907694 -13.28158
-3.528381 -13.31572
-3.502036 -13.66145
-3.702201 -14.68972
-5.694924 -14.37725
-5.304858 -14.57144
-4.98786 -14.76337
-5.299278 -14.64111
-3.761143 -14.75784
-3.883159 -13.85283
-3.592865 -15.5935
-3.311059 -15.79951
-3.181377 -13.54868
-3.045062 -13.57143
-4.630584 -13.66725
-3.53819 -13.25307
-3.591563 -13.37794
-3.177463 -13.48601
-3.318007 -13.23355
-2.489096 -13.42163
-4.56607 -13.2259
-4.139488 -11.97754
-3.72122 -12.52882
-4.345239 -12.47615
-4.971295 -12.28492
-4.820099 -11.50661
-4.869269 -11.45569
-4.465722 -11.45089
-3.385495 -10.65326
-3.495816 -9.826168
-3.683356 -10.74404
-5.183748 -11.8063
-5.045665 -12.31732
-5.315711 -12.99705
-4.865068 -13.84358
-4.004541 -14.14919
-4.119697 -13.84801
-3.493518 -13.42864
-3.358095 -12.64446
-3.511891 -12.17511
-3.627076 -12.45789
-4.937898 -12.49391
-5.106308 -12.62807
-4.230393 -12.16005
-4.342964 -12.87519
-4.343712 -12.35478
-3.950264 -13.14025
-3.670502 -12.01387
-3.776205 -12.29969
-5.58462 -12.68201
-4.948018 -12.23422
-4.793195 -12.42055
-4.709008 -13.32023
-5.848194 -12.94619
-4.828108 -12.43192
-5.267115 -12.37638
-4.517291 -11.8923
-4.882578 -12.53625
-4.005207 -11.97211
-4.020361 -12.13978
-4.047408 -11.61156
-4.328193 -11.96957
-5.195759 -11.59211
-5.257761 -12.5053
-4.335636 -11.87119
-3.976108 -11.91929
-3.830836 -11.5268
-3.148388 -11.75846
-3.804826 -11.22724
-3.045757 -10.50283
-3.711392 -10.97907
-3.795758 -11.69406
-3.438215 -12.38335
-2.714411 -12.7846
-2.978718 -12.36027
-3.709068 -11.45863
-6.787621 -12.41573
-4.271485 -11.85303
-3.082769 -12.15308
-4.850817 -13.31917
-5.39967 -12.54518
-3.669786 -12.54742
-3.896198 -13.00479
-4.112135 -12.68267
-4.006428 -12.0013
-3.66634 -12.52603
-3.965076 -11.97444
-3.067026 -12.62439
-2.989266 -12.16942
-3.77596 -12.64432
-3.725509 -12.96216
-3.836669 -13.66185
-5.062247 -13.31076
-6.348417 -12.9936
-7.449466 -13.86206
-7.085153 -14.37832
-6.885274 -13.27855
-6.722748 -12.78102
-6.631645 -13.4853
-5.263704 -14.10394
-4.418788 -14.05915
-3.850554 -14.77108
-4.566436 -14.34367
-3.963597 -14.44254
-4.348161 -14.4625
-5.571982 -13.69354
-4.727581 -13.26789
-4.079053 -13.19576
-4.553959 -12.93239
-4.555266 -13.405
-4.657361 -12.61606
-4.498406 -12.8775
-4.237004 -12.71948
-3.529988 -12.59552
-5.769587 -13.07257
-5.114636 -12.00108
-5.191187 -13.49758
-4.667679 -13.61049
-4.263077 -13.24736
-5.7046 -11.65761
-4.111195 -12.44823
-3.409989 -12.36466
-3.763154 -13.11474
-3.602103 -13.38777
-3.373425 -13.3499
-2.97572 -14.28804
-2.903897 -13.85465
-3.12725 -14.13161
-3.722381 -14.61485
-3.61132 -14.47409
-3.558645 -14.28869
-5.296794 -14.82829
-4.670641 -15.11908
-5.185035 -15.67148
-3.816365 -15.2586
-3.403822 -15.72135
-3.155734 -15.15251
-3.589628 -15.45629
-2.932793 -15.30893
-3.665249 -15.42539
-3.907509 -16.27722
-5.295052 -15.25867
-4.866699 -15.35618
-5.21273 -14.32893
-4.645186 -14.59963
-4.153957 -14.74221
-5.458303 -15.44368
-3.621896 -15.48644
-3.671179 -16.00636
-3.969718 -15.27062
-5.660406 -14.66095
-5.828781 -15.71153
-5.336577 -15.27444
-6.997248 -14.72001
-7.018476 -15.35955
-6.982526 -13.72197
-7.825891 -13.13132
-6.456005 -12.90277
-4.55717 -12.21662
-4.028147 -12.30997
-3.722887 -11.85266
-3.634513 -11.33793
-3.983934 -11.07198
-4.541706 -11.74967
-3.634876 -13.17602
-3.514943 -11.07308
-2.951489 -10.03737
-2.186339 -9.77536
-2.570162 -9.578411
-0.5403097 -9.454863
-3.293358 -10.34785
-3.498168 -9.902723
-4.099088 -9.310308
-4.577729 -9.91107
-4.586752 -11.64282
-4.899659 -11.65076
-4.075932 -12.91468
-2.870005 -12.44835
-3.515097 -11.60439
-4.141848 -12.17469
-3.46195 -12.15856
-4.554063 -12.09788
-4.733737 -12.58581
-3.920485 -13.17751
-4.297717 -13.16146
-3.999728 -13.16755
-3.44289 -14.21364
-5.009502 -13.43747
-4.397817 -13.34543
-4.196431 -13.72439
-3.746898 -12.03751
-3.843232 -12.18714
-4.235682 -10.70141
-4.644615 -11.79367
-3.613116 -11.75988
-4.370217 -10.82764
-4.657101 -10.88324
-5.247504 -10.57311
-5.309151 -10.3414
-3.11324 -10.62736
-4.093193 -10.59102
-5.942136 -10.4797
-7.144607 -10.7758
-5.81631 -11.64071
-6.378227 -11.72602
-7.146889 -13.20838
-7.138561 -13.32112
-6.222074 -13.87556
-5.074057 -13.88794
-4.149533 -13.30888
-4.010828 -13.41653
-3.482101 -13.50441
-3.455546 -12.80851
-2.719436 -12.86352
-3.414151 -13.04647
-9.26501 -13.24671
-6.084155 -12.7246
-3.097263 -12.21048
-3.595874 -12.20344
-5.178436 -12.09295
-4.108944 -12.70178
-3.13295 -13.6143
-3.571302 -12.58944
-1.407341 -12.63472
-3.319597 -12.87113
-6.043422 -12.58631
-4.618254 -13.21225
-3.692883 -13.56215
-3.641143 -13.19318
-2.98593 -13.34452
-3.267654 -12.43032
-3.243075 -12.33934
-3.968205 -12.22389
-3.944991 -12.38161
-3.955541 -12.37272
-4.243259 -12.44794
-3.059395 -12.48047
-2.379812 -12.12325
-3.608789 -12.02524
-3.651916 -11.84119
-4.518797 -11.69375
-4.859682 -11.33162
-3.742901 -12.70843
-3.42557 -12.85854
-2.93885 -13.15906
-2.980435 -12.64911
-4.105021 -12.83745
-6.173603 -11.93529
-5.01366 -12.16904
-5.296439 -11.90708
-6.230496 -12.4251
-4.564219 -12.32125
-4.337298 -12.26317
-3.419063 -12.54153
-3.897458 -12.79326
-2.985567 -12.95385
-2.642125 -12.27907
-3.801826 -11.74612
-6.559832 -11.71676
-5.521475 -11.7406
-6.273791 -11.42122
-6.220908 -9.69579
-7.599557 -11.03245
-5.178087 -10.3075
-4.839334 -11.41153
-4.918592 -11.58669
-4.736275 -10.71814
-3.462556 -11.07876
-2.685314 -10.94418
-3.443947 -11.39406
-2.69863 -10.67129
-3.478981 -11.0479
-3.370214 -11.06337
-2.884991 -10.66589
-2.920282 -10.46605
-3.139447 -11.05076
-3.374125 -11.72547
-2.522519 -11.12701
-4.455551 -11.75472
-4.776225 -11.08272
-4.576974 -11.8949
-4.367196 -11.72426
-4.058956 -11.87382
-3.393536 -11.9399
-4.08516 -12.50186
-2.893497 -11.12002
-2.592461 -10.83245
-2.180963 -11.38376
-3.24741 -10.8971
-3.046384 -11.329
-2.965067 -11.67199
-3.075699 -12.36108
-3.321552 -12.56276
-3.579524 -12.52659
-3.062728 -13.39316
-5.145882 -13.53238
-4.348204 -14.49203
-3.376247 -14.29953
-4.209579 -13.93232
-4.796925 -13.58067
-4.561711 -13.02377
-3.03694 -12.5248
-2.232185 -12.27936
-3.803789 -12.14862
-3.404366 -11.15026
-3.489342 -11.12983
-5.297811 -11.81541
-5.375372 -11.45925
-5.168811 -11.43863
-4.047709 -11.22526
-4.085446 -10.35353
-3.954356 -10.02897
-3.386612 -10.22815
-3.644373 -11.244
-3.517589 -10.84459
-3.643706 -10.76552
-2.457395 -11.07049
-2.21608 -10.80975
-2.942922 -11.37184
-3.204668 -11.90843
-2.790263 -12.11264
-2.12607 -12.5987
-3.847582 -12.29103
-5.104787 -12.68933
-4.45377 -12.20967
-3.894731 -11.78234
-3.913456 -12.08337
-2.962306 -12.02577
-3.370947 -11.61652
-2.518406 -12.67355
-3.966008 -12.18147
-3.649186 -12.06612
-4.64777 -12.52593
-2.674465 -13.27771
-3.112901 -13.24211
-3.346015 -13.88158
-3.387245 -12.68219
-2.873157 -13.04489
-2.260725 -12.70393
-4.275257 -12.43633
-3.938503 -12.16862
-4.703646 -12.6168
-4.60335 -12.70513
-3.916406 -12.74378
-4.532869 -12.55848
-4.411017 -11.50745
-5.45261 -11.85517
-4.396432 -11.57294
-2.554553 -11.49002
-2.873735 -10.39474
-2.909678 -10.40135
-3.394711 -11.15357
-3.088649 -11.14969
-3.51347 -11.84089
-3.849387 -10.65869
-4.59199 -11.36474
-5.361555 -12.5887
-5.410044 -11.96857
-5.456929 -12.25156
-4.515113 -12.79183
-3.846604 -13.38274
-4.251756 -13.28174
-3.621316 -15.11756
-3.018384 -14.71663
-4.650538 -14.78237
-3.651824 -15.11785
-4.455261 -16.03463
-3.230284 -15.21479
-3.348986 -15.01378
-3.292037 -15.08789
-3.547132 -14.67455
-4.177323 -15.81104
-3.468805 -14.20366
