beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
-3.451667 2.155614 0.00865101 0.978832 2.539525 18.5778 1.980377 0.01111392 
2.306068 0.05184782 -0.03069817 1.005242 -3.631355 7.732867 1.895678 0.0515653 
-8.163908 -10.16577 -0.08886278 1.026991 4.991531 -5.917246 1.940352 0.04027215 
1.378724 -2.248021 0.02417604 0.9761492 11.10404 -19.25131 1.910772 0.04710224 
11.57781 4.908161 0.1096411 0.943582 -10.26738 -17.73122 1.909303 0.0485016 
-7.154597 2.99123 0.1608862 0.9213203 -3.194341 -3.121894 1.878006 0.05843988 
6.035779 0.8399021 -0.07013287 1.029975 10.14355 -3.606486 1.867069 0.06589871 
-3.333633 17.93634 -0.1129946 1.034438 11.452 -15.75234 1.894144 0.05168878 
5.352169 -9.94766 -0.06708331 1.024604 5.64534 1.081536 1.937702 0.03741172 
-1.145017 3.918839 0.1185309 0.9491751 -20.21593 6.735573 1.934329 0.04030427 
7.116577 11.73705 -0.07202088 1.018927 -2.782596 0.154665 1.918981 0.03838213 
15.54452 6.229464 -0.1102707 1.03287 -12.44603 -11.08941 1.918046 0.03791634 
6.367759 3.424703 0.05679263 0.963312 -4.530332 -1.535578 1.930719 0.03524689 
3.318293 14.16586 -0.00506323 0.9850818 -2.117412 0.5157833 1.934355 0.04018968 
-8.279571 -2.991545 0.1196901 0.9277519 0.9119566 3.809033 1.937684 0.03005201 
-8.375202 -5.747266 0.2257598 0.8784642 3.367901 15.04115 1.936896 0.03613765 
3.738581 4.881956 0.07115015 0.9415237 5.018241 -4.814919 1.945638 0.03172315 
-9.979497 -10.68897 0.003969133 0.9652263 8.119309 5.54761 1.897636 0.05209826 
14.72849 -1.464286 -0.1042977 1.028292 8.40658 9.800772 1.907924 0.04401683 
-17.2013 0.4812082 -0.03552826 0.9916201 5.798661 4.219944 1.918382 0.03894215 
8.333409 -7.59073 0.03386939 0.9736572 -16.43082 5.59921 1.96805 0.02000389 
7.493492 0.7753921 0.02583419 0.9698213 13.00792 -7.154394 1.937701 0.02866992 
-4.63717 19.50673 -0.05737826 1.008223 -10.52971 -0.7064265 1.90946 0.04729305 
8.024207 -0.02061485 -0.07893691 1.028922 -4.581832 -7.245307 1.943377 0.03939607 
7.668628 6.873373 0.08326529 0.9524543 -14.229 -13.40938 1.9683 0.02375747 
-12.03197 19.26768 0.005944193 0.9977689 -6.090715 -12.41983 1.952131 0.03108783 
17.03032 -5.403008 0.04503546 0.9665366 -4.943953 -5.858681 1.953067 0.03409156 
14.93864 -3.452672 -0.1061249 1.006965 6.194443 12.40731 1.947251 0.02933925 
-2.941282 2.966289 -0.1130108 1.011405 17.36834 6.250328 1.904329 0.04868975 
1.853406 1.364933 -0.04453225 0.9967975 3.443276 -3.571443 1.952394 0.02791549 
17.74629 -10.13239 0.0885085 0.9449824 11.9665 -0.3195296 1.98035 0.0133352 
17.12947 8.452922 0.01594836 0.9745617 -1.604127 9.949897 1.916822 0.04414247 
-5.574208 4.46322 -0.004887807 0.9920452 -2.839339 7.866919 1.911875 0.04263702 
-1.369617 -2.348358 -0.09697704 1.03244 2.706154 -7.246771 1.904982 0.04312186 
11.30151 12.63538 -0.1121522 1.034311 24.26686 8.535766 1.944751 0.02507088 
-3.988068 -0.7733954 -0.05686243 1.010559 -0.2221979 8.086062 1.910479 0.04538957 
-20.96223 -17.07763 0.1726179 0.9021299 5.159952 -3.757362 1.952008 0.02698342 
6.577498 -2.470131 0.02419944 0.9780256 3.609491 1.706224 1.952513 0.02861033 
-14.1067 -14.07304 0.05826873 0.9790899 1.342879 -15.83148 1.93244 0.03596121 
0.09875577 1.731577 0.187554 0.9049197 -4.48151 -1.112149 1.966057 0.0162523 
15.76253 8.69991 0.1982672 0.8908338 25.67268 -7.879546 1.9058 0.04430251 
-9.192357 3.779382 0.1309792 0.9107562 2.125359 -4.472351 1.938259 0.03871345 
4.709188 12.88072 -0.1194767 1.041375 -0.6874397 8.863138 1.915511 0.03793117 
13.65304 -2.026378 -0.05000529 1.006308 12.93112 -0.5954628 1.989674 0.01202837 
-12.17033 17.24305 -0.1678041 1.078431 -14.2037 -5.583905 1.89073 0.05728836 
-5.009921 -2.948476 0.03505525 0.9637899 -9.093456 -7.36058 1.929336 0.03721104 
0.33553 3.056906 -0.122527 1.03813 -5.281821 -11.0927 1.899097 0.04686142 
4.46267 -12.66342 0.07915332 0.9768626 -3.872426 -0.2038861 1.859608 0.06952061 
-15.27971 1.086439 0.1585739 0.9069851 1.065821 -1.760888 1.895073 0.05396694 
-0.3176492 -2.26156 0.04625433 0.9632401 0.2778882 -2.291099 1.91748 0.04026583 
22.82132 1.845141 -0.01266257 1.003903 24.96511 5.906586 1.977616 0.0157554 
