tau2_1 tau2_2 tau2_3 tau2_4 
25233.76 0.01167335 7.440337 0.003652363 
20.55294 0.01159987 7129.923 0.003168042 
56.9423 0.007377162 28456.35 0.002661549 
1.030464 0.007812678 1044925 0.002757258 
121.2525 0.007207377 5.164218 0.003130313 
195033502 0.03175696 29664.85 0.003665109 
36.72366 0.02554575 283458435 0.003067329 
0.09931545 0.007379445 0.1526637 0.003450557 
5.241132 0.01754471 9.573285 0.003416036 
0.04744568 0.01235262 323659.5 0.003026403 
52.16058 0.01633975 9.374814 0.002863028 
5.271844e+15 0.01201446 3767.996 0.002861932 
47655271 0.01846799 1.054569 0.002991914 
2.295868 0.01842763 160487.1 0.003669218 
142.0015 0.003730692 31660204 0.003013651 
8.065201 0.006570632 2242446 0.002463583 
0.2024997 0.004081316 17.16681 0.002401053 
0.2455352 0.008751361 11831.56 0.002436346 
0.8223421 0.004000744 24.48381 0.00314656 
3791.97 0.009807836 0.1829131 0.002396927 
0.5503576 0.01060824 1.836219 0.00333313 
7369794657 0.01403274 6.806633 0.002830282 
40.7392 0.00993041 0.03455262 0.002725477 
0.05560034 0.007593458 0.1629764 0.003016591 
3160.962 0.009120375 0.2465776 0.003267818 
6.547212 0.009358614 5020.376 0.005169161 
35.99399 0.006750024 517.3114 0.003397319 
50.46183 0.01037092 2393.295 0.003290113 
3955.215 0.004439491 21397238 0.00323581 
2.090618 0.01941112 58.81174 0.00263544 
3206.909 0.007882338 590.7359 0.002878467 
28241386833 0.01701949 8.289104 0.00291475 
89.46434 0.01112797 50.77788 0.002695703 
309.9869 0.005528832 21313.04 0.003164564 
0.3385791 0.007458026 18.58386 0.002989987 
4.799165 0.005373523 463.0231 0.003567706 
0.02434203 0.02075156 55802753830 0.003693653 
9941.257 0.006852115 0.1807612 0.003757146 
3022808 0.01897985 1796614 0.00296224 
130.4925 0.01508917 269744.1 0.002759432 
2.815956 0.01776075 0.0871025 0.004005956 
3213308 0.01205001 751047106 0.002784689 
9.536492 0.02170494 278438.5 0.003167717 
4115356475 0.0228644 4.378776 0.003327153 
7572746 0.01579108 713346.2 0.003222762 
263.4627 0.01838627 0.2934737 0.002700696 
79866.5 0.004212433 1925.472 0.002503569 
39.65366 0.004478604 1.765035 0.003081502 
0.05415787 0.01383302 3.883523 0.003273056 
0.04843345 0.0145287 4861.887 0.002671086 
