p_1 p_2 p_3 p_4 
0.01071892 0.2633217 0.0007491026 0.7252103 
0.002932447 0.3357728 0.00428414 0.6570106 
0.007469659 0.2821718 0.004241156 0.7061174 
0.006916386 0.3954571 0.00146648 0.59616 
0.001850867 0.2948838 0.002900874 0.7003644 
0.002624544 0.3978513 0.006461249 0.5930629 
0.03224859 0.3378585 0.0004796714 0.6294133 
0.002317814 0.2047603 0.002574655 0.7903473 
0.007292705 0.2057896 0.008357481 0.7785602 
0.007409504 0.3389283 0.003647507 0.6500147 
0.0005814209 0.2955237 0.00566247 0.6982324 
0.002033689 0.3792504 0.01742789 0.601288 
0.001397513 0.3159276 0.006760095 0.6759147 
0.000985081 0.2271818 0.01211807 0.759715 
0.0005321247 0.3419325 0.009505896 0.6480295 
0.00601888 0.3413273 0.0006248325 0.652029 
0.01424221 0.375328 0.01999403 0.5904357 
0.002990548 0.2621533 0.00217998 0.7326762 
0.00391567 0.2909973 0.008078051 0.697009 
0.007088133 0.2839316 0.002467182 0.7065131 
0.001447473 0.2774035 0.003542693 0.7176064 
0.007319713 0.3714769 0.006324874 0.6148785 
0.01275882 0.2506078 0.006403404 0.73023 
0.008736085 0.2300553 0.002560342 0.7586483 
0.003151513 0.3189728 0.003133345 0.6747424 
0.001892516 0.2649562 0.006423375 0.7267279 
0.005209807 0.3737934 0.003870243 0.6171265 
0.02328547 0.1889454 0.005500771 0.7822683 
0.003227789 0.396347 0.01188501 0.5885402 
0.01002874 0.2473306 0.008143245 0.7344974 
0.006729236 0.2355834 0.004164491 0.7535229 
0.00915633 0.3124485 0.002052983 0.6763422 
0.008740131 0.3238474 0.02147045 0.645942 
0.02387261 0.2669622 0.007744017 0.7014212 
0.02735345 0.3039497 0.0004331453 0.6682637 
0.002035739 0.2943236 0.006283809 0.6973569 
0.002761661 0.276674 0.009690781 0.7108736 
0.002635909 0.2757987 0.007446377 0.714119 
0.000298208 0.2747234 0.0006768104 0.7243015 
0.008353612 0.3173845 0.0003287686 0.6739331 
0.02320574 0.1997239 0.01972844 0.757342 
0.004992674 0.404342 0.01906703 0.5715983 
0.02834895 0.3406711 0.0006109586 0.630369 
0.003259802 0.2987511 0.007662631 0.6903265 
0.00818721 0.3432566 5.253969e-05 0.6485037 
0.01515012 0.3636816 0.00141234 0.619756 
0.002945665 0.2927984 0.007405014 0.696851 
0.00819404 0.3643353 0.003107366 0.6243633 
0.006523707 0.3439636 0.004815755 0.6446969 
0.008328978 0.3095298 0.01113202 0.6710092 
0.005033707 0.3269717 0.006171001 0.6618236 
0.03790728 0.2303293 0.006547375 0.7252161 
0.007991377 0.3115062 0.001815648 0.6786868 
0.008939766 0.3465175 0.004362968 0.6401797 
0.0009981808 0.3427845 0.001627616 0.6545897 
0.03674966 0.3304246 0.007505031 0.6253207 
0.006349627 0.2557672 0.01578491 0.7220983 
0.01237659 0.2803438 0.003513106 0.7037665 
0.001545583 0.2197018 0.004331507 0.7744211 
0.00108698 0.2089137 0.02130733 0.768692 
0.003582684 0.3176288 0.004412403 0.6743761 
0.01016004 0.3776628 0.0005221869 0.611655 
0.002613134 0.3240174 0.0007257917 0.6726437 
2.889944e-05 0.2707675 0.0005904244 0.7286132 
0.001023221 0.2488824 0.001433863 0.7486606 
0.0123894 0.2613244 0.0003296966 0.7259565 
0.001777005 0.2461671 0.001549559 0.7505063 
0.005014447 0.2911413 0.001053434 0.7027908 
0.002324846 0.2562696 0.002931172 0.7384744 
0.00142561 0.2936364 0.0129512 0.6919868 
0.01068662 0.3275235 0.003980207 0.6578097 
0.01132864 0.2212698 0.007019732 0.7603819 
0.006283481 0.2190863 0.009807707 0.7648225 
0.009357111 0.3459951 0.002043428 0.6426043 
0.009858582 0.2810595 0.01607943 0.6930025 
0.0128183 0.2146136 0.01740161 0.7551665 
0.001638465 0.2642176 0.0009888178 0.7331552 
0.01713017 0.2132399 0.002575941 0.767054 
3.969117e-05 0.3028567 0.01034718 0.6867564 
0.002354687 0.3487867 0.01074016 0.6381184 
0.005638326 0.2795498 0.002012837 0.712799 
0.02291986 0.2306672 0.009256128 0.7371568 
0.01053324 0.2220731 0.01223265 0.755161 
0.005573791 0.3661263 0.01073721 0.6175627 
0.02749948 0.2094003 0.01068009 0.7524202 
0.01094445 0.3385254 0.02740713 0.623123 
0.007262436 0.2670974 0.01663674 0.7090034 
0.00148716 0.3010194 0.009914251 0.6875792 
0.002723143 0.2980417 0.006096259 0.6931389 
0.0005998545 0.2062786 0.01400219 0.7791193 
0.0006070391 0.2837555 0.002963423 0.712674 
0.001072371 0.2440695 0.001158673 0.7536994 
0.001620608 0.2948593 0.001932881 0.7015872 
0.01576625 0.2623334 0.001579072 0.7203213 
0.01561156 0.3243225 0.01466586 0.6454001 
0.001490651 0.2952153 0.0009478913 0.7023461 
0.03454534 0.325484 0.004640019 0.6353307 
0.003851629 0.3763362 0.009229686 0.6105825 
0.001092983 0.3273425 0.01017984 0.6613847 
0.006773875 0.3016769 0.002089891 0.6894593 
0.005112512 0.2785546 0.01566054 0.7006724 
0.005324775 0.2675114 0.03141806 0.6957458 
0.001115727 0.3597278 0.001894089 0.6372624 
0.01091769 0.3221347 0.003830244 0.6631174 
0.006781354 0.3774468 0.0186513 0.5971205 
4.972032e-06 0.2643028 0.002582887 0.7331094 
0.005491061 0.2936923 0.0006055319 0.7002112 
0.01497098 0.4244224 0.02639404 0.5342126 
0.001394014 0.2913855 0.005785645 0.7014348 
0.005433572 0.3831613 0.006062877 0.6053423 
0.02358107 0.258209 0.002930046 0.7152799 
0.01769546 0.2586709 0.002284908 0.7213487 
0.01408582 0.3110629 0.007793737 0.6670575 
0.003565494 0.2894995 0.003996758 0.7029382 
0.01328929 0.2865804 0.009167973 0.6909624 
0.000899291 0.2764881 0.01309518 0.7095174 
0.0006977326 0.22976 0.01251514 0.7570271 
0.0008142287 0.273737 0.001585507 0.7238633 
0.003629564 0.2722178 0.000929426 0.7232232 
0.006305863 0.2832646 0.01391543 0.6965141 
0.002523589 0.2874722 0.0275494 0.6824548 
0.02387703 0.2719259 0.002290781 0.7019063 
0.001961485 0.2836615 0.003322957 0.7110541 
0.00228525 0.1476039 0.004776076 0.8453348 
0.01123197 0.2003556 0.006318855 0.7820936 
0.000245599 0.3252113 0.002126354 0.6724168 
0.0008244757 0.3807632 0.002902734 0.6155096 
0.003156474 0.3034158 0.01085919 0.6825685 
0.0007051164 0.4027379 0.003258877 0.5932982 
0.0002852851 0.2943251 0.006735453 0.6986541 
0.000947805 0.2936759 0.01086249 0.6945138 
0.02300938 0.3279028 0.0005046732 0.6485832 
0.002099823 0.3229862 0.002092218 0.6728218 
0.007727981 0.2298757 0.004586962 0.7578094 
0.007333827 0.2231916 0.003941518 0.765533 
0.001993448 0.2883234 0.02116076 0.6885224 
0.002090973 0.2405592 0.01503927 0.7423106 
0.0020694 0.3025949 0.01799922 0.6773365 
0.004709609 0.3610658 0.003410451 0.6308141 
0.001423584 0.2537772 0.01014781 0.7346514 
0.02065861 0.245087 0.01970778 0.7145466 
0.0004886084 0.3054731 0.003950118 0.6900881 
0.008829311 0.2784278 0.004900446 0.7078425 
0.005609856 0.2974935 0.006138684 0.6907579 
0.009914167 0.3119023 0.001319265 0.6768643 
0.009504617 0.28152 0.007099565 0.7018758 
0.01059276 0.2268695 0.01127005 0.7512677 
0.004965173 0.4158754 0.001684389 0.577475 
7.254609e-05 0.3167077 0.006602368 0.6766174 
0.02889513 0.3340797 0.001369352 0.6356559 
0.001128204 0.3112981 0.001721835 0.6858518 
0.004336851 0.357721 0.004168734 0.6337734 
0.01422232 0.254045 0.003130645 0.728602 
0.0028537 0.2524673 0.02917683 0.7155022 
0.009509597 0.3328101 0.001402207 0.6562781 
0.006341617 0.2830269 0.0129995 0.697632 
0.01007158 0.2874399 5.61034e-05 0.7024324 
0.00434713 0.3804104 0.002595838 0.6126467 
0.009932947 0.2778369 0.001875026 0.7103551 
0.004468568 0.1931064 0.01258099 0.7898441 
6.145572e-05 0.2560068 0.01021159 0.7337201 
0.01042663 0.3355305 0.01400566 0.6400372 
0.0004793587 0.240422 0.001235945 0.7578627 
0.0007667639 0.358405 8.568582e-05 0.6407426 
0.001162343 0.2823362 0.006510628 0.7099909 
0.01179199 0.4499823 0.01385247 0.5243733 
0.01635352 0.2778815 0.009685523 0.6960795 
0.005641062 0.309084 0.007342429 0.6779325 
0.0009559166 0.2656576 0.008491879 0.7248946 
0.004038627 0.2927821 0.005881464 0.6972978 
0.0006486016 0.3196621 0.009374751 0.6703145 
0.004102688 0.3360705 0.008280452 0.6515464 
0.00522916 0.2733003 0.006011075 0.7154595 
0.006955491 0.3308423 0.007597722 0.6546045 
0.004454753 0.3466493 0.004664026 0.6442319 
0.001338447 0.2530459 0.002193536 0.7434221 
0.00359569 0.3503255 0.0009108182 0.645168 
0.0001709429 0.3346872 0.001034428 0.6641075 
0.006168293 0.3030506 0.0008058325 0.6899753 
0.01030187 0.2441715 0.004623635 0.740903 
0.01121167 0.280698 0.01613764 0.6919527 
0.001232336 0.2978577 0.02319293 0.677717 
0.005184868 0.4004985 0.005281204 0.5890355 
