"Delta_1" "Delta_2" "Delta_3"
1.16475 -1.853682 -2.705555
1.179914 -1.782033 -2.499597
1.26839 -1.87473 -2.353654
1.214061 -1.91203 -2.631257
1.223197 -1.983192 -2.911887
1.142074 -2.031716 -2.685509
1.180099 -2.167267 -3.032576
1.176195 -2.041214 -3.008818
1.205558 -2.249581 -2.607626
1.132985 -2.268662 -2.596421
1.253249 -2.191466 -2.867028
1.239046 -2.230601 -2.579516
1.299418 -2.254514 -3.101745
1.369176 -2.333835 -3.213482
1.119658 -2.147779 -3.031452
1.146755 -2.035489 -2.929999
1.087382 -2.084305 -3.00125
1.118493 -2.046035 -2.936781
1.106754 -1.927479 -3.15089
1.128299 -1.984894 -2.921026
1.100348 -2.022385 -3.077823
1.236182 -1.994571 -2.908967
1.261898 -2.086568 -2.836684
1.202727 -2.117438 -2.864783
1.170931 -2.190001 -2.808403
1.235021 -2.108591 -2.700908
1.193706 -2.113404 -2.986491
1.148241 -2.140007 -2.785077
1.124594 -2.173581 -2.811945
1.10674 -2.124097 -2.981323
1.081195 -2.217164 -3.229184
1.156199 -2.062503 -3.051245
1.219278 -2.077954 -3.234271
1.169556 -2.147302 -3.580845
1.244751 -2.174159 -3.416012
1.212425 -2.213701 -2.827581
1.222311 -2.334372 -3.403161
1.193579 -2.240277 -3.219254
1.207597 -2.191579 -3.373023
1.109504 -2.179972 -3.261295
1.070746 -2.092083 -2.728105
1.134921 -2.099374 -2.935787
1.128361 -1.990089 -2.845187
1.11979 -1.969964 -2.659119
1.050697 -1.922034 -2.510046
0.9871972 -1.960325 -2.604484
1.012664 -1.98596 -2.753925
1.121304 -1.946272 -2.824051
1.211342 -1.934218 -2.438134
1.147115 -1.956197 -2.812602
1.158285 -2.014952 -2.704608
1.07923 -2.012234 -2.947654
1.032737 -1.903659 -2.871988
1.018158 -1.893049 -3.094759
1.103181 -1.963009 -2.868332
1.111414 -1.980442 -2.650557
1.209721 -1.950248 -2.679362
1.239758 -2.069013 -2.725068
