Delta_1 Delta_2 Delta_3 
0.6530769 -3.325748 -1.174083 
0.7640273 -3.550205 -0.566426 
0.4369871 -1.801256 -1.543989 
0.5817523 -2.176694 -1.414069 
0.4566402 -2.181483 -0.9964525 
0.6556444 -2.233255 -0.8981359 
0.8401175 -2.453183 -0.929376 
0.4737739 -2.565649 -1.13239 
0.6563892 -2.466346 -1.126831 
0.06108262 -2.614589 -0.771489 
0.7008888 -2.449185 -1.231779 
0.538449 -2.081633 -1.098253 
0.5362022 -2.466127 -0.9008059 
1.039601 -3.842923 -1.371087 
0.9395706 -3.189084 -0.8591523 
0.7091885 -3.178304 -1.73137 
0.3832934 -4.004243 -1.702919 
0.894313 -3.288157 -1.07956 
0.2773612 -2.829246 -1.089218 
0.6167104 -2.754679 -1.192527 
0.5671673 -2.737101 -1.790187 
0.6827759 -3.245071 -1.792937 
0.568072 -3.737108 -1.259459 
0.6109013 -4.051314 -1.58812 
0.7545887 -4.988778 -1.643365 
0.5572257 -4.13591 -1.511278 
0.6020423 -3.485528 -1.20844 
0.602233 -3.743459 -1.11414 
0.7581778 -3.021628 -1.785684 
0.8017821 -3.46278 -2.388722 
0.1883803 -3.549037 -2.359707 
0.1933444 -2.346759 -1.705655 
0.4376565 -3.110088 -1.801981 
0.9686638 -3.316758 -1.473421 
0.4948457 -3.949752 -1.980455 
1.103227 -4.828376 -1.752111 
0.8766041 -4.73345 -1.472012 
0.08017255 -4.537346 -1.243503 
1.11603 -3.086736 -0.8229399 
0.5148778 -3.842035 -1.527495 
0.4784543 -2.809925 -1.843763 
0.5331227 -2.704846 -1.301767 
0.6143614 -2.629992 -1.467942 
0.5017019 -2.686583 -1.330966 
0.7839235 -2.395825 -0.4442636 
0.5471981 -2.030067 -0.6370778 
0.505328 -1.679357 -0.4762644 
0.4477478 -1.203379 -1.213055 
0.665143 -1.980222 -1.243625 
0.4070255 -1.724293 -1.440427 
0.5704396 -2.602434 -1.732632 
0.6693632 -3.214602 -0.7363973 
0.7754603 -3.704296 -1.631927 
0.3070924 -3.965564 -1.643372 
0.755473 -3.582574 -1.507576 
0.4845217 -4.08125 -2.206699 
0.2762981 -3.539881 -1.776954 
0.5708779 -3.631977 -1.09547 
0.8015736 -3.7925 -1.729697 
0.3879306 -4.471227 -1.841757 
0.4645858 -3.378743 -2.302397 
