"res" "LCI" "UCI"
-0.121348743609697 -0.211387049848419 -0.0253154114083944
-0.1200118318115 -0.210941105379091 -0.0236751527682126
-0.118787850625366 -0.209357045155952 -0.0222869073481035
-0.116518811657485 -0.206921924800743 -0.0199518148983183
-0.113645716816775 -0.204642987211228 -0.0175469448415535
-0.111351520405565 -0.203035658420071 -0.0148897613640416
-0.10829906337552 -0.199797403803501 -0.0122734690792165
-0.106464978595151 -0.198419285881806 -0.0107453393683779
-0.103731303696 -0.195600616659426 -0.00814785662782924
-0.100848857305819 -0.193428827878059 -0.0060493523221786
-0.0973494288843701 -0.189000404970696 -0.0012200961686671
-0.0949597247523031 -0.186778069205758 0.00180363447010534
-0.0904839227155819 -0.183495403746241 0.0054838386145572
-0.0879978177485859 -0.18243582843963 0.00707053115498332
-0.0847873545728291 -0.17879552629185 0.0118522831125003
-0.0823065555455283 -0.175149919965899 0.0143360037442338
-0.0804261682098354 -0.173600324659445 0.0159488794205317
-0.0779177442547909 -0.171283264111552 0.0182754356289771
-0.0754514907729221 -0.169085484432764 0.0206809448051304
-0.0728938317865933 -0.16618464312121 0.0239615080574045
-0.0710459915657692 -0.164564538769801 0.0260979871055693
-0.0687838445310124 -0.161918933566193 0.0279770158138938
-0.0668998608285314 -0.1594384753391 0.0302678303792334
-0.0648592212910845 -0.15800934256257 0.0317443432784326
-0.0633308082526908 -0.156847402437092 0.0346325925624562
-0.0602828232854825 -0.154798635489878 0.0366859244623084
-0.0577949710530483 -0.152610498890349 0.0400034778492125
-0.0559898163040405 -0.151075647593874 0.0423656380834391
-0.0538726684308129 -0.149260657451029 0.0443265341177951
-0.0513344206091609 -0.147074624422528 0.047500904084035
-0.0489085423324884 -0.143752647373991 0.0496049969442897
-0.0461673251014799 -0.141537040135513 0.0532824111623652
-0.0443202192685077 -0.138245174079122 0.0539834769268902
-0.0426561348304481 -0.136900294227263 0.0556231751247531
-0.0407996325627158 -0.135736371289805 0.0575736754248534
-0.0391101811987239 -0.133534095676024 0.0592835328723442
-0.037707334069422 -0.132236673016327 0.0613304831767511
-0.0352521697707867 -0.130884160324967 0.0638947054850012
-0.0323017407607578 -0.128187308093536 0.0673232695894718
-0.0300752200762571 -0.125834712889676 0.0685680969608586
-0.0260161837373064 -0.123565795988572 0.073882585451773
-0.0229451921022343 -0.12111050539669 0.0765171010630543
-0.0198697275741057 -0.117692965740755 0.0792234667879299
-0.0180920146528424 -0.11537261185729 0.0813189299041321
-0.0153882072005735 -0.113253261168464 0.0843031695622833
-0.0125536959236811 -0.109137893325392 0.0877343394158427
-0.00920622932968957 -0.105899297295189 0.091021046305156
-0.00687479399239478 -0.103690726121576 0.0941264552013649
-0.0040920257518011 -0.101353930333122 0.096489386814207
-0.000706484903418391 -0.098763835255408 0.100481347077194
0.00298125504480595 -0.0944277470963452 0.104038486249853
0.00536346513252662 -0.0932503780953731 0.106339324576383
0.00721755887156789 -0.0911089770337781 0.108551233461498
0.0101564593679749 -0.0878672167974632 0.110734115163954
0.0123092473566192 -0.0864339578463589 0.114040284766474
0.0150175945887979 -0.0834814388117719 0.117114338601914
0.0172675002396753 -0.0809128054079295 0.118767894662735
0.0209639006326674 -0.0785373028760432 0.122584066682013
0.0243440887171853 -0.076000856236397 0.125729232226167
0.0269021652651852 -0.0727520236091861 0.12876466061603
