"tau2_1" "tau2_2"
0.1440601 2.510837
0.08856884 2.80427
0.131559 1.989036
0.1624613 3.335784
0.172321 3.434274
0.1586505 2.917145
0.1459701 3.572612
0.0921259 2.531657
0.1241036 2.586079
0.1554152 2.440903
0.1729113 3.162361
0.1165778 2.26637
0.08027195 2.658234
0.091075 2.614846
0.09904974 5.698835
0.0654601 3.777987
0.1005138 2.14229
0.1829291 1.516201
0.1351054 2.620968
0.1272325 2.458124
0.1077973 2.667223
0.1945101 1.821988
0.1378645 3.454526
0.1185578 1.529442
0.1104578 2.534316
0.1697895 2.314212
0.1343049 3.559
0.122175 1.64892
0.08330317 2.081257
0.07891579 2.00874
0.09553049 2.864069
0.1053559 1.638378
0.1018244 3.478725
0.1434253 1.224007
0.1730727 3.162199
0.1214076 2.526196
0.09746972 1.31116
0.103614 2.52964
0.1660396 2.350119
0.1178527 2.117329
0.1878588 2.816613
0.1011188 2.043082
0.1046933 2.874385
0.1214932 2.70496
0.1274044 2.480023
0.1329406 2.811021
0.1171684 2.562249
0.1012773 2.576054
0.08729476 2.683104
0.1714218 2.111779
0.1150182 2.534769
0.1094181 3.762139
0.0895025 2.159695
0.1113572 1.7051
0.08901256 2.773488
0.1152149 2.213238
0.1874348 2.688019
0.1518281 2.977213
0.1101477 4.957063
0.08815526 2.553994
0.08362716 3.581504
0.0894259 2.701442
0.1062574 3.005485
0.1237983 2.178199
0.1067722 4.565413
0.1665797 1.619938
0.1835363 2.629091
0.1083266 3.402855
0.1127545 2.350238
0.110607 3.58126
0.1358414 2.353584
0.1129525 3.031353
0.1752387 4.269756
0.1029226 2.713905
0.1012437 3.969931
0.1578841 3.183221
0.1746595 0.9737451
0.2029132 4.973464
0.2340849 1.668697
0.1459472 1.994277
0.1248272 3.26718
0.1049072 1.628548
0.1184548 3.174683
0.07207848 2.986353
0.1216293 2.399314
0.1502438 3.88895
0.1162019 2.689899
0.09127729 2.617668
0.1935417 3.421645
0.1663037 2.703635
0.1290675 2.112678
0.07141406 4.112405
0.1158561 2.230344
0.1083819 2.904533
0.1485978 2.047121
0.09852619 2.83254
0.1205199 1.702947
0.07396298 3.048313
0.08279389 3.181378
0.0962404 3.393177
0.1065521 3.736978
0.1241676 2.936739
0.1704045 2.067915
0.1138872 2.96016
0.15697 1.364493
0.1697453 2.546834
0.1814277 3.742305
0.146419 2.018176
0.1767618 2.166834
0.1459917 1.867714
0.09596997 4.459461
0.1490968 2.105006
0.1082969 4.031093
0.1322273 3.132564
0.1634397 1.406378
0.2309515 3.004348
0.1291151 3.199166
0.1872491 2.595999
0.193214 3.134871
0.2089155 2.500392
0.1203402 2.124058
0.1238827 0.7525226
0.1154946 1.516052
0.1371084 2.247389
0.11903 4.081043
0.1199873 3.204104
0.1748303 3.149867
0.2804182 4.298516
0.1452192 1.575281
0.2233234 1.200613
0.2267535 2.188702
0.1229815 2.306767
0.1290284 2.29994
0.07747067 2.169487
0.1160976 2.714096
0.1096665 2.042216
0.1403437 1.613072
0.240698 2.503923
0.1532247 2.653892
0.08441996 3.052924
0.09211904 2.003795
0.1053785 4.445911
0.08549117 2.099513
0.1659967 2.955735
0.1825576 2.48419
0.1705914 1.594433
0.1387874 3.037692
0.1347304 5.148263
0.1652586 3.081826
0.1939268 2.579781
0.1087866 1.93414
0.1442853 3.400076
0.1891397 4.04608
0.2200958 3.080386
0.08870213 2.03034
0.1213862 3.750805
0.09415769 6.419368
0.1049955 3.229633
0.1121936 2.391998
0.0795038 2.296587
0.145384 1.847547
0.0704229 1.659213
0.1124275 2.186781
0.1487862 2.643762
0.1650615 4.364522
0.06802372 2.35812
0.1126238 3.484501
0.1119209 2.838492
0.07695872 2.663392
0.07344649 3.131239
0.1650109 2.438796
0.204395 2.751294
0.2038803 2.446542
0.141621 2.453433
0.08773165 2.577896
0.1102255 1.702647
0.1592101 3.197785
0.09881819 1.514053
0.09107243 1.912825
0.1542857 2.161793
0.1716081 2.13345
0.1283958 3.207425
0.121404 1.727984
0.121879 1.721857
0.1284916 1.675469
0.1169888 4.162892
0.09246795 2.295771
0.1262265 5.661938
0.09268091 1.59098
0.104723 3.163256
0.09095416 3.869651
0.2160846 1.603969
0.1810803 2.892819
0.1347147 1.87512
0.1244901 1.909061
0.1620788 1.704672
0.1065282 2.644065
0.1493192 2.752337
0.1125644 3.345677
0.1208445 4.678669
0.1121749 2.984875
0.09516047 3.013919
0.1137497 3.129115
0.1002629 2.317585
0.107831 2.156293
0.1516162 3.221332
0.1667595 2.760298
0.1107139 1.195293
0.156908 1.770022
0.1740198 2.350944
0.1629952 4.110153
0.06810033 2.050364
0.1081989 2.589108
0.2343171 4.069449
0.1428909 2.284014
0.1127845 2.222983
0.1385034 2.102017
0.1084249 2.086778
0.122062 3.189892
0.1389394 3.365158
0.1027627 2.996869
0.101942 4.164838
0.1476621 2.368114
0.2056361 2.6552
0.1755376 2.8928
0.2006226 4.062909
0.1126155 2.574774
0.1299093 3.880253
0.1258208 3.565045
0.1511703 2.946873
0.07371995 2.382028
0.163762 2.834248
0.1339484 1.942971
0.1075161 3.5952
0.07365882 3.646158
0.1053805 4.714642
0.09243429 2.219407
0.07656461 2.692324
0.06920093 1.750223
0.10092 2.934065
0.07904399 2.80866
0.09357088 3.605294
0.1219745 3.739215
0.1568238 1.996288
0.1370942 3.746137
0.1124882 2.590698
0.154652 2.321834
0.1260336 4.039276
0.08888087 3.52723
0.09237236 3.316059
0.09597195 2.448328
0.07467118 1.98682
0.06771169 3.618633
0.1386001 2.311831
0.1503425 3.000334
0.1263672 4.756849
0.07392894 2.736399
0.1098069 3.320591
0.0879451 5.153586
0.133622 1.876468
0.1819922 2.013203
0.2329409 1.935092
0.1482832 2.638642
0.1799761 2.34936
0.1153179 2.378189
0.1142065 2.452516
0.1658465 2.309392
0.137241 2.076765
0.1154691 4.887476
0.1059371 1.593289
0.1205364 2.29989
0.1337388 1.827334
0.2329292 2.848581
0.1491579 4.02268
0.2165163 1.344491
0.1431659 2.247178
0.1559624 1.804048
0.1909369 2.527892
0.1877096 2.623233
0.09522979 2.67638
0.06971877 1.245081
0.1128884 3.010724
0.1289531 3.272712
0.1306696 3.326944
0.2185437 2.026269
