tau2_1 tau2_2 
0.1080278 0.1531252 
0.06969915 0.2746031 
1.055849 0.02663692 
0.09356293 0.1466614 
0.1076066 0.2163466 
6.594179 0.02511125 
2.905858 0.1864386 
0.4402049 0.07272255 
0.9911921 0.4841527 
6.893624 0.2188604 
1.557027 0.3294014 
0.1241126 0.1567415 
0.3223768 0.8716904 
1.164289 0.6605678 
0.7306915 0.1572485 
1.652302 0.2471917 
1.456869 0.1213189 
2.216579 0.2280726 
0.2919372 0.045891 
0.2769974 0.1370531 
0.01808451 0.05505644 
1.025903 0.1853233 
0.08428546 0.1246296 
0.1914682 0.2187281 
0.8432303 0.1515182 
0.01259335 0.1019121 
0.522785 0.2459818 
2.725548 0.2038074 
0.1092307 0.08767215 
2.141628 0.1135621 
1.337911 0.4203643 
1.195831 0.1141303 
0.9599101 0.2896061 
1.201222 0.7118311 
2.395086 0.1870943 
0.09791223 0.208303 
0.1497285 0.1996354 
1.086637 0.2530751 
0.614528 0.1499729 
0.1155517 0.1041571 
0.3767852 0.3447258 
0.9897493 0.599649 
0.3276265 0.09916936 
0.9202016 0.1218798 
0.3605529 0.1640539 
0.535246 0.4530112 
0.08946686 0.6947637 
0.3940181 0.3886399 
0.3343721 0.1149607 
0.9074636 0.1475875 
2.30529 0.02997554 
0.0848277 0.1185194 
2.0997 0.1482933 
0.5121754 0.8522091 
0.4058551 0.1125311 
0.5368094 0.6726484 
0.1973429 0.2080139 
0.0508485 0.1083344 
0.06796849 0.2217417 
1.561836 0.06409832 
0.1306768 0.5937025 
1.316733 0.6175055 
0.6594866 0.1312485 
3.842273 0.3985774 
1.637127 0.2295647 
0.6757235 0.2099864 
0.2258468 0.04357441 
0.3964265 0.4338065 
0.09446122 0.288088 
0.3521136 0.2304814 
1.293591 0.2133006 
0.07169382 0.1016122 
0.3635199 0.6434963 
0.9246293 0.1291706 
2.313755 0.2977882 
0.3983758 0.3943367 
1.093352 0.7441199 
3.105166 0.5472244 
0.3545672 0.1375166 
0.4535234 0.3148274 
0.09078521 0.1311475 
0.248576 0.2728145 
0.6108115 0.2361362 
0.2395456 0.1476948 
1.217082 0.08378337 
0.7185677 0.1275698 
0.3820242 0.2061193 
0.6767796 0.10008 
0.5573229 0.03470878 
0.0702926 0.1878588 
0.1596288 0.3259887 
0.5247843 0.4715338 
1.169797 0.2179381 
4.361278 0.08530008 
1.563238 0.3009681 
4.598903 0.5630723 
0.3312139 0.9918849 
2.282119 0.6394486 
0.2876536 0.4478541 
0.1384896 0.2036784 
1.699155 0.2272032 
0.4165634 0.2255364 
0.5478796 0.6287774 
0.09491489 0.534236 
0.1525984 0.7265069 
0.1068277 0.8773651 
0.5654406 0.4215674 
0.1244902 0.198992 
0.1463718 0.2092712 
0.8860363 0.08530744 
0.1160143 0.2087448 
1.713576 0.2066682 
0.1946944 0.2009598 
0.5290935 0.1879824 
0.5614571 0.1578423 
0.4389228 0.1341836 
0.3107481 0.5156423 
0.06547091 0.1809843 
0.4035884 0.7793107 
0.1613911 0.0898885 
2.282412 0.1896885 
0.4494884 0.3774119 
4.42774 0.2468627 
0.8781442 0.3494901 
5.753725 0.1799473 
0.141877 0.1244003 
0.4538662 0.1316471 
1.184566 0.5184599 
3.559903 0.3638501 
0.8634083 0.4623792 
0.2886682 0.2357208 
0.484733 0.6185714 
0.09092946 0.07223592 
0.01633945 0.07213121 
0.3452459 0.1324972 
0.7805521 0.192102 
0.2957913 0.146922 
0.9494187 0.1444547 
0.3086763 0.2174835 
0.8168558 0.3109824 
0.7824963 0.2663098 
0.496359 0.05037515 
0.5448327 0.0932582 
1.811039 0.3633711 
1.467466 0.06285588 
1.309659 0.04630737 
0.9970656 0.3024356 
0.4777446 0.1788707 
0.5951107 0.08448591 
0.04973037 0.2616918 
0.02596429 0.06772634 
0.09858389 0.2094641 
0.3285742 0.6950613 
0.2577911 0.1422993 
0.08811746 0.1326929 
0.5122044 0.3296135 
0.06126427 0.3546809 
2.016363 0.1868029 
0.06499917 0.1223972 
0.4125623 0.4246574 
0.6266266 1.070182 
0.7411897 0.334462 
0.8288856 0.9735009 
7.428704 0.981971 
2.097121 0.4256624 
0.06756852 0.1688965 
0.3968441 0.1145736 
1.055215 0.09516521 
6.105939 0.2487518 
0.6335256 0.3196783 
0.6364076 0.1721862 
0.525253 0.3874989 
0.5359754 0.2848561 
0.3268128 0.2321053 
0.8824173 0.07298138 
1.55201 0.07424101 
3.318327 0.463663 
0.4724651 0.1519404 
0.7519549 0.1413654 
0.6671204 0.1433748 
5.668353 0.2589224 
14.40057 0.3891699 
0.5465787 0.5060367 
0.3049686 0.3355923 
0.03182562 0.3713897 
0.1764849 0.148617 
3.170088 0.3721164 
0.3795068 0.5512645 
1.690244 0.4249888 
0.1489306 0.2568512 
0.1933483 0.07143628 
0.1765728 0.47144 
0.1147532 0.2639005 
0.1363078 0.1566871 
5.192294 0.1280949 
0.1281691 0.1333733 
1.607749 0.229776 
1.117932 0.05769858 
1.026535 0.2192281 
0.0939412 0.1559714 
0.2311935 0.2391674 
0.5544658 0.2793244 
1.053962 0.1827791 
0.2023159 0.2995617 
0.3404674 0.1315875 
2.453864 0.04687904 
4.221165 0.04773585 
0.2333555 0.6594686 
0.0323066 0.5531645 
0.06564061 0.222314 
0.06512798 0.3888379 
0.5075244 0.09515658 
0.893095 0.08797928 
3.025223 0.3855823 
0.08709633 0.2299228 
0.7042174 0.1208504 
1.190462 0.1085808 
0.6316107 0.6226315 
0.0560136 0.1401681 
0.3789291 0.3035133 
0.2806407 0.1536402 
1.313269 0.1140332 
1.526714 0.3011352 
0.03942323 0.2571708 
0.2508056 0.1974869 
0.6248342 0.09131498 
2.020403 0.3312759 
0.06596367 0.4575953 
2.602333 0.3539336 
0.6565096 0.0528805 
5.393334 0.07418004 
0.3124487 0.05626875 
0.05326278 0.1296912 
0.2726636 0.04786031 
0.09609389 0.05854882 
1.146804 0.03549484 
0.04320954 0.06406763 
4.787187 0.1608713 
0.2306417 0.1844802 
0.2099664 0.6317507 
0.8383627 0.4230816 
1.121974 0.1413632 
9.899339 0.5721675 
0.5360787 0.1235721 
2.174031 0.1542287 
21.0859 0.1282504 
0.1382449 0.1607157 
0.1250415 0.7271412 
0.05283661 0.1293537 
0.04641702 0.174979 
0.1592639 0.5151489 
0.2236785 0.4689788 
1.192673 0.3110053 
0.5016654 0.2307872 
0.5156469 0.2992667 
1.768417 0.2144708 
0.2028504 0.5087328 
0.5062479 0.1127784 
0.04271635 0.2699842 
0.7925035 0.1494004 
0.6434683 0.4607615 
0.438034 0.2942045 
0.1049359 0.8587324 
0.7621236 0.1356783 
0.7134858 0.4250818 
0.05601353 0.09580982 
0.9942508 0.1335687 
3.367511 0.3122027 
0.03482646 0.200436 
2.073827 0.2645493 
1.057397 0.09026921 
0.1127491 0.1240124 
0.6508659 0.1650342 
0.5126693 0.2644979 
1.914544 0.4905225 
0.4876 0.4311934 
3.487972 0.136426 
0.5683434 0.4150451 
1.034227 0.1729151 
0.36376 0.3090347 
0.1479294 0.2143993 
1.063464 0.1664565 
0.08019629 0.1202502 
0.9931278 0.2506233 
9.133695 0.1480454 
0.2298918 0.1047614 
0.5834385 0.1772106 
29.30948 0.2902726 
0.8014235 0.05145739 
0.08591238 0.2760311 
0.5633903 0.1628821 
4.2988 0.2362632 
0.9251095 0.1266278 
2.281105 0.246314 
1.239366 0.1112261 
4.709079 0.2073272 
0.2467643 0.5504707 
0.5134162 0.4129985 
1.015944 0.3339413 
0.09963288 0.1456697 
0.02675559 0.05351371 
0.2114543 0.4326308 
0.04069434 0.441032 
1.402264 0.3156276 
0.4049031 0.1408457 
0.2328184 0.2219144 
0.4497614 0.1402052 
1.733825 0.2696489 
0.6318738 0.3141308 
0.08059962 0.1906563 
0.2579576 0.213587 
0.8642878 0.1977997 
0.150988 0.2703846 
1.229016 0.4352099 
0.3174333 0.416 
0.09388007 0.09919427 
0.1372962 0.3146568 
0.4467101 0.6174195 
0.08727745 0.2407079 
3.283577 0.2113401 
1.41608 0.0837625 
0.7892653 0.2161489 
0.2035065 0.224446 
