p_1 p_2 p_3 p_4 
0.01551517 0.7123249 0.1538311 0.1183288 
0.05108211 0.7597168 0.162207 0.02699412 
0.02597777 0.7224448 0.2022998 0.04927769 
0.0110831 0.7867475 0.1130202 0.08914924 
0.0415737 0.8152776 0.1004817 0.042667 
0.004405388 0.7611413 0.1656042 0.0688491 
0.02036108 0.7728394 0.1768864 0.02991309 
0.03037877 0.7259705 0.1724481 0.07120267 
0.04759982 0.7565304 0.156019 0.03985075 
0.01840673 0.8278747 0.1087492 0.04496946 
0.02329885 0.7514008 0.1741116 0.05118869 
0.004077678 0.7584436 0.1475871 0.08989155 
0.02005836 0.8015753 0.1275448 0.05082153 
0.04306394 0.8040642 0.09680292 0.05606896 
0.01444304 0.8322538 0.08646079 0.06684238 
0.04038895 0.8471411 0.06673598 0.04573399 
0.01222624 0.8000328 0.1202502 0.06749085 
0.1159104 0.7721322 0.007224959 0.1047325 
0.1168687 0.775048 0.08490963 0.02317373 
0.09275974 0.722287 0.1116154 0.07333787 
0.1660684 0.6940904 0.03552392 0.1043172 
0.1143665 0.8147937 0.02671377 0.04412599 
0.1907202 0.752356 0.01651004 0.04041384 
0.1091933 0.812806 0.0168131 0.06118768 
0.1088757 0.8018389 0.05166293 0.03762246 
0.1855418 0.7706656 0.0002378271 0.04355482 
0.1925445 0.7489866 0.00981536 0.04865355 
0.2669538 0.7037461 0.02469022 0.004609882 
0.1010994 0.8674494 0.02974548 0.001705777 
0.1355428 0.798286 0.04741342 0.01875781 
0.07951155 0.7862693 0.09291762 0.0413015 
0.1652267 0.7579671 0.04885118 0.02795504 
0.09462694 0.8174098 0.004725402 0.08323784 
0.1094597 0.814054 0.03272005 0.04376628 
0.1516083 0.7706613 0.01664971 0.06108071 
0.1301319 0.8392091 0.005405571 0.02525338 
0.09793798 0.8203389 0.07356053 0.008162647 
0.09963097 0.8374069 0.02895764 0.03400453 
0.1563767 0.7686958 0.02682152 0.04810596 
0.1561017 0.7607191 0.01491612 0.06826308 
0.1491961 0.7827795 0.01233656 0.05568782 
0.2006462 0.7677102 0.01547136 0.01617217 
0.1433105 0.8139919 0.002985893 0.03971174 
0.1390976 0.803738 0.009610225 0.04755417 
0.03730857 0.7345161 0.05154054 0.1766348 
0.04364178 0.782788 0.04450394 0.1290663 
0.00493979 0.8850762 0.06134619 0.04863783 
0.1012188 0.8234121 0.01156764 0.0638015 
0.02160746 0.8069657 0.05977428 0.1116525 
