"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3" "beta1_4" "beta2_4"
-30.03219 -3.957778 30.15786 3.966079 15.6755 6.3208 14.96207 3.8853
-30.1265 -3.7867 30.22363 3.880104 -5.847264 11.1418 14.87488 3.990405
-30.1039 -3.859537 30.40079 3.94962 9.47289 9.165344 14.80763 4.062414
-30.27578 -3.876144 29.95942 4.092135 17.78696 3.984712 14.50084 3.929762
-30.24203 -3.947352 29.99249 4.011285 0.337949 9.560149 14.73355 3.966968
-30.07896 -3.941313 30.02555 3.964258 2.033849 -9.202743 14.89826 4.220871
-30.05309 -3.894462 29.82906 3.906897 7.587942 6.048951 15.07806 4.020939
-30.01071 -3.925444 29.84794 3.862701 6.990222 3.977761 14.85195 3.999697
-30.35204 -3.88856 30.08105 4.019825 10.75287 1.611022 14.79332 4.103212
-30.29681 -3.911586 30.08891 3.979565 -5.615419 4.53236 14.52759 3.942685
-30.0729 -4.047504 29.90665 3.992662 -16.9972 -0.4394551 14.75727 4.006609
-30.25497 -3.936569 30.17694 3.995961 6.440319 -17.87863 14.64055 4.100111
-30.22642 -3.823878 30.27401 4.006174 13.87005 -2.126489 14.547 4.146495
-30.0547 -3.871512 30.24534 3.965728 1.090257 2.498619 14.57723 4.014377
-30.01252 -3.912615 30.04578 3.958952 -4.795555 4.027755 14.5128 3.9116
-30.30172 -3.899349 30.33938 3.889839 -5.808264 15.32039 14.46876 4.048415
-30.01292 -3.84414 30.19099 3.849046 -0.5810105 21.60692 14.7305 4.069138
-30.03236 -3.796745 30.07308 3.980916 2.864207 8.737477 14.41118 4.039674
-29.92972 -3.81868 30.16062 4.037364 1.744 7.61472 14.37415 3.817763
-30.07063 -4.087531 30.02835 4.05702 5.293118 -7.741689 14.43406 4.037424
-30.07541 -3.873222 30.02952 4.098163 -0.989999 -7.583039 14.43382 4.084902
-30.4007 -3.957699 30.12147 3.963358 7.449307 14.57746 14.281 4.031473
-29.90163 -3.894557 29.96156 3.946731 -7.785241 18.11603 14.64618 3.999497
-30.05304 -3.914318 30.199 3.910285 19.00146 -6.471476 14.75269 4.084536
-30.12095 -3.939519 30.03433 3.883645 5.970286 -19.17195 14.44374 4.058807
-30.18211 -3.891862 29.82865 3.8977 -0.2024317 -7.312738 14.37401 3.994977
-29.9709 -4.004383 30.04526 4.102095 2.556402 -9.480087 14.58943 4.105664
-30.09602 -3.853954 30.04736 3.870521 -9.134388 4.95624 14.4903 4.105662
-29.99064 -3.832234 30.24701 3.882988 20.82119 -7.510797 14.49894 4.005085
-30.17616 -3.942265 30.20045 3.933601 6.800947 14.02594 14.57988 3.955778
-30.21723 -3.887762 30.17304 4.141834 -12.29086 4.721897 14.74025 4.032255
-30.05952 -3.924905 29.89747 3.959785 0.4320903 2.752976 14.61785 4.124523
-30.30722 -3.834773 30.06565 4.167024 9.665319 10.51055 14.82582 4.220379
-30.07375 -3.823783 29.99913 3.88162 2.417965 -20.19908 14.61819 4.007765
-29.9658 -3.793567 30.32018 3.83893 22.00597 3.545926 14.58251 4.01702
-29.93284 -3.881242 30.2671 4.039037 9.713072 16.91993 14.63144 4.035923
-30.12313 -3.906702 30.06435 3.799521 24.99418 15.94699 14.5794 4.046979
-30.36898 -3.861215 30.40549 4.00957 15.9663 6.375382 14.62938 4.059768
-30.07025 -3.962014 29.9608 3.783849 2.105921 4.72884 14.7729 3.969575
-30.20514 -3.964904 30.12197 3.670197 -3.865525 15.83578 14.70838 4.035362
-30.4796 -3.915384 30.41136 3.894778 -11.96469 3.751468 14.59716 4.038741
-30.20091 -3.887435 30.03776 4.047515 1.998691 -10.70645 14.95842 3.887003
-30.19419 -3.911697 30.01521 3.833119 -8.857119 -1.164083 14.50573 4.232982
-30.35695 -3.945516 29.88902 3.794918 5.869365 2.813182 14.36961 4.044522
-30.16855 -3.920524 30.03917 3.990382 2.599578 18.13999 14.50811 3.922195
-30.11349 -3.877083 29.95727 4.10186 13.4014 11.67336 14.93255 4.048609
-30.10959 -3.889653 29.84554 3.988679 12.47884 7.449032 14.89186 3.930137
-30.26246 -3.84663 29.93455 3.905924 8.683046 -8.95008 14.62166 3.888756
-29.88641 -3.969694 30.13017 4.058225 -4.350482 -5.428524 14.92383 4.071104
-30.25041 -3.950776 30.44261 4.07214 10.22977 0.2575282 14.23713 3.995127
-30.41664 -3.890352 30.52397 3.982846 -3.177507 2.784045 14.06331 4.103752
-30.00552 -3.956893 30.49903 4.004824 1.594364 -22.44653 14.68387 4.153151
-30.45954 -3.99264 30.32203 3.759536 -6.376993 8.703329 14.68808 4.046135
-30.2635 -3.943362 29.87152 4.035971 7.064251 11.21608 14.76567 4.02744
-30.35384 -3.904086 29.91584 3.930708 -2.947803 4.453773 14.663 3.94001
-30.09201 -3.957247 30.34838 4.008196 12.07894 9.714953 14.81791 4.112788
-29.97595 -3.889998 30.18362 4.063452 5.06583 22.92111 14.92537 4.073181
-30.2118 -3.979577 30.09799 4.00691 -4.120948 -4.788088 14.70615 4.032563
-30.26446 -3.898877 29.90018 4.030237 12.99665 5.931091 14.74599 4.102237
-30.21228 -3.912741 30.05775 4.181576 3.651777 -4.551549 15.00465 4.01962
-29.97633 -3.895966 30.27975 3.87181 11.96635 11.55655 14.70264 4.0347
-30.16074 -4.007705 30.02395 3.938439 3.776531 -4.237358 14.60113 4.064292
-29.93544 -3.897381 30.13557 3.866822 -4.697161 7.843596 14.33771 3.894884
-30.02629 -3.822901 30.08957 3.997604 14.95843 6.089395 14.45335 3.922821
-30.22645 -3.89939 29.92703 3.87461 -0.8491627 -8.878829 14.47608 3.99994
-29.98972 -3.840556 29.85994 4.00332 -4.451062 11.03724 14.73697 3.984835
-29.89323 -3.922555 30.24999 4.072084 13.99956 0.4511985 14.6411 3.902628
-30.1029 -3.900645 29.94536 3.963322 2.596147 -4.860531 14.66334 4.017882
-30.11325 -3.965827 30.42539 3.953078 22.56959 4.04857 14.5177 4.082067
-30.27178 -3.903148 30.22174 4.034812 -11.71833 8.83857 14.35084 3.964522
-30.23983 -3.857035 30.46226 4.001165 -14.39865 -5.709119 14.36515 4.0211
-30.18603 -3.920009 30.32225 3.964445 9.744871 5.827147 14.42749 3.995848
-30.05022 -3.988437 30.14049 3.999722 -8.390509 -0.04046819 14.43443 4.063186
-30.03781 -3.851302 30.47396 4.026322 21.69625 19.39348 14.63171 3.982638
-30.33522 -3.994935 30.52186 3.983588 5.25839 15.68718 14.37429 3.944609
-30.54107 -3.952533 30.60827 3.984568 10.34885 -14.84425 14.139 4.034972
-30.16546 -3.988006 30.00785 3.945322 -7.936941 6.63621 14.49038 3.996689
-30.27082 -3.904521 30.12541 3.959048 -11.52355 15.54347 14.64599 4.071708
-30.04032 -4.074511 30.1641 3.833359 1.479985 -15.21271 14.57746 4.011187
-30.02552 -3.891774 30.28286 3.999499 -3.714012 3.425146 14.70902 3.997385
-30.1356 -3.883484 30.09889 3.915879 -16.67543 -4.819481 14.78829 3.912291
-30.20028 -3.914477 30.22931 3.946212 -9.905091 -6.612607 14.93218 4.096913
-30.35969 -3.881135 30.11056 3.795779 9.358948 0.329128 14.67353 4.050847
-30.02135 -3.944179 30.12561 4.029739 -7.885566 -0.2492106 14.88278 4.055765
-29.79784 -3.817147 30.0584 3.755996 3.964171 -0.7442591 15.03251 4.030985
-30.10086 -4.024411 30.16321 3.985793 -2.408541 -5.820603 14.85548 3.929707
-29.96033 -3.911801 30.29034 4.111127 -15.3612 -18.56213 14.83239 4.111903
-30.19946 -3.895507 30.01602 3.810953 -5.608742 -7.043157 14.62173 3.995458
-30.1816 -3.873702 30.11347 3.945757 16.1041 6.59749 14.70081 4.057185
-30.16167 -3.830997 30.0705 4.030324 12.24985 21.55744 14.60727 4.018014
-30.11711 -3.896785 30.3023 3.971938 -1.361285 -1.869641 14.56442 4.019373
-30.08451 -3.83306 30.32919 3.866385 22.19812 6.859767 14.46727 4.057961
-30.34102 -3.89248 29.84379 3.940682 2.331532 6.430724 14.23177 4.026915
-30.07484 -3.948118 29.80087 3.983756 0.4978935 2.5179 14.2109 4.075226
-30.08752 -3.917162 29.9928 3.997111 -1.505382 -11.77565 14.36976 3.870717
-29.88193 -3.927589 30.07235 3.952281 -21.06836 9.502483 14.33635 4.081471
-29.81956 -3.906928 30.08464 4.005501 -1.338134 10.8275 14.49503 4.035885
-30.29591 -3.904507 30.4031 3.949794 12.38683 -3.667812 14.29286 4.018235
-29.99847 -3.941507 29.76781 4.093534 14.32448 4.781198 14.85112 3.989886
-30.18006 -3.975917 30.06543 3.896604 -4.38585 8.167694 14.7067 4.077327
-29.7731 -3.91755 30.0557 4.150531 -2.660725 5.19387 14.93711 3.941633
-30.18119 -3.956747 30.08152 3.885848 1.190164 -20.69434 14.50661 3.981915
-30.17932 -3.882887 30.3042 3.915347 0.789723 -0.8243962 14.62721 4.04904
-30.47034 -3.972414 30.22116 3.992302 -4.612587 -9.573031 14.46045 4.005175
-29.95197 -3.878028 30.25031 3.979488 9.277176 3.480853 14.53433 4.076182
-29.96674 -4.008857 30.0402 3.899634 2.19998 -7.917415 14.45276 4.039364
-29.85147 -3.989344 29.91125 3.89669 -14.84795 -3.186446 14.52576 4.087199
-30.08039 -3.87726 30.39289 3.888575 -10.41506 -15.80883 14.51938 3.983213
-30.25539 -3.889466 29.98268 3.988989 -0.9487756 -2.047683 14.42062 4.041388
-30.16335 -3.916427 30.01638 4.045297 0.5101391 -4.52589 14.53027 3.971001
-29.91779 -3.873022 29.71989 3.969272 15.04925 -6.631049 14.45599 4.10717
-30.20893 -3.864162 29.87562 4.060913 -3.965615 11.20416 14.35425 4.039966
-29.95617 -3.933986 30.33681 3.794303 4.065729 0.1101979 14.71616 4.015709
-29.95663 -3.959259 30.05898 4.119518 1.371286 -19.92477 15.00549 3.960724
-30.34628 -3.86445 30.34743 3.91847 19.29514 -0.8965943 14.68493 3.924661
-30.04139 -3.84536 30.0836 4.015697 13.13875 4.237879 14.70688 3.993815
-30.14186 -3.913723 30.29921 4.006554 -12.24636 -11.32899 14.65507 3.923794
-30.01706 -3.906896 30.17201 4.00696 -0.6862326 -9.855832 14.18043 4.106119
-30.01409 -3.913102 30.30844 3.878294 -3.314453 13.68552 14.5241 4.001206
-30.11545 -3.86781 30.09539 4.014657 -4.353807 7.743232 14.72173 4.143368
-30.05399 -3.975038 30.04086 4.103344 6.409423 6.92646 14.63089 3.891538
-29.85331 -3.933634 30.02087 3.855883 13.83699 8.314164 14.91721 4.008115
-30.06291 -3.971127 30.59836 4.052593 -1.515003 -1.833172 15.08124 4.033119
-30.21483 -3.936163 30.31708 3.930088 -9.22991 11.40898 14.82901 3.846408
-29.96891 -3.825487 30.08391 3.9783 14.8972 3.18958 14.92938 4.074789
-30.05315 -3.900094 29.86276 3.897646 5.186223 -12.19155 14.77905 4.033775
-30.15576 -3.957657 30.055 3.901135 3.870026 -18.34663 14.41974 4.004568
-30.16623 -3.842536 30.11494 3.886221 5.904138 6.300427 14.54696 4.03056
-30.20238 -3.840771 30.33174 3.908585 19.31118 -15.95754 14.72501 4.016373
-29.93891 -3.899827 30.04508 3.914678 -2.293908 11.818 14.84263 3.949133
-30.13147 -3.867355 30.23272 4.063322 9.94088 3.95222 14.66802 3.93704
-30.04278 -3.95065 30.25354 3.946143 -4.295527 -15.72955 14.59768 3.882513
-30.03769 -3.967692 30.35747 4.0917 -2.848344 -1.149215 14.46202 4.119902
-30.24967 -3.839021 30.17967 3.979412 -10.48082 -11.11262 14.64179 4.051997
-30.36582 -3.92193 30.22508 4.052863 -0.2703611 -5.911057 14.23305 3.91064
-30.29236 -3.79881 30.1028 3.994825 3.888368 -11.60936 14.24743 3.942994
-30.01064 -3.947936 30.0166 3.767603 -7.074266 16.97456 14.39945 3.991717
-30.14199 -3.957873 30.2089 3.997465 6.840265 0.7561171 14.44612 4.067737
-30.02648 -3.970401 29.95738 3.933926 -3.62738 12.12672 14.59835 3.981877
-30.05642 -3.887141 30.1833 3.997146 8.685479 17.96767 14.68926 4.066736
-30.22105 -3.938936 30.42846 3.782426 -7.514467 7.414488 14.51075 4.085083
-30.22678 -3.917257 30.25898 3.946861 -2.224151 -2.061838 14.6724 4.13025
-30.42748 -3.888109 30.00655 4.069497 14.33507 3.329175 14.33641 4.100021
-29.97079 -3.947213 29.96826 3.969646 12.00102 -3.215148 14.68021 4.078811
-30.13086 -3.897345 30.17328 4.155687 -7.519002 -10.94176 14.67356 4.053571
-29.92629 -3.88172 29.88012 4.138383 -7.903833 -2.364745 14.55074 4.051854
-29.93098 -3.916723 30.21605 3.959432 9.311009 -20.25863 14.38566 4.005775
-29.89302 -3.911036 30.10122 3.972817 -3.194165 18.99398 14.54934 3.979267
-30.1607 -3.97862 30.12773 4.058179 9.757305 -1.036026 14.62872 4.023884
-29.87599 -3.939488 30.052 3.939917 -0.4319868 8.497588 14.57058 4.031128
-30.30467 -3.870455 30.18729 4.021203 -11.99287 -7.516949 14.23417 3.985056
-29.98921 -3.860659 30.11323 3.911842 -9.484531 14.6496 14.74408 3.991144
-30.23307 -3.871819 30.14492 3.956102 -16.37117 7.017149 14.76261 4.086266
-30.08202 -3.885716 29.93074 3.95025 -12.10822 3.773853 14.6077 4.057095
-30.03106 -3.937346 30.08331 4.017969 -3.034882 -6.514578 14.67629 4.054757
-30.25584 -3.863039 30.15004 4.036028 2.55235 9.968151 14.62357 4.036429
-30.17394 -3.925887 30.23466 4.050161 0.650993 -12.79743 15.02687 3.964307
-30.22629 -3.923805 30.05181 3.975644 10.19139 -5.689351 14.78786 4.124506
-30.24489 -3.808959 30.19407 4.029988 17.79602 -13.22266 14.58055 3.898747
-30.22061 -3.91361 29.85639 4.102359 7.708477 -16.60116 14.63807 4.023933
-30.30974 -3.890548 30.24749 3.76125 -11.53414 -5.636526 14.57254 4.042317
-30.03318 -3.913036 29.91244 3.993855 14.10808 -6.298716 14.85571 4.006293
-30.3747 -4.003159 30.06257 3.76984 -2.962217 0.7019427 14.94577 4.037652
-30.2094 -3.894438 30.14187 3.977352 13.84093 7.32146 14.85563 4.047953
-29.9738 -3.960115 30.2283 3.982508 -6.384593 -14.18648 14.46138 3.990345
-30.12293 -3.92229 30.0197 4.225659 -4.657019 -16.41095 14.44297 3.975654
-29.97291 -3.94797 30.24682 3.740812 6.867523 17.95597 14.72484 4.203383
-29.9712 -3.862886 29.98055 3.954476 17.22134 17.13113 14.92947 3.956846
-30.27688 -3.906971 30.04709 3.713532 -6.169074 19.28023 14.4334 4.169135
-30.00233 -4.049445 30.11814 3.894837 19.95072 -0.242747 14.69072 4.009042
-30.02287 -3.906534 30.13101 3.879676 -5.848284 3.449478 14.78872 4.000182
-30.29148 -3.973366 30.57957 4.020595 14.69728 6.125838 14.84339 4.059613
-30.09301 -3.845056 30.08762 3.808464 18.41666 -3.813669 14.88374 4.008526
-30.00401 -3.844219 30.13852 4.014024 16.4031 0.3470023 14.50915 4.060688
-30.1714 -3.928478 30.13376 3.765859 -0.5383022 0.3090524 14.46021 4.081659
-30.17898 -3.844283 30.06358 3.970072 -5.412713 13.53322 14.59717 4.128512
-29.99159 -3.855664 30.04001 4.105506 2.663713 9.003044 14.68149 4.036776
-30.134 -3.813757 30.02794 3.951277 -4.209689 9.172493 14.58293 4.024164
-30.19119 -3.960332 30.21543 3.961651 15.82164 0.2460527 14.72436 4.055024
-30.28607 -3.949378 29.99246 3.820528 -1.709339 7.813681 14.9578 4.149129
-30.3758 -3.880666 30.15022 3.813796 -15.84456 -9.329641 14.56399 4.093981
-30.33161 -4.034869 30.02457 4.063621 -31.40245 -21.44216 14.50593 4.001157
-30.15504 -3.926966 30.20898 3.981294 -8.42031 0.9009898 14.60674 3.982726
-30.50473 -3.95876 30.11882 3.979759 -5.78215 3.162718 14.37483 4.04236
-30.12299 -3.833117 30.09672 3.88486 -2.688054 8.510774 14.80234 3.965955
-30.18113 -3.94588 30.2632 3.959847 11.77141 0.05588529 14.58836 3.961487
-30.50195 -3.876216 30.1072 3.776463 3.515903 7.575253 14.32501 4.045377
-30.19833 -3.943915 29.94281 3.951485 -11.13206 -16.58943 14.7133 3.987638
-30.09341 -3.945865 30.04275 4.04444 8.464857 -4.044026 14.59481 4.007567
