"tau2_1" "tau2_2" "tau2_3" "tau2_4"
0.04310208 0.04678629 0.1374103 0.1333439
16.30847 0.04219624 0.1401429 0.1584831
0.4048639 0.02944842 0.09592256 0.1541239
4.023386 0.05064093 0.0630096 0.1235678
106.1075 0.02374847 0.1004615 0.1172833
0.07255663 0.03673758 0.08781098 0.08946031
7.580384 0.0210967 0.06526917 0.1054959
45530422 0.03981263 0.147789 0.124424
2.128048 0.06282378 0.07587696 0.1445257
343.9174 0.06463495 0.1195883 0.1235189
3710.025 0.02227836 0.04653481 0.1496544
3813.919 0.01311854 0.1373599 0.1290539
52205.43 0.03183178 0.02870405 0.08793333
1.221994e+12 0.04550038 0.08233159 0.1266555
7.004282 0.03466065 0.05478502 0.1450986
63.47568 0.01068981 0.0428662 0.0961892
0.9653966 0.04426285 0.07789497 0.1437435
8268.758 0.05564684 0.09663127 0.1091481
0.06479311 0.1220656 0.1647803 0.1296453
0.03980768 0.0476869 0.05113108 0.07282342
0.03511612 0.02411849 0.1536264 0.1243791
8.265481 0.1181684 0.07736359 0.1119026
94.9458 0.06355243 0.1330515 0.0689269
5594.519 0.5138665 0.03658707 0.09979595
992372.7 0.0749161 0.1102235 0.1271461
6657.531 0.09776781 0.07362165 0.1344337
0.3225812 0.03969472 0.05904032 0.08101365
225179.4 0.03831337 0.05460216 0.1009011
23.57035 0.01689738 0.1509426 0.08705894
0.09503085 0.04515856 0.08153607 0.1064426
2.088781 0.06746895 0.04657597 0.1116156
59.59147 0.02437156 0.1002394 0.09232806
4.12181 0.03973174 0.1238901 0.1055706
44844432 0.02152281 0.04514043 0.1507399
763827.3 0.08544492 0.07068503 0.1853223
62861.99 0.04240471 0.132693 0.1337289
17.20011 0.02789246 0.05055097 0.1649735
0.1485814 0.1075812 0.08056077 0.1458376
14.21768 0.03736428 0.0419821 0.1721339
0.9073339 0.02236425 0.02983896 0.2155919
140.0507 0.03363809 0.04313632 0.1909261
1.630697 0.1799697 0.1455786 0.1339349
3.444819 0.09641903 0.1660028 0.1184786
5485.043 0.1428762 0.1379216 0.1247411
695933978 0.1002406 0.09035638 0.1604554
0.8551685 0.05454206 0.07366313 0.1185346
173.3059 0.03938466 0.1357576 0.09968945
0.5669839 0.1125208 0.08070318 0.09125701
1457.398 0.03000553 0.1456647 0.100899
0.09372482 0.1235231 0.03694655 0.2093981
939675759 0.111612 0.04945247 0.09980525
36.69339 0.01865863 0.06724629 0.1424947
360931.5 0.07844517 0.07287115 0.1253316
2.109276 0.0720228 0.1152828 0.1721467
