"res" "LCI" "UCI"
-0.622920934220494 -0.728416181999043 -0.508687246460228
-0.620439563835246 -0.726163495970137 -0.505849028765289
-0.617873014553105 -0.724911788123871 -0.504136291257628
-0.615151776311211 -0.722812939721021 -0.501249128874777
-0.612496646870445 -0.720470932030317 -0.497330380226553
-0.610056101988844 -0.718607184307349 -0.49472476497643
-0.607421231231564 -0.715466777404653 -0.491824244933355
-0.604126606684972 -0.712887318970292 -0.488481457460159
-0.600474221302983 -0.710421377739849 -0.485028284902196
-0.596448943328244 -0.706925235501274 -0.48078079337706
-0.592647564637875 -0.705173264290089 -0.478439568772296
-0.589087403107062 -0.702802738973111 -0.474157378313793
-0.585521584373925 -0.697755944266074 -0.470514826377066
-0.579803417641351 -0.695623581486858 -0.463622077506257
-0.576575897402346 -0.691412115704413 -0.459754831970661
-0.5736553938849 -0.689110560146393 -0.457316216409944
-0.570584533325671 -0.686079995944945 -0.453109966734474
-0.567280881417989 -0.683036550468467 -0.450163795215439
-0.564448447336114 -0.68151786206492 -0.447386658655829
-0.561960773662301 -0.67956619410265 -0.444783238243858
-0.558668310809602 -0.676322218805806 -0.440833902621684
-0.556152505391488 -0.673483022191675 -0.438603044818226
-0.5536781450542 -0.671853758236492 -0.435657047809352
-0.551111056971572 -0.670222074357481 -0.432456280160504
-0.548314745341132 -0.6673109585982 -0.430248952578964
-0.54590238061235 -0.664590582801279 -0.426683397215709
-0.543944541148988 -0.662841784564162 -0.425165669348867
-0.541305583191959 -0.66171622579869 -0.42307237047324
-0.538916899462878 -0.658100107321309 -0.421156489811476
-0.536717187463473 -0.657306963661729 -0.418931889219921
-0.534170062922206 -0.655098573028166 -0.417115693428558
-0.531951660610664 -0.654137827166814 -0.41334957986631
-0.529686394576268 -0.652274691941427 -0.411405718462389
-0.526602959886368 -0.649722521830588 -0.408671300858743
-0.523444869475509 -0.646755018414372 -0.405535134497721
-0.519691262626223 -0.642893832353261 -0.403257491735455
-0.515977186252201 -0.639853275598536 -0.39991200166232
-0.513241476358855 -0.635592532036921 -0.395044349314622
-0.510403719510751 -0.633652197525596 -0.392453221215774
-0.508000222294596 -0.630743133489849 -0.390123325339074
-0.505764384835277 -0.628300074437896 -0.387103625969373
-0.503974014430932 -0.627106108996563 -0.384906814792832
-0.502246448582625 -0.625615670284863 -0.383866498710428
-0.500509193149111 -0.623477472717429 -0.381819951169149
-0.498856962907019 -0.622725321760791 -0.379844021603395
-0.497192849291049 -0.621017466566985 -0.377900044307192
-0.495591635266752 -0.61916595396856 -0.375759906655778
