beta1_1 beta2_1 beta1_2 beta2_2 
22.40032 5.893048 -29.51132 -3.840687 
21.8599 6.202122 -29.96596 -3.673182 
20.00484 8.857828 -30.34393 -3.861275 
16.24272 4.966365 -29.37152 -3.955366 
21.59578 4.469043 -32.20272 -3.850942 
17.35356 5.285472 -30.05535 -3.898277 
17.98279 3.101786 -30.82842 -3.800755 
15.72377 5.69575 -29.71007 -4.090923 
17.7394 4.325252 -30.56225 -3.999945 
16.81323 3.207947 -30.56282 -3.911976 
18.47699 5.720942 -30.76693 -3.927769 
19.10404 3.119789 -31.08347 -3.830123 
19.59498 4.846436 -29.70495 -3.867653 
18.83689 4.869437 -31.14506 -4.133122 
19.81589 1.547312 -29.84985 -3.969821 
19.16278 2.309776 -30.4465 -3.833127 
18.96383 6.054996 -29.50197 -4.019835 
20.07303 5.298193 -30.29442 -4.032188 
21.82288 2.055403 -30.11531 -3.963858 
20.99598 4.854418 -29.60236 -3.912895 
22.48786 5.297984 -30.21528 -3.852347 
20.74561 6.120416 -29.69916 -3.941528 
24.57838 3.533777 -31.10587 -3.909862 
25.7274 4.959207 -30.44034 -4.012358 
18.66545 5.233457 -30.89604 -3.816349 
17.93233 5.687989 -29.93559 -3.935931 
19.18628 6.118801 -30.26758 -4.126059 
19.68239 6.7853 -30.14792 -3.657729 
26.73521 6.412409 -31.83083 -3.88364 
20.33164 5.924743 -29.6135 -3.940106 
22.78597 5.926881 -29.76857 -3.953016 
22.57177 4.162355 -30.39088 -3.923398 
18.53752 5.181515 -30.01238 -3.890815 
19.74998 5.799467 -30.86459 -3.686223 
18.50445 3.55631 -30.93104 -4.092904 
22.84354 5.980783 -30.64096 -4.00259 
20.10212 4.439722 -30.48797 -3.79746 
17.21571 2.511087 -29.91284 -3.767935 
17.88429 4.660689 -30.96793 -3.871415 
18.2123 6.867541 -30.5257 -3.92476 
18.86931 4.661602 -30.21435 -3.90807 
21.77262 7.412878 -30.09651 -3.770215 
20.4119 6.255109 -30.87264 -3.915734 
19.08173 4.16379 -31.88696 -3.990939 
18.43323 5.642974 -31.08381 -3.865909 
18.29547 3.681429 -29.83224 -4.214761 
16.33015 8.320999 -29.3444 -3.692006 
18.59115 7.089692 -29.33958 -3.393986 
23.31565 5.0613 -29.7232 -3.937671 
20.46598 3.801178 -29.43542 -3.785895 
18.51379 5.681624 -30.59538 -3.833297 
17.54728 5.344196 -31.84718 -3.783515 
17.10573 4.694653 -29.72535 -4.05934 
23.38487 3.528912 -30.76114 -3.768104 
23.20036 5.575881 -31.02631 -3.627217 
17.33997 4.869722 -29.15561 -3.733835 
18.58894 4.201675 -29.6109 -3.98998 
16.76243 4.752528 -33.17924 -3.951461 
18.44763 3.987993 -30.19332 -3.562694 
21.98737 5.853888 -31.55041 -3.968167 
19.31236 6.664006 -29.62069 -3.576634 
17.75823 7.336236 -29.20639 -3.818103 
23.82427 4.835941 -30.03086 -4.034136 
37.00351 8.831602 -34.6064 -3.985551 
19.9214 6.51325 -29.83449 -4.014128 
22.1338 4.968936 -30.98329 -3.945852 
20.15481 5.761275 -30.59454 -4.04682 
17.4664 2.442325 -30.35631 -4.115882 
18.11824 3.658108 -30.54177 -4.114456 
18.28023 3.978486 -30.23527 -3.933985 
16.55811 6.628648 -30.82047 -3.679541 
18.72644 6.36632 -30.54063 -4.023168 
19.48981 4.40143 -31.15064 -3.990244 
17.5066 4.67492 -29.92608 -3.859771 
16.53212 4.719821 -29.5558 -4.053816 
16.80019 6.166581 -29.59412 -3.966053 
19.10451 4.951705 -30.46296 -3.970622 
21.63161 5.327458 -30.19398 -3.905545 
19.13048 8.145587 -29.93422 -3.97612 
19.8006 5.496901 -29.96298 -3.978696 
19.16201 3.383255 -29.80151 -3.622126 
17.36127 4.522399 -29.97961 -3.897195 
21.07854 3.191249 -30.42989 -4.062457 
22.50085 5.596934 -30.87987 -4.029626 
20.39078 5.031469 -29.56973 -3.968191 
24.01851 3.756834 -30.65379 -3.857574 
21.07666 4.17215 -29.49742 -3.844803 
17.89765 5.717201 -29.74799 -3.899445 
19.34454 5.653042 -29.73344 -4.018337 
23.06247 5.644909 -31.96061 -3.848018 
22.36803 5.170625 -31.6007 -3.951991 
17.91796 5.291751 -30.2837 -3.868541 
21.53926 6.725978 -30.39273 -3.944224 
19.23594 4.624801 -30.73098 -3.923119 
15.86958 4.978891 -30.7598 -4.003071 
17.93289 2.983713 -29.57443 -4.071811 
17.79027 3.609615 -31.07227 -3.958116 
18.78804 4.291486 -32.78251 -3.84887 
20.49293 3.81957 -30.71992 -3.724364 
18.04983 3.961571 -32.89563 -4.033332 
17.54127 3.633779 -31.42141 -3.950242 
19.3294 4.649026 -32.45432 -4.048998 
22.79365 4.792254 -29.91526 -3.757036 
30.48446 8.287812 -32.64463 -4.118781 
22.71568 3.987293 -29.95344 -3.815096 
21.06935 7.135831 -30.27695 -3.935327 
20.82614 4.44173 -29.16414 -3.984423 
19.76233 1.192905 -29.56175 -3.878022 
22.32871 3.658146 -30.29468 -3.893182 
24.17195 4.605651 -32.76941 -3.892364 
15.69955 3.519238 -30.0176 -4.082001 
13.64066 8.303539 -29.8891 -3.993917 
20.81247 8.08757 -30.44555 -3.927938 
19.5638 3.756348 -29.65557 -3.770553 
16.29557 8.105047 -30.26534 -3.882342 
17.95595 8.637259 -29.99432 -4.441711 
19.0083 7.149411 -29.515 -3.95486 
18.72779 7.923748 -30.08491 -3.776825 
17.4018 8.407893 -29.43805 -3.923912 
