"beta1_1" "beta2_1" "beta1_2" "beta2_2"
18.24852 3.371036 -30.46546 -3.914599
18.86361 3.651026 -30.58027 -3.982787
17.96213 4.343201 -30.17649 -3.895974
17.88009 4.195723 -30.25469 -3.858281
19.02359 3.931274 -30.14284 -3.879094
20.05202 3.6619 -30.41251 -3.936244
18.41787 4.044053 -30.25737 -3.88919
18.70088 3.507483 -30.57391 -3.936054
18.35719 4.419887 -30.04849 -3.922252
18.59611 3.888168 -30.17016 -3.895557
17.53113 3.958784 -30.20451 -3.847979
17.98937 3.970903 -30.14121 -3.980434
19.08752 3.754938 -30.29429 -3.905873
17.32012 3.999156 -30.1812 -3.930207
18.46861 4.222043 -30.10196 -3.866067
18.57765 3.591654 -30.5315 -3.956689
19.44286 4.05805 -30.34223 -3.870327
18.88462 4.060393 -30.49204 -3.874929
18.77727 4.085473 -30.06357 -3.839935
18.72659 4.364163 -30.32996 -3.929532
17.99739 3.818462 -30.03246 -3.928098
19.18928 3.966178 -30.39564 -3.81944
19.1201 4.011982 -30.86684 -3.932931
18.43643 3.226254 -30.33269 -3.805836
17.97867 3.929403 -30.48772 -3.89829
18.39 3.83989 -30.3857 -3.984656
19.02048 3.89427 -30.27095 -3.895016
18.26004 4.142614 -30.07049 -3.931926
18.72799 4.013052 -30.27501 -3.857165
19.20944 4.043465 -30.16081 -3.905828
18.51488 4.101155 -30.02801 -3.962604
18.09677 4.320732 -30.19492 -3.864341
18.68462 4.06498 -30.72216 -3.882972
18.07648 3.913223 -30.48085 -3.748248
18.04865 4.142805 -30.10781 -3.975034
18.35603 3.34549 -30.05234 -3.906082
19.57298 3.494431 -30.19262 -4.047542
18.82323 4.388357 -30.31198 -4.006411
19.08717 4.090637 -30.16664 -3.952657
18.82967 3.768585 -30.22611 -3.871828
17.95742 3.522524 -30.71615 -3.856091
18.14624 3.550014 -30.25819 -3.900974
18.2512 3.906227 -30.74331 -3.930596
18.02346 3.729795 -30.64247 -3.906727
18.46644 3.27714 -30.38382 -4.015858
18.51028 4.182957 -30.15319 -3.858446
18.23642 3.848122 -30.35625 -3.888582
18.73183 4.384037 -30.33077 -3.921833
18.19901 3.968985 -30.38444 -3.91519
18.74377 3.820735 -30.58015 -3.917995
18.31726 3.995631 -30.27121 -3.961751
18.47176 3.723508 -30.87263 -3.905121
18.32258 3.891773 -30.55655 -3.946613
18.4763 3.914232 -30.15997 -3.836875
18.66292 4.145449 -30.3688 -3.906864
19.15255 3.935753 -30.64009 -3.966117
17.9082 4.101642 -30.68507 -3.916172
18.23649 3.948082 -30.2915 -3.896026
18.81003 3.954979 -30.51559 -3.954298
19.48993 3.863061 -30.67335 -3.922968
18.75061 3.732619 -30.3126 -3.963027
19.49032 4.110237 -30.27137 -3.867839
18.905 3.956927 -30.60828 -3.997067
18.19051 3.931186 -30.45878 -3.885019
18.16354 3.998139 -30.1185 -3.8949
18.77893 3.641216 -30.75138 -3.926765
18.05663 3.936942 -30.35449 -3.895895
18.90615 3.737439 -30.28678 -3.934093
19.42477 3.591057 -30.29232 -3.95286
19.28673 3.503551 -30.37707 -3.804381
19.2345 3.570383 -30.1003 -3.905134
17.93026 3.754286 -30.14312 -4.040986
18.04515 3.895444 -30.44928 -3.868267
18.38959 3.712335 -30.31468 -3.969134
