"comp1" "comp2" "comp3"
-2.402351 1.063916 0.6921009
-2.377683 1.067578 -0.2606514
-2.012307 1.075784 -0.1851397
-2.183822 1.026612 0.5381533
-2.027643 0.9796077 -1.917732
-2.209603 0.9954485 -1.688587
-2.425569 1.058725 -2.911661
-2.183933 1.106652 -1.076861
-1.889069 1.106974 -2.246846
-2.105895 1.102665 -0.5985708
-2.23252 1.032991 1.729628
-2.737968 1.01989 -1.286153
-2.123121 0.9451682 -1.795698
-2.620881 0.9631294 -0.5925762
-2.015047 1.06847 -1.55919
-2.313556 0.9796526 0.3248135
-2.07093 1.003055 -1.043712
-2.250842 1.049617 -1.54985
-2.272494 0.9602456 -1.382983
-1.651781 0.9537353 -1.96258
-1.854959 0.9974821 -2.427756
-1.918532 1.004525 -1.267969
-1.928464 1.022051 -0.4323695
-2.258657 1.071106 -0.5716298
-2.476009 1.05572 0.6257161
-2.048075 1.078935 -0.7245761
-2.383701 1.032957 -0.1132581
-2.161762 1.008153 -0.1786122
-1.929128 0.9887067 -1.71295
-1.745884 1.022297 -1.176508
-2.22322 1.030499 -2.521088
-1.99852 1.091377 -0.7655023
-2.090754 1.049493 -1.301997
-2.440462 0.992925 1.130064
-2.132303 1.005172 -1.913444
-2.143192 1.139309 -2.630051
-2.575901 1.117064 -0.7253704
-2.710943 1.111509 -1.123313
-2.705692 1.078115 -0.9018943
-2.523503 1.103457 -0.9384733
-2.587366 1.123346 -0.1196428
-2.344049 1.130854 4.116866
-1.990784 1.119306 -1.648867
-2.22808 1.06201 -0.7911995
-2.520308 1.066184 -0.4258452
-2.185709 1.02286 -0.0115728
-1.49428 1.051957 0.2199904
-2.090199 1.043198 -0.002860596
-2.266166 1.027364 -1.882749
-1.939161 1.080659 -1.218101
-2.091219 1.033487 0.4591492
-2.270928 1.040049 -0.7605873
-2.171291 1.089753 -1.136134
-2.133923 1.060794 -2.549472
-1.685643 1.079339 -0.8429637
-2.130746 1.062202 -2.892468
-1.861588 1.073024 -1.253262
-1.904567 1.048449 -1.674001
-2.304983 0.9861726 -2.07719
-2.236323 1.015087 -1.693534
-1.845201 1.037361 -1.975333
-1.778957 1.067072 -0.827207
-2.448848 1.05074 5.404298
-2.631206 1.042579 -0.1940053
-2.350908 1.034284 -0.9262689
-2.376896 0.9773905 -1.5841
-2.477353 0.9808131 -1.17648
-2.036577 0.9710877 -0.1180788
-1.91974 0.959877 0.484883
-1.818545 0.9454092 -0.2200117
-1.910788 0.9923602 -1.689254
-2.03017 0.9455219 2.037618
-2.078116 0.9981719 0.2506464
-1.897091 1.014409 -0.7355382
-2.118961 1.051944 0.3863583
-2.247754 1.069018 1.872375
-2.500029 1.08235 -1.955559
-2.456766 1.080267 -2.285639
-2.344583 1.072639 -1.533593
-2.626044 1.118887 -1.305646
-1.910667 1.125617 -2.881919
-2.190492 1.087359 -1.497148
-2.03795 1.063139 -2.042707
-1.837033 1.006688 -1.614685
-2.453707 0.9876687 -2.07451
