"p_1" "p_2" "p_3" "p_4"
0.01183263 0.1573588 0.06705022 0.7637584
0.002293795 0.1728153 0.05884226 0.7660486
0.0003162284 0.1751554 0.05078932 0.773739
0.001241057 0.1737021 0.04359162 0.7814652
0.002112015 0.1559214 0.07107036 0.7708962
0.001392066 0.1622674 0.06805226 0.7682882
0.01528792 0.1547517 0.04994109 0.7800193
0.002041096 0.1503761 0.04354752 0.8040353
0.003054737 0.1869625 0.06967995 0.7403028
4.215337e-05 0.1879523 0.05110978 0.7608957
0.008236629 0.1728642 0.06663165 0.7522676
0.007413489 0.1537296 0.04749791 0.791359
0.001046871 0.1603797 0.04384416 0.7947293
0.000440327 0.1579617 0.05222765 0.7893703
0.0004100581 0.1678829 0.04504958 0.7866575
0.0006556679 0.17367 0.06149976 0.7641746
0.002830015 0.1766433 0.04102616 0.7795005
0.00290722 0.1616924 0.05132251 0.7840778
0.00439891 0.1443973 0.04703105 0.8041727
0.00316491 0.1510423 0.03864853 0.8071442
0.004900473 0.1314911 0.06217613 0.8014323
1.45091e-06 0.167758 0.04908436 0.7831562
0.006595135 0.158607 0.0527402 0.7820576
0.00116252 0.1619991 0.04930967 0.7875287
0.001793321 0.1707854 0.0414296 0.7859916
0.000167004 0.175761 0.06424922 0.7598227
0.003980084 0.1761073 0.05094268 0.7689699
0.008960105 0.1579895 0.05585098 0.7771994
0.01753619 0.1551454 0.0548212 0.7724972
0.0530895 0.1239752 0.05451626 0.7684191
0.02097051 0.1252818 0.06016334 0.7935844
0.02648026 0.1293535 0.06779691 0.7763693
0.06990943 0.09065853 0.05661482 0.7828172
0.0573893 0.1025332 0.0544523 0.7856252
0.03360118 0.1302108 0.0532561 0.7829319
0.03171453 0.155608 0.05402468 0.7586528
0.07788065 0.09420926 0.06825072 0.7596594
0.05312941 0.1305869 0.04832875 0.7679549
0.001467487 0.1694555 0.06918354 0.7598935
0.0002979173 0.1531529 0.05447378 0.7920754
0.002083723 0.1638326 0.0480658 0.7860178
0.0007308009 0.1453737 0.06103365 0.7928618
0.001892188 0.1505235 0.06082161 0.7867627
0.008490278 0.1618123 0.04579458 0.7839028
0.0007891732 0.1471029 0.05642138 0.7956865
0.001218564 0.170137 0.05172047 0.7769239
0.001542862 0.1758255 0.05955514 0.7630765
0.0005157529 0.1623513 0.06860478 0.7685281
0.002559396 0.1609286 0.04966649 0.7868455
0.006296103 0.1651495 0.06396435 0.7645901
0.0001719237 0.1673773 0.05646057 0.7759902
0.001269649 0.1798603 0.05909763 0.7597724
2.818212e-05 0.1582384 0.0634519 0.7782815
0.001545369 0.155298 0.05285295 0.7903037
0.0009231377 0.1827591 0.04820971 0.7681081
0.001793513 0.1805489 0.03994023 0.7777173
0.0008115913 0.163508 0.04960417 0.7860763
0.002617052 0.192146 0.04931358 0.7559233
0.001552306 0.1696987 0.06122177 0.7675272
0.004578727 0.1737454 0.05697166 0.7647042
0.006301987 0.1860136 0.0463634 0.761321
0.00188717 0.1702835 0.05311917 0.7747102
0.003066155 0.1941188 0.05055555 0.7522595
0.0009697915 0.1579478 0.05239555 0.7886869
6.010255e-05 0.1891993 0.05790038 0.7528402
0.002453376 0.1831225 0.05522525 0.7591988
0.005000633 0.1603937 0.0464599 0.7881457
0.000484649 0.1648506 0.04688463 0.7877801
0.002836084 0.1812061 0.04734509 0.7686127
0.002314233 0.1617441 0.04589171 0.7900499
0.0008521942 0.1654167 0.058203 0.7755281
0.002776396 0.1865048 0.06001768 0.7507011
1.378719e-05 0.1853442 0.03806998 0.776572
0.002467536 0.1594121 0.05863538 0.779485
0.006635438 0.1630018 0.04915642 0.7812063
0.001371601 0.1654718 0.04532477 0.7878318
0.001190484 0.1483915 0.06009994 0.7903181
1.31983e-05 0.1744751 0.0449123 0.7805994
0.0009451224 0.1927632 0.05391554 0.7523761
0.0008052788 0.1858235 0.05127263 0.7620986
0.0006175493 0.1815401 0.07104471 0.7467977
0.007638626 0.1554322 0.0521314 0.7847977
0.0003376287 0.1738147 0.04733139 0.7785163
6.599422e-05 0.155346 0.04493796 0.79965
0.0003300878 0.162719 0.06656862 0.7703823
0.0007752165 0.1706479 0.05743806 0.7711388
0.001062164 0.1562761 0.05838703 0.7842747
0.003480293 0.1568508 0.0553038 0.7843651
0.002588912 0.1690178 0.0612282 0.7671651
0.0006182272 0.1619714 0.05761899 0.7797914
0.002377733 0.1566825 0.06185509 0.7790847
0.0003918787 0.1820326 0.04609232 0.7714832
0.003202614 0.1668159 0.05485886 0.7751227
7.203971e-05 0.1570738 0.0529643 0.7898898
0.003403526 0.1701813 0.0392603 0.7871549
0.005227593 0.1675214 0.0498222 0.7774288
0.0004894539 0.1472838 0.04890376 0.803323
0.003922538 0.1496963 0.06085837 0.7855228
0.002822793 0.1648535 0.06669058 0.7656331
0.0003191799 0.1646503 0.04545521 0.7895753
0.001713852 0.1704524 0.05858144 0.7692523
0.0002128327 0.1765816 0.04853119 0.7746744
0.001158035 0.1631124 0.0636443 0.7720853
0.005212108 0.1461765 0.06567254 0.7829388
0.001662089 0.1554998 0.04476449 0.7980736
0.001179439 0.1750787 0.05849384 0.7652481
0.001477466 0.157075 0.04917224 0.7922753
0.0007733066 0.170594 0.04625295 0.7823797
0.0009708575 0.1722346 0.05872115 0.7680734
0.0005608892 0.1694321 0.04085158 0.7891554
0.001051424 0.1685651 0.06294522 0.7674382
0.001229125 0.167747 0.06238175 0.7686421
7.921376e-05 0.1868637 0.03910448 0.7739526
0.002513558 0.1605581 0.04728833 0.78964
0.001370539 0.1864116 0.0534477 0.7587701
0.05478808 0.1044393 0.04555657 0.795216
0.006065186 0.1577784 0.05158601 0.7845704
0.0005630677 0.159592 0.0486437 0.7912012
0.002941808 0.170972 0.05152654 0.7745597
0.0004840967 0.1754064 0.06833789 0.7557716
0.006364094 0.1710476 0.04889557 0.7736927
0.002632798 0.1786761 0.05370749 0.7649836
0.0003471662 0.1604625 0.05303173 0.7861586
0.0007453123 0.1676533 0.06544274 0.7661587
0.003577965 0.1563545 0.04998085 0.7900867
0.0003674783 0.1566842 0.04494626 0.7980021
0.0008880506 0.1504341 0.05326384 0.795414
0.0007202036 0.1504335 0.05336765 0.7954786
0.00176946 0.1606562 0.06037499 0.7771994
0.001672411 0.171081 0.03329162 0.793955
