p_1 p_2 p_3 
0.2720812 0.4060737 0.3218451 
0.3293394 0.4525179 0.2181426 
0.2309545 0.5038324 0.2652132 
0.2889579 0.4413984 0.2696438 
0.2826945 0.4507184 0.2665871 
0.3416536 0.3892536 0.2690928 
0.3101462 0.4111525 0.2787013 
0.2808184 0.4350594 0.2841222 
0.32847 0.3826181 0.2889119 
0.2364081 0.4290285 0.3345634 
0.3595582 0.3736871 0.2667547 
0.4050416 0.3695872 0.2253711 
0.3254741 0.4341691 0.2403568 
0.3410028 0.4122326 0.2467646 
0.3122265 0.3994032 0.2883703 
0.3944609 0.3356825 0.2698566 
0.3465615 0.3836871 0.2697513 
0.2417552 0.4497189 0.3085259 
0.2549626 0.4787459 0.2662915 
0.2569096 0.4385912 0.3044991 
0.3515075 0.4667641 0.1817284 
0.3120467 0.4506459 0.2373075 
0.2715016 0.4706475 0.2578509 
0.3015268 0.4007785 0.2976948 
0.2204628 0.4500126 0.3295246 
0.3521556 0.3740636 0.2737808 
0.2855023 0.4091935 0.3053043 
0.3436528 0.3382349 0.3181123 
0.2977847 0.3907213 0.311494 
0.3275724 0.4257358 0.2466919 
0.3585487 0.3645426 0.2769088 
0.3455904 0.4477382 0.2066714 
0.2455547 0.4832645 0.2711808 
0.2585705 0.4390578 0.3023717 
0.2687429 0.3923424 0.3389148 
0.3683916 0.3898945 0.2417138 
0.3175623 0.3818124 0.3006253 
0.3109248 0.31818 0.3708952 
0.3695559 0.355686 0.2747581 
0.2579783 0.5402266 0.2017951 
0.2214471 0.41009 0.3684628 
0.3398717 0.4206174 0.2395109 
0.3731806 0.3866927 0.2401266 
0.3065187 0.3700606 0.3234207 
0.3661223 0.382996 0.2508816 
0.3218703 0.40135 0.2767796 
0.2480015 0.4653981 0.2866004 
0.2942299 0.4366299 0.2691403 
0.3765909 0.3240887 0.2993204 
0.3154888 0.4268511 0.2576601 
0.4086589 0.3535828 0.2377583 
0.2470631 0.514156 0.2387809 
0.3516709 0.3676613 0.2806678 
0.2427619 0.5100464 0.2471917 
0.247237 0.43725 0.315513 
0.2699307 0.4317623 0.298307 
0.2557083 0.4007427 0.343549 
0.3210636 0.3406761 0.3382603 
0.3792574 0.347456 0.2732866 
0.3157278 0.4154084 0.2688639 
0.3303156 0.4422233 0.227461 
0.2944617 0.3592348 0.3463034 
0.2923953 0.3947628 0.3128419 
0.3262048 0.3401321 0.3336631 
0.3317572 0.3899215 0.2783213 
0.2930901 0.3770797 0.3298302 
0.3556892 0.3290077 0.3153031 
0.3165429 0.3843669 0.2990902 
0.3635956 0.3656905 0.2707139 
0.2663302 0.4487209 0.2849489 
0.2306726 0.4512138 0.3181135 
0.300834 0.4688406 0.2303254 
0.3385162 0.3073575 0.3541263 
0.2620061 0.410165 0.3278289 
0.2848977 0.4761592 0.2389431 
0.2631186 0.3732239 0.3636575 
0.3366533 0.4007859 0.2625608 
0.3104194 0.3645741 0.3250065 
0.2707853 0.3418889 0.3873259 
0.4277685 0.3806107 0.1916208 
0.2819942 0.4523632 0.2656427 
0.3153039 0.4144078 0.2702883 
0.3424595 0.4266805 0.2308599 
0.3501329 0.3620214 0.2878457 
0.3456893 0.3683107 0.286 
0.2891962 0.4266814 0.2841224 
0.3103064 0.4365717 0.2531219 
0.2984743 0.4687834 0.2327423 
0.1992482 0.4199891 0.3807627 
0.3205211 0.3632305 0.3162484 
