"p_1" "p_2" "p_3"
0.1694528 0.7850293 0.04551781
0.1556082 0.7934902 0.05090163
0.1786725 0.7680017 0.0533258
0.1778298 0.7760989 0.04607128
0.1512625 0.7979627 0.05077477
0.1575171 0.7829482 0.05953466
0.1650397 0.7686282 0.06633208
0.1684915 0.7870974 0.04441107
0.1535301 0.7955297 0.05094021
0.1951885 0.7587933 0.04601829
0.1680132 0.7844202 0.04756658
0.1620346 0.7808959 0.05706946
0.1557861 0.7747306 0.06948325
0.1738263 0.7749255 0.05124814
0.1565455 0.7949748 0.04847977
0.1429937 0.7987324 0.05827389
0.1467248 0.8046805 0.04859467
0.150794 0.7992264 0.04997962
0.1290098 0.8186526 0.05233762
0.1583054 0.7923424 0.04935219
0.1749008 0.7769806 0.04811853
0.1583236 0.7835473 0.0581291
0.1769574 0.7684934 0.05454922
0.1752389 0.7617838 0.06297733
0.1667181 0.7805121 0.05276981
0.163933 0.7840494 0.05201766
0.1531937 0.789703 0.05710323
0.1518145 0.7919791 0.05620644
0.1789626 0.7710885 0.04994894
0.159717 0.7859552 0.05432781
0.1730303 0.7827735 0.04419618
0.1609436 0.7855356 0.05352076
0.1716916 0.7704515 0.05785695
0.1834071 0.7569791 0.05961377
0.1556954 0.7884121 0.05589252
0.1804626 0.7665166 0.05302083
0.1560074 0.784914 0.05907856
0.1651951 0.7814064 0.0533985
0.1524995 0.7875938 0.05990672
0.1634302 0.7692195 0.06735026
0.1782793 0.7668277 0.05489307
0.1695069 0.7685163 0.06197678
0.1782652 0.7711953 0.05053957
0.174865 0.7692298 0.05590524
0.1650191 0.7806121 0.05436882
0.1546745 0.7819795 0.06334597
0.177663 0.7843574 0.0379796
0.1627935 0.7791501 0.05805641
0.1828544 0.7576249 0.05952068
0.16848 0.7840764 0.04744365
0.1628822 0.7883456 0.04877225
0.1634609 0.7790612 0.05747792
0.1837 0.7614701 0.05482988
0.1725579 0.7667664 0.06067575
0.1878946 0.7537598 0.05834567
0.1477979 0.8053647 0.04683739
0.1667902 0.7751367 0.05807314
0.1692226 0.7873337 0.04344372
0.1543331 0.787303 0.05836391
0.1686373 0.7692899 0.0620728
0.1860409 0.764768 0.04919113
0.1406749 0.8137246 0.04560049
0.1704572 0.7674706 0.06207224
0.1762803 0.7753633 0.0483564
0.1641834 0.7849156 0.05090101
0.1892577 0.7596811 0.05106118
0.17003 0.7729363 0.05703364
0.1583697 0.793112 0.04851832
0.1696989 0.7831206 0.04718041
0.1542706 0.7907184 0.05501094
0.1529133 0.7980083 0.04907847
0.1682299 0.7813579 0.05041223
0.1744758 0.7597745 0.06574965
0.1538161 0.7947079 0.05147601
0.1767673 0.7703338 0.05289884
0.1697632 0.7657091 0.06452775
0.1428655 0.7974744 0.05966005
0.1535089 0.7937366 0.05275447
0.1740061 0.7771824 0.04881152
0.1551452 0.7872875 0.0575673
0.155917 0.7862928 0.05779013
0.1599086 0.7892532 0.05083828
0.1559784 0.7860042 0.05801739
0.1644378 0.7898813 0.04568087
0.1504723 0.7971598 0.05236785
0.1753166 0.7655268 0.05915661
0.173352 0.7747063 0.05194164
0.1647057 0.7805276 0.05476668
0.1760041 0.7717252 0.05227072
0.177298 0.7600961 0.06260589
0.1843996 0.7686071 0.04699326
0.1786978 0.7792132 0.04208905
0.1662974 0.7828676 0.05083498
0.1759494 0.771401 0.05264958
0.1481864 0.7969334 0.05488021
