Delta_1 Delta_2 Delta_3 Delta_4 
1.243943 0.6891713 16.01811 0.4043085 
-7.610969 0.7696908 6.347215 -0.519735 
11.3982 0.9780789 -4.779171 0.6953317 
2.690585 1.14264 1.143799 2.214658 
12.16172 1.071353 -1.26637 0.3859693 
11.30782 0.9655648 -2.042051 -2.09377 
17.74644 0.9547457 9.746764 1.107533 
-4.946137 0.95486 5.511081 0.8929471 
-16.80698 0.804459 3.952361 -0.1692634 
-8.109918 0.9864761 1.230635 1.223336 
-0.2838672 0.7825524 0.4622861 -1.946747 
-3.594603 0.9553311 0.4521596 2.310627 
7.865721 1.072863 -25.85636 -0.0237982 
3.480801 1.030167 -9.366724 0.7221981 
-1.733252 1.242974 11.92897 1.347825 
0.7516974 1.325792 -8.409691 -1.964459 
0.08815972 1.231359 5.362868 -0.2181674 
-1.70648 1.108375 4.79924 -1.581127 
-0.3087025 1.100602 -15.81892 -1.464506 
8.82976 1.061497 13.63593 0.548432 
-0.1368035 1.057381 10.23193 0.5856425 
1.675224 1.267881 13.63251 0.04362691 
2.000869 1.363004 18.12594 1.938936 
1.789125 1.058402 -0.8874328 0.3398517 
1.004723 0.9350772 -2.811412 -1.401119 
-1.125581 0.8926103 11.81713 0.02375703 
0.9466759 0.9343276 -0.1863661 0.4965299 
-2.859901 1.035156 5.413251 1.343869 
13.94002 0.9919382 15.20935 1.108242 
5.705933 0.9960484 19.07808 1.401944 
4.76328 1.066383 18.68896 1.777161 
-2.768272 0.9476907 21.17124 1.166739 
9.778522 0.8853062 11.59231 1.637528 
6.748857 0.8312684 0.05351925 0.3403616 
-20.7623 0.9196467 2.282031 1.226078 
4.4864 0.9942949 -0.2361434 -2.331489 
-2.915549 0.9594692 0.6623972 -2.476085 
10.80935 0.8011429 -1.834898 -3.777426 
6.209513 0.8105694 -5.499058 -0.6762537 
8.507152 1.005807 -1.232026 -2.550306 
4.282074 0.823731 5.628664 3.388998 
-2.728155 0.6909305 -3.332742 2.389095 
2.094078 0.6603625 -4.616316 2.525382 
2.16426 0.3305159 1.479118 1.194405 
13.19922 0.4982843 0.1481786 1.023127 
8.397715 1.006084 0.9571306 4.786023 
-1.708506 0.7315376 2.537459 4.957861 
0.2478722 0.8206591 -19.07043 1.441063 
3.444726 0.8325122 -2.410629 -2.569828 
-2.659141 0.8942913 -10.52408 -0.4751421 
2.857792 0.867378 -8.664969 1.570805 
-3.886335 1.006074 1.707362 1.254696 
3.2444 0.9489296 16.08284 2.270033 
0.17005 0.7654251 20.68413 0.926334 
2.567431 0.8875265 -10.76718 0.9180866 
-0.02576265 0.6373024 -2.839835 3.413805 
