"p_1" "p_2" "p_3"
0.4002339 0.3086213 0.2911448
0.3748153 0.3105731 0.3146116
0.4016529 0.3031512 0.2951959
0.3872339 0.3116702 0.3010959
0.3948256 0.2876413 0.3175331
0.4079363 0.3084033 0.2836604
0.3799603 0.3405557 0.2794841
0.3818043 0.3230541 0.2951416
0.4024526 0.3125167 0.2850308
0.3810078 0.3096613 0.309331
0.3828043 0.3008066 0.3163891
0.3998154 0.3001914 0.2999932
0.4070649 0.314843 0.2780921
0.3848364 0.3202353 0.2949283
0.4143262 0.3071126 0.2785612
0.4095206 0.2985866 0.2918928
0.4022852 0.3041835 0.2935313
0.4122615 0.3250011 0.2627374
0.3964119 0.2944452 0.3091429
0.3802046 0.3016382 0.3181572
0.3926273 0.3150506 0.2923221
0.3988129 0.3159639 0.2852232
0.3850141 0.3179688 0.2970171
0.3763657 0.3241705 0.2994638
0.4253911 0.3066564 0.2679525
0.3908271 0.3090814 0.3000915
0.3619213 0.3112798 0.3267989
0.3889226 0.2913097 0.3197678
0.3657386 0.3208898 0.3133716
0.3879552 0.2882998 0.3237451
0.4107262 0.3075093 0.2817645
0.3908528 0.3206435 0.2885037
0.3905888 0.315243 0.2941681
0.3879509 0.310919 0.3011301
0.3633268 0.3499654 0.2867078
0.4212096 0.2946734 0.284117
0.3602312 0.3371381 0.3026307
0.3852683 0.3205086 0.2942231
0.4022899 0.3136321 0.284078
0.3839436 0.3132205 0.3028359
0.3816184 0.2967487 0.3216329
0.3887549 0.3469241 0.264321
0.3785976 0.3229305 0.2984719
0.3986161 0.2990403 0.3023435
0.3805572 0.3529043 0.2665384
0.3991565 0.3110275 0.289816
0.3949395 0.3199961 0.2850643
0.4243244 0.3062157 0.26946
0.399602 0.2838094 0.3165886
0.416129 0.3181792 0.2656918
0.3871029 0.3105569 0.3023402
0.4115006 0.2885894 0.29991
0.4060124 0.2830935 0.3108941
0.3986772 0.3096737 0.2916491
0.4042601 0.3164717 0.2792682
0.3843082 0.3073686 0.3083232
0.3777472 0.3202106 0.3020422
0.3859734 0.3146431 0.2993835
0.3902802 0.3227931 0.2869267
0.4219796 0.2802559 0.2977645
0.4123456 0.3086692 0.2789851
0.3831736 0.3336255 0.2832009
0.4186801 0.3019969 0.279323
0.3835539 0.3184208 0.2980253
