"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
-24.98666 -4.808836 -0.026764 3.966356 -10.11446 -5.104099
-24.24892 -5.759213 -0.03318724 4.00002 -10.20318 -5.253331
-24.78137 -4.584923 0.01001537 3.974502 -10.35641 -4.917783
-25.30029 -4.792995 0.0231201 3.968993 -10.07974 -5.011163
-24.08263 -4.415572 0.01725598 3.949761 -10.37614 -5.111237
-23.51558 -4.727488 0.04694636 3.966094 -9.728847 -4.763934
-24.99563 -3.755338 0.04344039 3.980821 -10.00965 -4.885206
-26.10274 -4.741802 0.0358192 3.978555 -10.07054 -5.067369
-24.33902 -4.729708 0.06503436 3.969755 -10.24419 -5.147467
-25.90604 -4.446047 0.02066229 3.972452 -10.51716 -5.09293
-25.00408 -4.192932 0.04666958 3.958686 -10.59726 -4.977633
-24.02616 -4.76725 -0.07014673 3.971921 -10.32417 -5.056203
-24.08389 -4.90179 -0.05233503 3.952441 -10.30972 -5.065513
-24.66406 -4.586956 -0.005009667 3.946941 -9.95868 -5.054644
-24.61603 -4.779695 -0.00224793 3.93954 -10.12902 -4.877509
-23.85468 -4.713734 0.1093856 3.970962 -10.91469 -4.924698
-25.73463 -4.747839 0.01867485 3.981001 -10.29457 -5.031652
-25.34937 -4.656846 0.06773071 3.996021 -10.12358 -4.969491
-25.46606 -4.856368 0.0349938 3.972627 -10.02695 -4.986795
-25.01373 -4.416251 0.0290867 3.993287 -10.44279 -4.960137
-24.2292 -4.016072 0.05752769 3.982413 -11.28794 -5.045095
-23.97711 -5.124138 0.0007838113 4.002049 -10.66334 -4.839332
-24.16984 -4.388013 -0.0156491 3.975727 -10.17021 -4.914053
-24.24014 -4.643163 -0.02763184 3.971259 -10.19708 -5.13593
-23.17154 -3.387928 -0.008358671 3.960353 -9.902531 -5.19239
-24.55498 -4.382439 0.03494737 4.010385 -10.34937 -5.017388
-24.40918 -4.689711 0.1243751 3.955101 -10.23058 -5.108407
-24.07925 -4.682104 0.05602318 3.971433 -9.97943 -5.021394
-24.34984 -4.178527 -0.06535304 3.978516 -10.39197 -4.984391
-25.64412 -5.011381 0.08883067 3.99755 -10.30984 -4.94012
-23.31122 -4.779571 0.09983704 3.981952 -10.14682 -5.087975
-23.75846 -4.044007 0.009616824 3.983068 -9.960825 -5.045137
-25.03257 -5.052828 0.02004809 3.984545 -10.37534 -4.950053
-24.90478 -4.973881 0.05787879 3.977566 -10.26016 -4.909855
-23.40133 -4.776839 0.05319288 3.98775 -10.00036 -4.953743
-24.90152 -4.367092 0.02217388 3.989857 -10.12661 -4.946678
-24.72702 -5.013602 0.05408621 3.982989 -10.47446 -5.015918
-24.28276 -4.825253 -0.01116286 3.948822 -10.5958 -4.908847
-24.88413 -4.047511 -0.02798318 3.971338 -10.08827 -4.909128
-25.30001 -4.814323 0.05950194 3.943753 -10.27465 -5.088033
-23.83735 -4.450853 0.05612471 3.965157 -10.27558 -5.114866
-24.42079 -5.002523 -0.01705535 3.958844 -10.06186 -4.914148
-25.12829 -4.346872 0.006135385 3.98247 -10.27982 -4.876129
-24.64752 -4.645744 0.08689427 3.954859 -10.59512 -5.167837
