"p_1" "p_2"
0.7853077 0.2146923
0.7808734 0.2191266
0.7453229 0.2546771
0.7825482 0.2174518
0.7703861 0.2296139
0.7721455 0.2278545
0.7751087 0.2248913
0.7728528 0.2271472
0.7923721 0.2076279
0.7704896 0.2295104
0.766741 0.233259
0.7621694 0.2378306
0.7986896 0.2013104
0.7802498 0.2197502
0.7775983 0.2224017
0.7755135 0.2244865
0.7630081 0.2369919
0.7845331 0.2154669
0.7653637 0.2346363
0.7817022 0.2182978
0.7835092 0.2164908
0.7911213 0.2088787
0.7722686 0.2277314
0.7636811 0.2363189
0.7946363 0.2053637
0.7633932 0.2366068
0.783847 0.216153
0.7818131 0.2181869
0.7966877 0.2033123
0.7870699 0.2129301
0.7869632 0.2130368
0.7729389 0.2270611
0.7722704 0.2277296
0.7737823 0.2262177
0.7847378 0.2152622
0.7813199 0.2186801
0.7831356 0.2168644
0.7869213 0.2130787
0.7799001 0.2200999
0.794598 0.205402
0.7815307 0.2184693
0.7814363 0.2185637
0.7874516 0.2125484
0.7883929 0.2116071
0.7818909 0.2181091
0.7668698 0.2331302
0.780633 0.219367
0.7906064 0.2093936
0.7832691 0.2167309
0.7841803 0.2158197
0.791998 0.208002
0.7868151 0.2131849
0.7942024 0.2057976
0.8026597 0.1973403
0.7831604 0.2168396
0.7896064 0.2103936
0.7687643 0.2312357
0.7622084 0.2377916
0.7856606 0.2143394
0.7924043 0.2075957
0.7872394 0.2127606
0.7707991 0.2292009
0.7905185 0.2094815
0.7626287 0.2373713
0.787741 0.212259
0.8007662 0.1992338
0.7734979 0.2265021
0.7821715 0.2178285
0.7794021 0.2205979
0.7743773 0.2256227
0.7711321 0.2288679
0.7833345 0.2166655
0.7708717 0.2291283
0.7373934 0.2626066
0.7822843 0.2177157
0.7880568 0.2119432
0.7641978 0.2358022
0.7777662 0.2222338
0.7743764 0.2256236
0.8171207 0.1828793
0.7613892 0.2386108
0.7807158 0.2192842
0.773879 0.226121
0.7765495 0.2234505
0.7964282 0.2035718
0.8001061 0.1998939
0.789383 0.210617
0.7711563 0.2288437
0.7756872 0.2243128
0.7694588 0.2305412
0.7814488 0.2185512
0.7784354 0.2215646
0.7869178 0.2130822
0.7715179 0.2284821
0.7904237 0.2095763
0.7877138 0.2122862
0.7654554 0.2345446
0.797246 0.202754
0.7847962 0.2152038
0.8095128 0.1904872
0.7559491 0.2440509
0.7595508 0.2404492
0.8006938 0.1993062
0.7666348 0.2333652
0.7990992 0.2009008
0.7703907 0.2296093
0.793587 0.206413
0.7931647 0.2068353
0.7873946 0.2126054
0.7757653 0.2242347
0.7486669 0.2513331
0.8000679 0.1999321
0.7612613 0.2387387
0.7959533 0.2040467
0.795978 0.204022
0.7779903 0.2220097
0.7861471 0.2138529
0.7774825 0.2225175
0.7783379 0.2216621
0.7500172 0.2499828
0.8059212 0.1940788
0.7927092 0.2072908
0.7706126 0.2293874
0.7759662 0.2240338
0.7945588 0.2054412
0.7474747 0.2525253
0.8043641 0.1956359
0.7560728 0.2439272
0.7742105 0.2257895
0.7997324 0.2002676
0.7771057 0.2228943
0.7756131 0.2243869
0.7891872 0.2108128
0.7887496 0.2112504
